fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1987-03-01,Marzo,1,20.6,20.6,1987,1987
1987-03-02,Marzo,2,19.6,18.6,1987,2008
2019-03-03,Marzo,3,21.1,19.1,2019,1977
1960-03-04,Marzo,4,22.4,19.2,1960,2003
1960-03-05,Marzo,5,22.4,19.4,1960,1998
1998-03-06,Marzo,6,20.2,18.2,1998,1987
2015-03-07,Marzo,7,19.8,18.6,2015,1961
2017-03-08,Marzo,8,21.9,19.2,2017,2000
2017-03-09,Marzo,9,23.5,20.4,2017,2000
2017-03-10,Marzo,10,24.2,22.1,2017,2020
2020-03-11,Marzo,11,23.9,23.9,2020,2020
2003-03-12,Marzo,12,22.6,22.6,2003,2020
2012-03-13,Marzo,13,20.2,20.0,2012,2006
2012-03-14,Marzo,14,21.4,20.0,2012,1961
2019-03-15,Marzo,15,20.5,19.3,2019,2012
2019-03-16,Marzo,16,21.3,21.0,2019,2009
1997-03-17,Marzo,17,20.8,20.3,1997,1957
1957-03-18,Marzo,18,22.8,21.1,1957,2024
2024-03-19,Marzo,19,22.4,20.2,2024,2009
2002-03-20,Marzo,20,21.8,21.4,2002,1988
2024-03-21,Marzo,21,21.4,21.0,2024,1990
2024-03-22,Marzo,22,23.3,21.4,2024,2002
2002-03-23,Marzo,23,21.0,20.7,2002,2024
2002-03-24,Marzo,24,21.0,20.1,2002,1967
1988-03-25,Marzo,25,22.2,21.0,1988,1989
2009-03-26,Marzo,26,20.2,18.6,2009,1998
2009-03-27,Marzo,27,21.4,20.3,2009,1965
2023-03-28,Marzo,28,21.2,19.9,2023,2015
2023-03-29,Marzo,29,22.8,18.6,2023,1961
2023-03-30,Marzo,30,21.4,20.8,2023,2015
1980-03-31,Marzo,31,22.9,20.8,1980,2005
