fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1987-03-01,Marzo,1,23.6,23.6,1987,1987
1977-03-02,Marzo,2,22.6,21,1977,1952
1997-03-03,Marzo,3,23.8,22.6,1997,1977
1960-03-04,Marzo,4,24.6,18.9,1960,2020
1961-03-05,Marzo,5,22.4,21,1961,1977
1977-03-06,Marzo,6,22.6,22.2,1977,1950
1983-03-07,Marzo,7,20.8,20.6,1983,1961
2014-03-08,Marzo,8,23.8,22.4,2014,1977
2014-03-09,Marzo,9,25,23.6,2014,2000
2017-03-10,Marzo,10,27.6,25,2017,1981
1957-03-11,Marzo,11,24.4,21.6,1957,2007
2009-03-12,Marzo,12,20.6,20.5,2009,2012
2003-03-13,Marzo,13,20.5,20.2,2003,2009
1961-03-14,Marzo,14,20.6,19,1961,2007
2005-03-15,Marzo,15,22.6,19.8,2005,2009
1990-03-16,Marzo,16,22.2,22.1,1990,2017
1990-03-17,Marzo,17,24.6,24.2,1990,1993
2005-03-18,Marzo,18,27,24.4,2005,2009
1990-03-19,Marzo,19,25.6,24.5,1990,2009
1960-03-20,Marzo,20,26,22.4,1960,1990
1990-03-21,Marzo,21,24,22.8,1990,1960
2002-03-22,Marzo,22,26.2,25,2002,1960
2002-03-23,Marzo,23,26.6,22.4,2002,1995
2012-03-24,Marzo,24,24.8,21.8,2012,1955
2012-03-25,Marzo,25,21.6,21.5,2012,1950
1952-03-26,Marzo,26,23.7,23.4,1952,2012
1965-03-27,Marzo,27,26.4,24.5,1965,2012
1957-03-28,Marzo,28,26,24.6,1957,2012
1965-03-29,Marzo,29,28.2,25.4,1965,2021
1965-03-30,Marzo,30,23.6,23.6,1965,2012
2021-03-31,Marzo,31,27.5,22.8,2021,1980
