fecha,maxima,minima
1987-03-01,23.6,11.6
1977-03-02,22.6,15.2
1997-03-03,23.8,11.4
1960-03-04,24.6,8.4
1961-03-05,22.4,11.4
1977-03-06,22.6,12
1983-03-07,20.8,7.4
2014-03-08,23.8,10.6
2014-03-09,25,12.2
2017-03-10,27.6,11.5
1957-03-11,24.4,13
2009-03-12,20.6,7.7
2003-03-13,20.5,12.3
1961-03-14,20.6,10.8
2005-03-15,22.6,11.2
1990-03-16,22.2,11.6
1990-03-17,24.6,15
2005-03-18,27,13.8
1990-03-19,25.6,13.8
1960-03-20,26,13
1990-03-21,24,12.6
2002-03-22,26.2,11.2
2002-03-23,26.6,13.2
2012-03-24,24.8,14.8
2012-03-25,21.6,12.8
1952-03-26,23.7,10
1965-03-27,26.4,6.6
1957-03-28,26,11.2
1965-03-29,28.2,12
1965-03-30,23.6,16.6
1980-03-31,22.8,14.6
