fecha,maxima,minima
2008-03-01,18.2,4.8
1997-03-02,20.4,3.2
1987-03-03,20.4,8.4
1961-03-04,20.3,2
1977-03-05,20,6.6
1997-03-06,20.8,4.4
2015-03-07,19.8,1.2
2015-03-08,20.6,1
2017-03-09,21.8,4.4
2017-03-10,22,5
1957-03-11,21.8,6.5
1961-03-12,23.1,4.2
1997-03-13,21,3.8
1961-03-14,22,5.4
2012-03-15,21.6,5.6
1957-03-16,22.3,4.7
1997-03-17,22.4,5.6
1997-03-18,22.8,6.4
2009-03-19,21.6,4
1992-03-20,25.2,5.6
1992-03-21,22.4,7.4
1952-03-22,23.2,4.5
2002-03-23,23.8,5.8
2002-03-24,22,7.6
1994-03-25,22.6,5.2
2012-03-26,20.4,8
1965-03-27,22,3
1965-03-28,22.2,6.2
1976-03-29,22.6,4.5
2015-03-30,23.4,6
1976-03-31,23,3
