fecha,maxima,minima
2012-03-01,21.8,2
1987-03-02,23.6,5.4
2007-03-03,22.4,10
2007-03-04,25.3,5.5
2007-03-05,25.3,5.5
1977-03-06,24,6.4
1998-03-07,23.5,5.7
2017-03-08,22.6,10
2017-03-09,25.3,6
2017-03-10,25.9,5.1
2000-03-11,25.4,4
2020-03-12,26.3,7
1990-03-13,23.7,6
2008-03-14,25.2,6
2012-03-15,25.6,5
1961-03-16,24.4,6.6
2014-03-17,24.9,4.4
1997-03-18,25,5.7
1995-03-19,24.5,2.8
2002-03-20,26.5,9
2002-03-21,28.4,7.4
1990-03-22,27.7,6.5
2001-03-23,28.5,9.2
1981-03-24,26,13.8
1981-03-25,29,11
1989-03-26,27,5.6
1989-03-27,25,9.4
1994-03-28,24.6,7.6
2021-03-29,24.8,5.3
2012-03-30,26.6,6.4
1980-03-31,27,7.2
