fecha,maxima,minima
1952-03-01,22.6,2
1997-03-02,23.4,3.6
1997-03-03,24.4,5.2
2007-03-04,26.4,3.6
1960-03-05,23.8,5.4
1997-03-06,21.4,8.4
2015-03-07,23.9,1.1
2000-03-08,23.8,5
2017-03-09,27.7,5.1
2017-03-10,28.8,6.8
1981-03-11,24.7,9.2
1990-03-12,24.8,8.8
2012-03-13,26.3,3.1
2012-03-14,25.6,4.1
2012-03-15,24.6,2.8
1977-03-16,24.6,6.8
1997-03-17,26.6,6.2
1997-03-18,24.8,9.2
1957-03-19,24.4,8.4
1992-03-20,27.2,6.8
2002-03-21,27.2,6.8
1990-03-22,27.2,7
2001-03-23,27.6,8.4
1994-03-24,26.4,4
1981-03-25,26,9
1989-03-26,25.8,2.6
1989-03-27,25.6,10
1978-03-28,24.8,7.2
2012-03-29,25.1,4
2012-03-30,25.4,8.3
2012-03-31,24.9,8.2
