fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1987-03-01,Marzo,1,25.4,25.4,1987,1987
1997-03-02,Marzo,2,23.8,23.6,1997,2008
1997-03-03,Marzo,3,27.0,24.2,1997,1977
1997-03-04,Marzo,4,25.0,24.6,1997,1994
1997-03-05,Marzo,5,23.8,23.8,1997,2000
1997-03-06,Marzo,6,25.6,24.3,1997,2015
2015-03-07,Marzo,7,25.9,25.8,2015,1997
2000-03-08,Marzo,8,26.6,25.6,2000,1997
2017-03-09,Marzo,9,28.7,27.4,2017,2000
2017-03-10,Marzo,10,30.1,28.2,2017,2000
1989-03-11,Marzo,11,27.2,26.6,1989,2000
2009-03-12,Marzo,12,27.8,26.8,2009,1997
2012-03-13,Marzo,13,26.8,26.3,2012,2009
2012-03-14,Marzo,14,28.4,27.0,2012,2006
2012-03-15,Marzo,15,28.5,26.4,2012,2006
2009-03-16,Marzo,16,28.5,27.0,2009,1997
2009-03-17,Marzo,17,28.7,27.8,2009,1997
2009-03-18,Marzo,18,28.2,27.8,2009,1997
2009-03-19,Marzo,19,28.0,27.6,2009,1998
1992-03-20,Marzo,20,28.6,28.2,1992,1990
2024-03-21,Marzo,21,28.8,27.8,2024,1997
2024-03-22,Marzo,22,30.4,29.6,2024,2002
2002-03-23,Marzo,23,30.6,26.8,2002,1997
2002-03-24,Marzo,24,29.6,28.2,2002,1994
2012-03-25,Marzo,25,29.0,26.0,2012,1989
2012-03-26,Marzo,26,29.2,26.7,2012,2019
2012-03-27,Marzo,27,28.5,27.6,2012,1997
2012-03-28,Marzo,28,27.6,26.6,2012,1997
2012-03-29,Marzo,29,27.3,26.6,2012,1994
2012-03-30,Marzo,30,28.1,27.8,2012,1997
2021-03-31,Marzo,31,29.1,28.0,2021,1997
