fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1977-03-01,Marzo,1,23.2,23.2,1977,1977
1961-03-02,Marzo,2,22.5,22.2,1961,1983
1997-03-03,Marzo,3,23.6,22.6,1997,1977
1960-03-04,Marzo,4,24.2,24,1960,1977
1977-03-05,Marzo,5,23.2,21.2,1977,2000
1997-03-06,Marzo,6,24.6,22.3,1997,2014
1997-03-07,Marzo,7,23.5,23.5,1997,2015
2000-03-08,Marzo,8,24.6,23.5,2000,1997
2000-03-09,Marzo,9,25,23.8,2000,2014
2000-03-10,Marzo,10,25.6,25.3,2000,2017
2000-03-11,Marzo,11,25.6,23.4,2000,1989
2014-03-12,Marzo,12,24.5,24,2014,1997
1961-03-13,Marzo,13,24.2,24.1,1961,2014
1961-03-14,Marzo,14,24.5,23.4,1961,2012
2017-03-15,Marzo,15,23.5,23,2017,1961
2014-03-16,Marzo,16,26.6,26,2014,2009
2005-03-17,Marzo,17,25.5,25.4,2005,1997
2005-03-18,Marzo,18,25.5,24.8,2005,1997
2014-03-19,Marzo,19,24.9,24.8,2014,1998
1960-03-20,Marzo,20,25,24.4,1960,1998
1997-03-21,Marzo,21,25.6,25,1997,1960
2002-03-22,Marzo,22,26.2,25.5,2002,1997
2002-03-23,Marzo,23,27.6,25.4,2002,1997
2002-03-24,Marzo,24,26.6,24,2002,1994
2012-03-25,Marzo,25,24.6,23,2012,1989
2012-03-26,Marzo,26,25.8,25,2012,1965
1997-03-27,Marzo,27,25.5,25.2,1997,1965
1965-03-28,Marzo,28,25.5,24.4,1965,2021
1965-03-29,Marzo,29,25.2,23.8,1965,2012
1997-03-30,Marzo,30,24.5,24.1,1997,2012
2021-03-31,Marzo,31,27.1,25.4,2021,2005
