fecha,maxima,minima
2019-03-01,20.3,-2.5
1977-03-02,21.6,3.2
1977-03-03,22,3.8
1977-03-04,23.4,2.6
1977-03-05,23.2,3.2
1977-03-06,20,3
2015-03-07,22.9,-1.7
2017-03-08,21.7,2.3
2017-03-09,24.4,2.6
2017-03-10,25.4,1.5
2017-03-11,23,2.9
1989-03-12,22.4,2.8
2012-03-13,22.1,-0.1
2012-03-14,22.3,0.9
2019-03-15,23,-1.4
2019-03-16,23.2,-0.4
1997-03-17,23.6,4
1957-03-18,22.6,1.4
1983-03-19,23.4,2
1990-03-20,23.8,2
1983-03-21,23.6,5
1952-03-22,24.1,2.7
2002-03-23,23,4.6
1955-03-24,23.1,4.5
1950-03-25,22.8,2
1989-03-26,22.6,2.4
1989-03-27,20.6,7.4
1965-03-28,21.8,2.4
1976-03-29,23.6,-0.2
1965-03-30,23,2.8
1976-03-31,23.4,1
