fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1987-03-01,Marzo,1,23.6,23.6,1987,1987
1987-03-02,Marzo,2,27.2,25.6,1987,1961
1987-03-03,Marzo,3,27.6,26.8,1987,1960
1960-03-04,Marzo,4,29.6,28.6,1960,1987
1987-03-05,Marzo,5,29.2,28,1987,1961
1987-03-06,Marzo,6,27.2,26,1987,1961
1987-03-07,Marzo,7,28.8,26,1987,1961
2017-03-08,Marzo,8,28.5,27,2017,1989
2017-03-09,Marzo,9,29.9,28,2017,1981
1981-03-10,Marzo,10,30.2,28.8,1981,1989
1981-03-11,Marzo,11,30.6,28.4,1981,1989
2023-03-12,Marzo,12,29.6,28.4,2023,2000
1981-03-13,Marzo,13,29.8,26,1981,2000
1967-03-14,Marzo,14,28,25.4,1967,1958
1967-03-15,Marzo,15,28.8,26.2,1967,1958
1990-03-16,Marzo,16,27.2,26,1990,1967
1990-03-17,Marzo,17,29,27,1990,1963
1963-03-18,Marzo,18,29.8,23.9,1963,2010
1963-03-19,Marzo,19,28,24.6,1963,1965
2002-03-20,Marzo,20,27.8,26.6,2002,1991
2002-03-21,Marzo,21,28.4,28.2,2002,1965
2002-03-22,Marzo,22,29.8,28,2002,1990
2002-03-23,Marzo,23,28.4,27,2002,1990
1981-03-24,Marzo,24,26.4,26,1981,1952
2006-03-25,Marzo,25,27.8,27.4,2006,1952
2023-03-26,Marzo,26,27.4,25,2023,1965
1978-03-27,Marzo,27,27.4,27.2,1978,2023
2023-03-28,Marzo,28,28.1,27.8,2023,1978
2023-03-29,Marzo,29,29.7,27.6,2023,1980
1980-03-30,Marzo,30,30,29.3,1980,2023
1980-03-31,Marzo,31,29.8,26.9,1980,2023
