fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1987-03-01,Marzo,1,23.6,23.6,1987,1987
1997-03-02,Marzo,2,23.7,23.4,1997,1987
1987-03-03,Marzo,3,24.0,23.7,1987,1997
1987-03-04,Marzo,4,24.2,23.1,1987,1998
1987-03-05,Marzo,5,23.4,23.4,1987,1997
2001-03-06,Marzo,6,23.6,23.5,2001,1987
1997-03-07,Marzo,7,23.0,22.9,1997,1998
2017-03-08,Marzo,8,24.8,24.0,2017,2015
2017-03-09,Marzo,9,27.6,24.7,2017,2000
2017-03-10,Marzo,10,29.0,25.0,2017,2019
2020-03-11,Marzo,11,27.0,27.0,2020,2020
2020-03-12,Marzo,12,27.3,27.3,2020,2020
2003-03-13,Marzo,13,26.2,25.0,2003,2012
2012-03-14,Marzo,14,26.6,26.4,2012,2008
2019-03-15,Marzo,15,26.1,25.4,2019,2012
2019-03-16,Marzo,16,27.4,26.1,2019,2023
1961-03-17,Marzo,17,27.1,26.0,1961,1997
1997-03-18,Marzo,18,26.0,24.5,1997,2014
2024-03-19,Marzo,19,25.8,25.1,2024,1997
2017-03-20,Marzo,20,25.2,25.0,2017,1992
1990-03-21,Marzo,21,27.1,26.5,1990,1992
2024-03-22,Marzo,22,26.9,25.6,2024,1990
1996-03-23,Marzo,23,26.4,26.0,1996,2001
1955-03-24,Marzo,24,30.0,26.8,1955,2002
1994-03-25,Marzo,25,26.4,26.0,1994,1988
2006-03-26,Marzo,26,25.2,24.9,2006,1989
2009-03-27,Marzo,27,24.9,24.2,2009,1995
2023-03-28,Marzo,28,26.6,25.3,2023,2015
2023-03-29,Marzo,29,28.0,24.2,2023,1995
1976-03-30,Marzo,30,26.2,26.0,1976,2015
2015-03-31,Marzo,31,27.6,26.8,2015,1980
