fecha,maxima,minima
1987-03-01,23.6,5.2
1997-03-02,23.7,6.3
1987-03-03,24,11
1987-03-04,24.2,10
1987-03-05,23.4,6.8
2001-03-06,23.6,12.3
1997-03-07,23,6
2017-03-08,24.8,6.1
2017-03-09,27.6,5.7
2017-03-10,29,6.4
2000-03-11,25.5,4.2
1989-03-12,25,7.2
2003-03-13,26.2,7
2012-03-14,26.6,4.4
2019-03-15,26.1,2.3
2019-03-16,27.4,4.1
1961-03-17,27.1,8.7
1997-03-18,26,6.2
1997-03-19,25.1,7.5
2017-03-20,25.2,7.6
1990-03-21,27.1,7.5
1990-03-22,25.6,7.6
1996-03-23,26.4,9.5
1955-03-24,30,9.6
1994-03-25,26.4,5.8
2006-03-26,25.2,6.2
2009-03-27,24.9,5.8
2015-03-28,25.3,7.4
1995-03-29,24.2,10
1976-03-30,26.2,5
2015-03-31,27.6,12.2
