fecha,maxima,minima
1977-03-01,21.4,1.8
1977-03-02,22.6,2.8
1997-03-03,23.8,1.6
2007-03-04,23,8
1960-03-05,23.6,-1.4
1977-03-06,22.2,3.4
2015-03-07,21.8,-0.2
2000-03-08,21.2,-1
2017-03-09,25.5,6.2
2017-03-10,26.2,2.2
2017-03-11,24.2,3.4
1989-03-12,23.6,3.6
2009-03-13,23,2
2012-03-14,24.8,0.4
2012-03-15,24.5,1.4
1961-03-16,23.6,2.2
2014-03-17,24.7,-0.7
1993-03-18,23.5,1.7
1957-03-19,23.4,1.4
1990-03-20,25.5,2.2
1990-03-21,26.6,3
2002-03-22,22.6,2.8
2001-03-23,25.4,11
1955-03-24,26,8.4
1955-03-25,25,9
1950-03-26,24,2.6
1998-03-27,23.4,2
1965-03-28,23.4,-1.2
1953-03-29,23.2,0.1
1953-03-30,24,5.5
1980-03-31,25.2,5
