fecha,maxima,minima
1994-05-01,25.8,10.4
1994-05-02,25,9.4
1994-05-03,26,7.6
1964-05-04,23.9,8.9
2014-05-05,25,6.2
1994-05-06,26.8,4.2
2005-05-07,26,5.8
1961-05-08,26.6,12
1965-05-09,28,12.5
2012-05-10,27,12.2
2015-05-11,28.2,15.2
2015-05-12,30.4,13.9
2015-05-13,33,18
2019-05-14,27.3,9.1
2019-05-15,28.3,10
1964-05-16,29.6,13.3
2006-05-17,30,16.6
1964-05-18,27.5,16.2
1964-05-19,27.8,12.1
2009-05-20,27.8,8.2
2009-05-21,28,14.8
1974-05-22,27.6,13.6
2003-05-23,28.8,10.2
2017-05-24,28,15.7
2017-05-25,28.9,15.7
1960-05-26,30.1,14
2005-05-27,28.4,15.4
2006-05-28,30.6,17.2
2001-05-29,29.8,17.4
2001-05-30,30,18.4
2001-05-31,30.4,16.6
