fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2005-05-01,Mayo,1,27.6,27,2005,1994
1994-05-02,Mayo,2,27.7,27.2,1994,2015
2020-05-03,Mayo,3,29.1,28.2,2020,1994
2020-05-04,Mayo,4,28.7,28,2020,2008
1994-05-05,Mayo,5,26.7,26.7,1994,2014
1964-05-06,Mayo,6,28.3,27.9,1964,2009
2015-05-07,Mayo,7,28.2,28,2015,2009
2017-05-08,Mayo,8,28.6,28.4,2017,1961
1965-05-09,Mayo,9,29.8,28.6,1965,1961
1965-05-10,Mayo,10,30.5,29.4,1965,2012
2015-05-11,Mayo,11,31.3,31.1,2015,2012
2015-05-12,Mayo,12,33.3,33.1,2015,2012
2015-05-13,Mayo,13,35.1,31.4,2015,2012
2015-05-14,Mayo,14,32.7,30.4,2015,1965
2019-05-15,Mayo,15,31.1,31,2019,1965
2006-05-16,Mayo,16,31,30.6,2006,1964
2006-05-17,Mayo,17,34.5,29.2,2006,1964
1964-05-18,Mayo,18,30.4,30,1964,2007
1964-05-19,Mayo,19,30.5,29,1964,2007
2009-05-20,Mayo,20,31.6,29.5,2009,2005
2009-05-21,Mayo,21,30.5,29.4,2009,2020
2020-05-22,Mayo,22,31.2,30.2,2020,1974
2020-05-23,Mayo,23,30.6,29.4,2020,2017
2017-05-24,Mayo,24,30.2,29.9,2017,2012
2005-05-25,Mayo,25,31.5,31.3,2005,2017
2005-05-26,Mayo,26,32.5,32.5,2005,2017
2005-05-27,Mayo,27,31.5,30.2,2005,2017
2001-05-28,Mayo,28,31.7,31.2,2001,2006
2001-05-29,Mayo,29,31.6,31.2,2001,2006
2001-05-30,Mayo,30,32,30.3,2001,2009
2001-05-31,Mayo,31,32.9,32,2001,1994
