fecha,maxima,minima
2005-05-01,27.6,12
1994-05-02,27.7,9.4
1994-05-03,28.2,11.5
2008-05-04,28,11.4
1994-05-05,26.7,9.4
1964-05-06,28.3,8
2015-05-07,28.2,8.3
2017-05-08,28.6,8.8
1965-05-09,29.8,9.2
1965-05-10,30.5,10.5
2015-05-11,31.3,11.7
2015-05-12,33.3,12.8
2015-05-13,35.1,14
2015-05-14,32.7,15.1
2019-05-15,31.1,8.9
2006-05-16,31,16
2006-05-17,34.5,15.7
1964-05-18,30.4,12.6
1964-05-19,30.5,11.7
2009-05-20,31.6,15
2009-05-21,30.5,16.7
1974-05-22,30.2,11.4
2017-05-23,29.4,12.8
2017-05-24,30.2,12.9
2005-05-25,31.5,11.7
2005-05-26,32.5,14.3
2005-05-27,31.5,15
2001-05-28,31.7,12.1
2001-05-29,31.6,13
2001-05-30,32,13.3
2001-05-31,32.9,13.7
