fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1967-05-01,Mayo,1,28.3,27.8,1967,2023
1967-05-02,Mayo,2,28,26.3,1967,2000
1970-05-03,Mayo,3,31.5,27.9,1970,2023
1996-05-04,Mayo,4,30.2,30,1996,1970
1996-05-05,Mayo,5,30.2,28.4,1996,1958
1958-05-06,Mayo,6,33.4,28.8,1958,1954
1958-05-07,Mayo,7,27,26.4,1958,1962
1958-05-08,Mayo,8,33.6,26.6,1958,2013
1955-05-09,Mayo,9,29.8,28.6,1955,2007
2022-05-10,Mayo,10,32.8,32,2022,1956
1955-05-11,Mayo,11,34.5,30.3,1955,2012
1955-05-12,Mayo,12,35,28.1,1955,2007
1955-05-13,Mayo,13,32.5,32.5,1955,2015
2012-05-14,Mayo,14,34.5,30.1,2012,2015
1964-05-15,Mayo,15,36,33.9,1964,2012
1964-05-16,Mayo,16,33.3,28.6,1964,2017
2015-05-17,Mayo,17,27.5,27.2,2015,2017
1995-05-18,Mayo,18,27,27,1995,2010
2010-05-19,Mayo,19,28.6,26.6,2010,1995
2010-05-20,Mayo,20,31.7,26.4,2010,2017
2003-05-21,Mayo,21,30.5,28.6,2003,1982
2003-05-22,Mayo,22,31,27.6,2003,1957
2003-05-23,Mayo,23,32.5,28,2003,1986
1996-05-24,Mayo,24,30,29.1,1996,2003
1996-05-25,Mayo,25,28.5,28.1,1996,2001
2001-05-26,Mayo,26,30.3,30.2,2001,1986
1986-05-27,Mayo,27,30.4,29.2,1986,2019
1954-05-28,Mayo,28,27,27,1954,1995
1953-05-29,Mayo,29,32.9,27.5,1953,1990
1953-05-30,Mayo,30,31.5,27.8,1953,2022
1953-05-31,Mayo,31,31,29.4,1953,1987
