fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1991-05-01,Mayo,1,27.4,25.2,1991,1992
1992-05-02,Mayo,2,27.6,27,1992,2020
2015-05-03,Mayo,3,29,28,2015,1994
2015-05-04,Mayo,4,29,26.8,2015,2005
2020-05-05,Mayo,5,28.3,26.6,2020,1981
1996-05-06,Mayo,6,28.8,28,1996,2020
2019-05-07,Mayo,7,26.8,25.4,2019,2007
2005-05-08,Mayo,8,31.2,26.8,2005,2007
2005-05-09,Mayo,9,33,30.8,2005,2013
2013-05-10,Mayo,10,30.2,28.4,2013,2019
1992-05-11,Mayo,11,29.8,29.8,1992,2019
2007-05-12,Mayo,12,29.4,28.6,2007,1972
1999-05-13,Mayo,13,31,25.6,1999,1977
1999-05-14,Mayo,14,31.8,29.8,1999,2015
2015-05-15,Mayo,15,28.8,28.3,2015,2019
2021-05-16,Mayo,16,31.9,27.6,2021,2022
1979-05-17,Mayo,17,30,29.9,1979,2021
1995-05-18,Mayo,18,30.4,27.8,1995,1992
1995-05-19,Mayo,19,29,29,1995,2003
2003-05-20,Mayo,20,29.2,28.1,2003,2020
2020-05-21,Mayo,21,31.8,29,2020,2006
2021-05-22,Mayo,22,31,28.8,2021,2020
1974-05-23,Mayo,23,28.4,28.4,1974,2022
2003-05-24,Mayo,24,30,28.4,2003,2019
2002-05-25,Mayo,25,28,27.8,2002,1990
1996-05-26,Mayo,26,29.4,28.8,1996,1990
2011-05-27,Mayo,27,30,29,2011,1994
1974-05-28,Mayo,28,32.2,31.7,1974,2019
1974-05-29,Mayo,29,32.2,30.6,1974,2000
2007-05-30,Mayo,30,30.8,30.6,2007,1987
2010-05-31,Mayo,31,31.8,30,2010,1987
