fecha,maxima,minima
1991-05-01,27.4,12
1961-05-02,28,15
2015-05-03,32.1,14.1
1964-05-04,29.4,12
1962-05-05,29.2,16.8
1966-05-06,31,10.5
2013-05-07,28.5,17.5
2005-05-08,31.2,12
1957-05-09,28.5,9.5
2007-05-10,31.1,13
2007-05-11,30.6,13.3
2007-05-12,30.9,14.6
2007-05-13,32.7,14.4
2015-05-14,36,17
1961-05-15,32,8
1961-05-16,32,19
1979-05-17,30.4,10
1995-05-18,30.5,14.4
1992-05-19,29,19
2006-05-20,27.9,17.3
1953-05-21,29.5,13.3
1953-05-22,34.5,14.3
2009-05-23,27.8,17.3
2003-05-24,28.8,14.6
2002-05-25,29.5,14
2011-05-26,32.8,15.5
1996-05-27,30.6,15
1953-05-28,32,13.5
2000-05-29,31.6,19.6
2007-05-30,28.7,13.5
1953-05-31,34,11.5
