fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1981-11-01,Noviembre,1,26,25.6,1981,1980
1981-11-02,Noviembre,2,26.6,25.6,1981,1970
1970-11-03,Noviembre,3,25.4,25.2,1970,1981
1970-11-04,Noviembre,4,24.4,24.4,1970,2010
1970-11-05,Noviembre,5,27.2,25,1970,1981
1970-11-06,Noviembre,6,25.4,24.4,1970,1981
1981-11-07,Noviembre,7,26.2,24.4,1981,1979
2015-11-08,Noviembre,8,24.2,24,2015,1981
2015-11-09,Noviembre,9,22.1,21.8,2015,1974
1998-11-10,Noviembre,10,22.8,22,1998,1977
1981-11-11,Noviembre,11,24,22,1981,1998
1989-11-12,Noviembre,12,23.2,22,1989,1981
1981-11-13,Noviembre,13,23,22.6,1981,1989
1975-11-14,Noviembre,14,20,20,1975,1988
1990-11-15,Noviembre,15,21.2,21,1990,1981
2009-11-16,Noviembre,16,23.4,20.6,2009,1994
1990-11-17,Noviembre,17,22.8,20.6,1990,2016
1981-11-18,Noviembre,18,20.4,20.4,1981,1995
2017-11-19,Noviembre,19,20.8,20.6,2017,1964
1995-11-20,Noviembre,20,22.6,21.1,1995,2017
2017-11-21,Noviembre,21,22.6,20.4,2017,1975
2017-11-22,Noviembre,22,21.5,20.4,2017,1994
2017-11-23,Noviembre,23,20.9,19.8,2017,2014
2017-11-24,Noviembre,24,20.4,19.4,2017,2014
1981-11-25,Noviembre,25,20,19.2,1981,1973
1970-11-26,Noviembre,26,20,19.6,1970,1974
1950-11-27,Noviembre,27,21.2,20.2,1950,1974
1981-11-28,Noviembre,28,21.4,20.4,1981,2000
1979-11-29,Noviembre,29,19.2,18.8,1979,1950
1973-11-30,Noviembre,30,18.4,18.4,1973,1981
