fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1989-11-01,Noviembre,1,22.8,22.2,1989,1981
1981-11-02,Noviembre,2,23.6,23.4,1981,2013
1981-11-03,Noviembre,3,23.8,23.7,1981,1954
1954-11-04,Noviembre,4,21.7,21.4,1954,1981
1970-11-05,Noviembre,5,21.4,21.3,1970,1953
2013-11-06,Noviembre,6,23.2,22,2013,2015
2015-11-07,Noviembre,7,23.8,21.7,2015,2013
2015-11-08,Noviembre,8,21,19.6,2015,1958
1985-11-09,Noviembre,9,24.8,19.5,1985,1950
1985-11-10,Noviembre,10,23,21.9,1985,2002
2011-11-11,Noviembre,11,20.7,20.4,2011,1954
2013-11-12,Noviembre,12,24.4,20.8,2013,1977
2013-11-13,Noviembre,13,22.8,18.3,2013,2016
1975-11-14,Noviembre,14,19.4,18.9,1975,2012
1975-11-15,Noviembre,15,21.2,18.6,1975,1963
2009-11-16,Noviembre,16,20,18.2,2009,1990
2009-11-17,Noviembre,17,21.7,20.8,2009,1990
1990-11-18,Noviembre,18,18.6,18.6,1990,1994
2009-11-19,Noviembre,19,17.5,17.4,2009,1990
1992-11-20,Noviembre,20,18.8,18.1,1992,2015
2014-11-21,Noviembre,21,18.2,17.5,2014,2009
2014-11-22,Noviembre,22,17.8,17.4,2014,1984
2011-11-23,Noviembre,23,18.4,17.6,2011,2017
2014-11-24,Noviembre,24,18.4,16.9,2014,1951
1981-11-25,Noviembre,25,19.2,16.8,1981,1992
1992-11-26,Noviembre,26,18,16.6,1992,2007
1952-11-27,Noviembre,27,17.5,17.2,1952,2000
1970-11-28,Noviembre,28,17.2,17.2,1970,2000
1983-11-29,Noviembre,29,17.2,15.5,1983,2015
1952-11-30,Noviembre,30,17.1,16.2,1952,1953
