fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2019-11-01,Noviembre,1,25.1,25.1,2019,2019
2013-11-02,Noviembre,2,25.8,24.8,2013,2020
1954-11-03,Noviembre,3,23,23,1954,1991
1954-11-04,Noviembre,4,22.8,22.6,1954,2010
2013-11-05,Noviembre,5,23,22.8,2013,1954
1954-11-06,Noviembre,6,24.7,24.1,1954,2015
1985-11-07,Noviembre,7,23,22.8,1985,2015
1995-11-08,Noviembre,8,21.2,21,1995,1958
1985-11-09,Noviembre,9,28.4,20.6,1985,1988
1985-11-10,Noviembre,10,24.8,22.4,1985,1963
2018-11-11,Noviembre,11,22.8,21.7,2018,1963
1977-11-12,Noviembre,12,20.8,20.5,1977,2009
1975-11-13,Noviembre,13,20.6,20.3,1975,2010
2009-11-14,Noviembre,14,20.8,20.6,2009,1992
1963-11-15,Noviembre,15,24.4,22.4,1963,1975
2009-11-16,Noviembre,16,23.5,20.6,2009,1995
1990-11-17,Noviembre,17,22.2,21.8,1990,2009
1994-11-18,Noviembre,18,19.5,18.8,1994,2006
2015-11-19,Noviembre,19,20.8,19.7,2015,2020
1995-11-20,Noviembre,20,19.9,19,1995,2015
1972-11-21,Noviembre,21,20.7,20.2,1972,2006
1984-11-22,Noviembre,22,20.8,19,1984,2009
1984-11-23,Noviembre,23,21,20.5,1984,2006
2006-11-24,Noviembre,24,20.8,18.6,2006,2014
1992-11-25,Noviembre,25,21.5,19.9,1992,1952
1992-11-26,Noviembre,26,20.6,20.3,1992,1952
1983-11-27,Noviembre,27,21.6,21,1983,2000
1952-11-28,Noviembre,28,19.1,18.8,1952,1954
1970-11-29,Noviembre,29,19.7,17.6,1970,1975
1996-11-30,Noviembre,30,18.2,18,1996,1954
