fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1954-10-01,Octubre,1,29.6,29,1954,2011
2011-10-02,Octubre,2,31.5,27.6,2011,1959
1980-10-03,Octubre,3,27.8,26.4,1980,2011
2018-10-04,Octubre,4,25.8,25.6,2018,1997
1997-10-05,Octubre,5,25,24.4,1997,2002
1978-10-06,Octubre,6,28,25.6,1978,1964
1971-10-07,Octubre,7,27.4,25.4,1971,2012
1995-10-08,Octubre,8,27.8,26.6,1995,1969
1969-10-09,Octubre,9,27.6,26.2,1969,2005
2011-10-10,Octubre,10,26.2,24.6,2011,1961
1963-10-11,Octubre,11,26.4,26,1963,2008
1956-10-12,Octubre,12,27,26.2,1956,1990
1995-10-13,Octubre,13,26.8,26.1,1995,2018
1984-10-14,Octubre,14,25.6,25.4,1984,1959
2017-10-15,Octubre,15,31,24.8,2017,2006
2011-10-16,Octubre,16,24.5,24.4,2011,1995
1954-10-17,Octubre,17,28.6,25,1954,1969
1954-10-18,Octubre,18,27.8,24.6,1954,1997
2021-10-19,Octubre,19,26.8,26.2,2021,1968
2014-10-20,Octubre,20,25.6,23.8,2014,1997
1963-10-21,Octubre,21,25.2,23.2,1963,1956
1996-10-22,Octubre,22,28,26.2,1996,1963
2014-10-23,Octubre,23,26.3,25,2014,2012
2017-10-24,Octubre,24,26.1,24.2,2017,1989
1989-10-25,Octubre,25,26.8,26.6,1989,2017
2014-10-26,Octubre,26,28,26,2014,1989
2014-10-27,Octubre,27,26.3,24.6,2014,1965
2009-10-28,Octubre,28,27.4,26,2009,2014
2006-10-29,Octubre,29,26.2,25.2,2006,2014
2014-10-30,Octubre,30,26.7,25.4,2014,2006
1980-10-31,Octubre,31,23.4,23.4,1980,2014
