fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2013-10-01,Octubre,1,30.1,29.8,2013,1985
1985-10-02,Octubre,2,31.4,30.2,1985,2004
2004-10-03,Octubre,3,31.9,31.6,2004,1985
2004-10-04,Octubre,4,32.7,30.2,2004,2011
2004-10-05,Octubre,5,33.2,30.3,2004,2011
2004-10-06,Octubre,6,31.8,29.1,2004,2009
2024-10-07,Octubre,7,31.1,30.5,2024,2009
2004-10-08,Octubre,8,32.0,29.0,2004,1981
1981-10-09,Octubre,9,29.6,28.7,1981,2012
1991-10-10,Octubre,10,28.6,28.4,1991,1997
1997-10-11,Octubre,11,29.2,29.2,1997,2023
2001-10-12,Octubre,12,30.5,28.9,2001,2023
2019-10-13,Octubre,13,29.7,29.2,2019,2001
2024-10-14,Octubre,14,32.1,31.6,2024,2019
1988-10-15,Octubre,15,30.8,27.1,1988,2024
2013-10-16,Octubre,16,30.0,29.4,2013,1981
1988-10-17,Octubre,17,30.0,29.8,1988,1981
2014-10-18,Octubre,18,32.0,28.9,2014,2022
2014-10-19,Octubre,19,33.6,28.0,2014,2001
2022-10-20,Octubre,20,29.8,29.5,2022,2014
2014-10-21,Octubre,21,32.3,28.8,2014,1997
2022-10-22,Octubre,22,27.9,27.8,2022,1997
2022-10-23,Octubre,23,28.2,27.0,2022,2004
1987-10-24,Octubre,24,28.8,28.8,1987,2016
1987-10-25,Octubre,25,31.6,29.7,1987,2006
1987-10-26,Octubre,26,31.4,31.0,1987,2022
2022-10-27,Octubre,27,29.8,29.6,2022,1987
1999-10-28,Octubre,28,31.0,28.0,1999,2022
1999-10-29,Octubre,29,29.5,27.4,1999,1995
2024-10-30,Octubre,30,27.4,27.2,2024,2005
2006-10-31,Octubre,31,31.0,27.0,2006,2022
