fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2023-10-01,Octubre,1,32.1,28.2,2023,2004
2023-10-02,Octubre,2,31.5,27.8,2023,1995
2022-10-03,Octubre,3,29.0,28.6,2022,1983
2004-10-04,Octubre,4,29.1,28.9,2004,2023
2023-10-05,Octubre,5,29.4,28.4,2023,1968
2023-10-06,Octubre,6,30.5,27.0,2023,1968
2023-10-07,Octubre,7,31.2,25.4,2023,1975
2023-10-08,Octubre,8,30.3,27.7,2023,2019
2023-10-09,Octubre,9,28.9,27.6,2023,1978
2023-10-10,Octubre,10,28.0,26.9,2023,2011
2011-10-11,Octubre,11,28.6,28.0,2011,1985
2023-10-12,Octubre,12,28.1,27.8,2023,2011
2017-10-13,Octubre,13,27.5,26.0,2017,2011
2017-10-14,Octubre,14,27.2,25.0,2017,2011
2017-10-15,Octubre,15,26.0,24.9,2017,2022
2017-10-16,Octubre,16,27.2,26.2,2017,1981
1997-10-17,Octubre,17,24.4,24.2,1997,1954
2022-10-18,Octubre,18,25.4,24.7,2022,2014
2021-10-19,Octubre,19,24.9,24.8,2021,2014
2014-10-20,Octubre,20,26.4,25.2,2014,1983
2014-10-21,Octubre,21,24.5,23.6,2014,1968
1989-10-22,Octubre,22,25.4,25.0,1989,1996
1996-10-23,Octubre,23,23.9,23.0,1996,2004
2017-10-24,Octubre,24,25.3,23.2,2017,2014
2017-10-25,Octubre,25,25.6,24.2,2017,2014
1988-10-26,Octubre,26,25.8,25.7,1988,2014
2014-10-27,Octubre,27,24.3,23.0,2014,2022
2006-10-28,Octubre,28,26.0,25.4,2006,2016
2001-10-29,Octubre,29,26.8,26.5,2001,2006
2001-10-30,Octubre,30,26.4,24.7,2001,2016
2016-10-31,Octubre,31,23.5,21.6,2016,1980
