fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2011-10-01,Octubre,1,32.7,29.2,2011,2001
2011-10-02,Octubre,2,29.3,28.4,2011,2001
1983-10-03,Octubre,3,33.2,30.2,1983,1985
1983-10-04,Octubre,4,29.8,27,1983,1965
2015-10-05,Octubre,5,27.9,27.6,2015,2009
2009-10-06,Octubre,6,28,25,2009,2014
1978-10-07,Octubre,7,28.6,26.2,1978,1985
1995-10-08,Octubre,8,30.8,30.4,1995,2010
1995-10-09,Octubre,9,28.8,28.6,1995,1978
1978-10-10,Octubre,10,30,29.4,1978,2005
2005-10-11,Octubre,11,27.8,27,2005,1995
2001-10-12,Octubre,12,29.5,28.4,2001,2005
2018-10-13,Octubre,13,31.1,28,2018,2019
1977-10-14,Octubre,14,27.8,27.2,1977,1990
2017-10-15,Octubre,15,32.5,27.8,2017,2006
2014-10-16,Octubre,16,29.5,28,2014,1977
2014-10-17,Octubre,17,29.8,27.7,2014,2022
2014-10-18,Octubre,18,31.9,29.8,2014,2022
2022-10-19,Octubre,19,29.8,28.4,2022,2020
1968-10-20,Octubre,20,29.4,29,1968,1967
1989-10-21,Octubre,21,28.4,26.2,1989,1997
1989-10-22,Octubre,22,27.6,27.5,1989,2022
1966-10-23,Octubre,23,27.6,26.8,1966,1995
1996-10-24,Octubre,24,26.7,26.5,1996,2013
2022-10-25,Octubre,25,27.9,27.8,2022,2006
1988-10-26,Octubre,26,29.4,29.4,1988,1989
2022-10-27,Octubre,27,28.7,28.5,2022,2005
2001-10-28,Octubre,28,28.2,28,2001,2014
2022-10-29,Octubre,29,29,28.2,2022,2002
2001-10-30,Octubre,30,32.5,29.6,2001,1968
2014-10-31,Octubre,31,29.5,27.2,2014,2015
