fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
2023-10-01,Octubre,1,34.1,32.9,2023,1985
2004-10-02,Octubre,2,33.2,32.7,2004,2023
2023-10-03,Octubre,3,33.4,33.3,2023,2017
2022-10-04,Octubre,4,33.1,32.8,2022,2017
2017-10-05,Octubre,5,33.1,32.8,2017,2023
2023-10-06,Octubre,6,32.9,32.6,2023,2011
2023-10-07,Octubre,7,33.0,30.9,2023,2019
2019-10-08,Octubre,8,32.6,32.3,2019,2023
2019-10-09,Octubre,9,31.5,31.1,2019,2023
2017-10-10,Octubre,10,30.7,30.4,2017,2023
2011-10-11,Octubre,11,31.9,31.0,2011,2023
2011-10-12,Octubre,12,33.1,32.3,2011,2017
2011-10-13,Octubre,13,33.1,31.5,2011,2017
2011-10-14,Octubre,14,31.6,31.2,2011,2017
2017-10-15,Octubre,15,30.8,29.9,2017,2022
1981-10-16,Octubre,16,30.4,29.7,1981,2017
2022-10-17,Octubre,17,30.0,29.4,2022,1985
2022-10-18,Octubre,18,31.3,28.9,2022,2014
2014-10-19,Octubre,19,29.3,28.8,2014,2020
2014-10-20,Octubre,20,28.1,27.6,2014,1967
2014-10-21,Octubre,21,29.8,27.0,2014,1983
1989-10-22,Octubre,22,28.0,27.8,1989,1996
2004-10-23,Octubre,23,28.8,27.8,2004,1996
2014-10-24,Octubre,24,27.9,27.0,2014,1996
2014-10-25,Octubre,25,27.7,27.4,2014,2017
1988-10-26,Octubre,26,28.3,27.9,1988,2017
2022-10-27,Octubre,27,32.7,29.2,2022,2017
2022-10-28,Octubre,28,31.3,27.4,2022,2001
2022-10-29,Octubre,29,29.5,27.8,2022,2001
2009-10-30,Octubre,30,26.7,26.7,2009,2014
2014-10-31,Octubre,31,26.2,26.1,2014,1989
