fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1997-10-01,Octubre,1,28.7,27.6,1997,1971
2011-10-02,Octubre,2,28.8,28.4,2011,2010
2011-10-03,Octubre,3,28.5,27.8,2011,1968
2004-10-04,Octubre,4,29.3,27.6,2004,1968
1968-10-05,Octubre,5,28,27.8,1968,2004
2009-10-06,Octubre,6,28.3,27.4,2009,1968
1975-10-07,Octubre,7,27,26.8,1975,1968
2012-10-08,Octubre,8,29,27.1,2012,2019
1967-10-09,Octubre,9,28.4,27.8,1967,2012
1967-10-10,Octubre,10,28.2,26.8,1967,1995
2011-10-11,Octubre,11,28,27.7,2011,2017
1968-10-12,Octubre,12,27.6,27.2,1968,2017
2017-10-13,Octubre,13,28.5,28,2017,1968
2017-10-14,Octubre,14,26.2,24.5,2017,1990
2017-10-15,Octubre,15,26,24.3,2017,2011
2017-10-16,Octubre,16,25.8,25,2017,2011
1954-10-17,Octubre,17,27.2,25.6,1954,1981
1954-10-18,Octubre,18,27.4,27.4,1954,2014
2014-10-19,Octubre,19,27.2,25.2,2014,1968
2014-10-20,Octubre,20,25.8,24.4,2014,1968
2014-10-21,Octubre,21,26.4,24.6,2014,1968
1996-10-22,Octubre,22,26,25.4,1996,1968
1996-10-23,Octubre,23,26,25.6,1996,1968
2017-10-24,Octubre,24,25.8,24.4,2017,2014
2017-10-25,Octubre,25,26,25.6,2017,2014
2017-10-26,Octubre,26,26.5,25.2,2017,2014
1995-10-27,Octubre,27,24,23.2,1995,2006
2006-10-28,Octubre,28,25.8,25,2006,1995
1968-10-29,Octubre,29,25.8,24.6,1968,2006
2016-10-30,Octubre,30,25.7,24.4,2016,2001
1989-10-31,Octubre,31,23.7,22.2,1989,1968
