fecha,mes,dia,primero,segundo,yearprimera,yearsegundo
1998-09-01,Septiembre,1,35.3,34.6,1998,1967
2016-09-02,Septiembre,2,36.1,35,2016,1962
2016-09-03,Septiembre,3,36.6,35.5,2016,2005
2016-09-04,Septiembre,4,36.7,36.6,2016,2006
2016-09-05,Septiembre,5,37.2,36.4,2016,2006
2016-09-06,Septiembre,6,36.3,35.5,2016,1988
1988-09-07,Septiembre,7,36.4,35,1988,1966
1966-09-08,Septiembre,8,36,36,1966,1985
1966-09-09,Septiembre,9,36.2,35.4,1966,1985
1966-09-10,Septiembre,10,37,35,1966,1962
1962-09-11,Septiembre,11,35.6,35.6,1962,2022
2022-09-12,Septiembre,12,35.7,35.6,2022,1962
2020-09-13,Septiembre,13,34.7,34.4,2020,1987
1987-09-14,Septiembre,14,35.4,34.5,1987,2000
1987-09-15,Septiembre,15,36.6,35.2,1987,2000
1987-09-16,Septiembre,16,34.4,34.2,1987,2020
1987-09-17,Septiembre,17,33.5,32.7,1987,2019
1987-09-18,Septiembre,18,33.7,33.6,1987,1991
1987-09-19,Septiembre,19,33,32.8,1987,1978
1987-09-20,Septiembre,20,33.5,32.9,1987,2018
2018-09-21,Septiembre,21,33.2,32.6,2018,1970
1985-09-22,Septiembre,22,33.2,33,1985,1991
2018-09-23,Septiembre,23,33.9,33,2018,1985
1985-09-24,Septiembre,24,32,31.8,1985,1967
1964-09-25,Septiembre,25,32.6,31,1964,2013
2013-09-26,Septiembre,26,33,31.4,2013,1961
2013-09-27,Septiembre,27,32.5,31.5,2013,2011
2011-09-28,Septiembre,28,31,30.4,2011,1988
1985-09-29,Septiembre,29,31.4,31,1985,2018
1985-09-30,Septiembre,30,32.2,31.1,1985,2019
