date,month,city,day,temp,year
1980-04-01,Abril,Alicante,1,32.6,1980
1994-04-01,Abril,Alicante,1,28.2,1994
1953-04-01,Abril,Alicante,1,27.4,1953
1962-04-01,Abril,Alicante,1,27,1962
1981-04-01,Abril,Alicante,1,26,1981
1958-04-01,Abril,Alicante,1,25.4,1958
1993-04-01,Abril,Alicante,1,25,1993
2006-04-01,Abril,Alicante,1,25,2006
1998-04-01,Abril,Alicante,1,24.6,1998
1974-04-01,Abril,Alicante,1,24,1974
1977-04-02,Abril,Alicante,2,29.8,1977
1962-04-02,Abril,Alicante,2,26.5,1962
1953-04-02,Abril,Alicante,2,26.3,1953
1959-04-02,Abril,Alicante,2,25.7,1959
2003-04-02,Abril,Alicante,2,25.7,2003
1998-04-02,Abril,Alicante,2,25.6,1998
1999-04-02,Abril,Alicante,2,25.6,1999
1968-04-02,Abril,Alicante,2,24.8,1968
1985-04-02,Abril,Alicante,2,24.8,1985
2011-04-02,Abril,Alicante,2,24.8,2011
1985-04-03,Abril,Alicante,3,30.6,1985
1998-04-03,Abril,Alicante,3,27.8,1998
1968-04-03,Abril,Alicante,3,26.2,1968
1953-04-03,Abril,Alicante,3,25.9,1953
1958-04-03,Abril,Alicante,3,25.9,1958
1962-04-03,Abril,Alicante,3,25.8,1962
1977-04-03,Abril,Alicante,3,25.6,1977
1984-04-03,Abril,Alicante,3,25.2,1984
1959-04-03,Abril,Alicante,3,24.8,1959
1993-04-03,Abril,Alicante,3,24.8,1993
1960-04-04,Abril,Alicante,4,27.5,1960
1953-04-04,Abril,Alicante,4,25.8,1953
2001-04-04,Abril,Alicante,4,25.8,2001
1993-04-04,Abril,Alicante,4,25.6,1993
1984-04-04,Abril,Alicante,4,25.2,1984
2018-04-04,Abril,Alicante,4,25.1,2018
2011-04-04,Abril,Alicante,4,25,2011
1972-04-04,Abril,Alicante,4,24.8,1972
1998-04-04,Abril,Alicante,4,24.6,1998
1999-04-04,Abril,Alicante,4,24.6,1999
2014-04-05,Abril,Alicante,5,27.8,2014
1962-04-05,Abril,Alicante,5,26.4,1962
1999-04-05,Abril,Alicante,5,25.4,1999
2001-04-05,Abril,Alicante,5,25.2,2001
