date,month,city,day,temp,year
1980-04-01,Abril,Caceres,1,26.4,1980
1997-04-01,Abril,Caceres,1,25.4,1997
2011-04-01,Abril,Caceres,1,25.4,2011
2015-04-01,Abril,Caceres,1,25,2015
1976-04-01,Abril,Caceres,1,23.8,1976
1953-04-01,Abril,Caceres,1,23.6,1953
1995-04-01,Abril,Caceres,1,23.2,1995
2001-04-01,Abril,Caceres,1,22.4,2001
1959-04-01,Abril,Caceres,1,21.8,1959
2008-04-01,Abril,Caceres,1,21.8,2008
1997-04-02,Abril,Caceres,2,25.2,1997
1980-04-02,Abril,Caceres,2,25,1980
2015-04-02,Abril,Caceres,2,25,2015
1995-04-02,Abril,Caceres,2,24.4,1995
2008-04-02,Abril,Caceres,2,24.4,2008
1972-04-02,Abril,Caceres,2,22.4,1972
1953-04-02,Abril,Caceres,2,22.2,1953
1959-04-02,Abril,Caceres,2,22.2,1959
1973-04-02,Abril,Caceres,2,21.8,1973
2019-04-02,Abril,Caceres,2,21.5,2019
2008-04-03,Abril,Caceres,3,26.9,2008
2015-04-03,Abril,Caceres,3,26,2015
1972-04-03,Abril,Caceres,3,25.8,1972
1997-04-03,Abril,Caceres,3,25.2,1997
1980-04-03,Abril,Caceres,3,24.6,1980
1999-04-03,Abril,Caceres,3,24.6,1999
1995-04-03,Abril,Caceres,3,23.4,1995
1953-04-03,Abril,Caceres,3,23,1953
1954-04-03,Abril,Caceres,3,22.6,1954
1957-04-03,Abril,Caceres,3,22.6,1957
1999-04-04,Abril,Caceres,4,27,1999
2008-04-04,Abril,Caceres,4,26.8,2008
2015-04-04,Abril,Caceres,4,26.3,2015
1997-04-04,Abril,Caceres,4,26,1997
2017-04-04,Abril,Caceres,4,24.5,2017
2009-04-04,Abril,Caceres,4,24.4,2009
1995-04-04,Abril,Caceres,4,24,1995
1954-04-04,Abril,Caceres,4,23.2,1954
1967-04-04,Abril,Caceres,4,23,1967
1973-04-04,Abril,Caceres,4,22.6,1973
1999-04-05,Abril,Caceres,5,27.8,1999
2011-04-05,Abril,Caceres,5,27,2011
2008-04-05,Abril,Caceres,5,26.2,2008
1997-04-05,Abril,Caceres,5,26,1997
1995-04-05,Abril,Caceres,5,25.8,1995
2015-04-05,Abril,Caceres,5,25.1,2015
1973-04-05,Abril,Caceres,5,25,1973
1967-04-05,Abril,Caceres,5,24.2,1967
2009-04-05,Abril,Caceres,5,23.8,2009
1955-04-05,Abril,Caceres,5,23.4,1955
1999-04-06,Abril,Caceres,6,28.6,1999
1967-04-06,Abril,Caceres,6,27,1967
1995-04-06,Abril,Caceres,6,26.6,1995
2008-04-06,Abril,Caceres,6,26.4,2008
1973-04-06,Abril,Caceres,6,26,1973
2011-04-06,Abril,Caceres,6,25.8,2011
2004-04-06,Abril,Caceres,6,24.5,2004
2014-04-06,Abril,Caceres,6,23.5,2014
1972-04-06,Abril,Caceres,6,23.4,1972
1993-04-06,Abril,Caceres,6,23.2,1993
2011-04-07,Abril,Caceres,7,28.4,2011
1995-04-07,Abril,Caceres,7,27.6,1995
1993-04-07,Abril,Caceres,7,27.2,1993
1999-04-07,Abril,Caceres,7,26.6,1999
2014-04-07,Abril,Caceres,7,25.4,2014
2017-04-07,Abril,Caceres,7,25.1,2017
1973-04-07,Abril,Caceres,7,25,1973
2005-04-07,Abril,Caceres,7,24,2005
1982-04-07,Abril,Caceres,7,23.6,1982
2003-04-07,Abril,Caceres,7,22.6,2003
2011-04-08,Abril,Caceres,8,28.8,2011
1995-04-08,Abril,Caceres,8,27.2,1995
2014-04-08,Abril,Caceres,8,26.4,2014
1982-04-08,Abril,Caceres,8,26,1982
1950-04-08,Abril,Caceres,8,25.4,1950
