date,month,city,day,temp,year
1980-04-01,Abril,Ciudad_Real,1,27,1980
2011-04-01,Abril,Ciudad_Real,1,26.8,2011
1997-04-01,Abril,Ciudad_Real,1,25.4,1997
1976-04-01,Abril,Ciudad_Real,1,24.8,1976
2015-04-01,Abril,Ciudad_Real,1,24.4,2015
2001-04-01,Abril,Ciudad_Real,1,24.2,2001
1953-04-01,Abril,Ciudad_Real,1,24,1953
2005-04-01,Abril,Ciudad_Real,1,23.8,2005
1961-04-01,Abril,Ciudad_Real,1,23.2,1961
1986-04-01,Abril,Ciudad_Real,1,23,1986
1980-04-02,Abril,Ciudad_Real,2,27,1980
1997-04-02,Abril,Ciudad_Real,2,25.6,1997
1995-04-02,Abril,Ciudad_Real,2,25.4,1995
2011-04-02,Abril,Ciudad_Real,2,25.2,2011
1985-04-02,Abril,Ciudad_Real,2,24,1985
1959-04-02,Abril,Ciudad_Real,2,23.6,1959
2015-04-02,Abril,Ciudad_Real,2,23.5,2015
2001-04-02,Abril,Ciudad_Real,2,23.2,2001
2008-04-02,Abril,Ciudad_Real,2,23.2,2008
1953-04-02,Abril,Ciudad_Real,2,23,1953
2006-04-03,Abril,Ciudad_Real,3,28,2006
2008-04-03,Abril,Ciudad_Real,3,26.6,2008
1953-04-03,Abril,Ciudad_Real,3,26.2,1953
2015-04-03,Abril,Ciudad_Real,3,25.7,2015
1999-04-03,Abril,Ciudad_Real,3,25.6,1999
1980-04-03,Abril,Ciudad_Real,3,25.4,1980
1985-04-03,Abril,Ciudad_Real,3,25.4,1985
1997-04-03,Abril,Ciudad_Real,3,25.2,1997
1972-04-03,Abril,Ciudad_Real,3,24.8,1972
1959-04-03,Abril,Ciudad_Real,3,24.4,1959
1999-04-04,Abril,Ciudad_Real,4,27.7,1999
2006-04-04,Abril,Ciudad_Real,4,27.1,2006
1995-04-04,Abril,Ciudad_Real,4,25.4,1995
2008-04-04,Abril,Ciudad_Real,4,25.4,2008
1997-04-04,Abril,Ciudad_Real,4,25.2,1997
1957-04-04,Abril,Ciudad_Real,4,24.6,1957
1954-04-04,Abril,Ciudad_Real,4,24,1954
1961-04-04,Abril,Ciudad_Real,4,24,1961
2015-04-04,Abril,Ciudad_Real,4,24,2015
2009-04-04,Abril,Ciudad_Real,4,23.4,2009
1999-04-05,Abril,Ciudad_Real,5,28.7,1999
1955-04-05,Abril,Ciudad_Real,5,26.6,1955
1967-04-05,Abril,Ciudad_Real,5,26,1967
1997-04-05,Abril,Ciudad_Real,5,26,1997
2011-04-05,Abril,Ciudad_Real,5,26,2011
2008-04-05,Abril,Ciudad_Real,5,25.6,2008
2015-04-05,Abril,Ciudad_Real,5,25.2,2015
1995-04-05,Abril,Ciudad_Real,5,24.4,1995
2009-04-05,Abril,Ciudad_Real,5,24.2,2009
1960-04-05,Abril,Ciudad_Real,5,23.8,1960
1999-04-06,Abril,Ciudad_Real,6,28.7,1999
1950-04-06,Abril,Ciudad_Real,6,28,1950
1973-04-06,Abril,Ciudad_Real,6,27.2,1973
1967-04-06,Abril,Ciudad_Real,6,26.6,1967
2008-04-06,Abril,Ciudad_Real,6,26.4,2008
2011-04-06,Abril,Ciudad_Real,6,25.6,2011
1995-04-06,Abril,Ciudad_Real,6,25.2,1995
2009-04-06,Abril,Ciudad_Real,6,25,2009
2004-04-06,Abril,Ciudad_Real,6,24.4,2004
1993-04-06,Abril,Ciudad_Real,6,24.2,1993
2014-04-07,Abril,Ciudad_Real,7,28.1,2014
1993-04-07,Abril,Ciudad_Real,7,27.6,1993
1995-04-07,Abril,Ciudad_Real,7,27.6,1995
2011-04-07,Abril,Ciudad_Real,7,27.5,2011
1973-04-07,Abril,Ciudad_Real,7,26,1973
1999-04-07,Abril,Ciudad_Real,7,25.6,1999
2005-04-07,Abril,Ciudad_Real,7,25.6,2005
1972-04-07,Abril,Ciudad_Real,7,25,1972
1991-04-07,Abril,Ciudad_Real,7,24.2,1991
2004-04-07,Abril,Ciudad_Real,7,24.2,2004
2011-04-08,Abril,Ciudad_Real,8,29.4,2011
1995-04-08,Abril,Ciudad_Real,8,28,1995
2014-04-08,Abril,Ciudad_Real,8,27.9,2014
1993-04-08,Abril,Ciudad_Real,8,27.8,1993
1960-04-08,Abril,Ciudad_Real,8,25.6,1960
1982-04-08,Abril,Ciudad_Real,8,25.4,1982
1950-04-08,Abril,Ciudad_Real,8,25.2,1950
1991-04-08,Abril,Ciudad_Real,8,25.2,1991
1955-04-08,Abril,Ciudad_Real,8,24.6,1955
2017-04-08,Abril,Ciudad_Real,8,24.1,2017
1995-04-09,Abril,Ciudad_Real,9,29.8,1995
2011-04-09,Abril,Ciudad_Real,9,29,2011
2014-04-09,Abril,Ciudad_Real,9,28.4,2014
1955-04-09,Abril,Ciudad_Real,9,27,1955
1983-04-09,Abril,Ciudad_Real,9,26.6,1983
1984-04-09,Abril,Ciudad_Real,9,26.6,1984
1993-04-09,Abril,Ciudad_Real,9,26.6,1993
1950-04-09,Abril,Ciudad_Real,9,26,1950
1960-04-09,Abril,Ciudad_Real,9,25.8,1960
2017-04-09,Abril,Ciudad_Real,9,25.5,2017
2014-04-10,Abril,Ciudad_Real,10,31.1,2014
1950-04-10,Abril,Ciudad_Real,10,29,1950
1995-04-10,Abril,Ciudad_Real,10,28.6,1995
1983-04-10,Abril,Ciudad_Real,10,28,1983
2011-04-10,Abril,Ciudad_Real,10,27.3,2011
1955-04-10,Abril,Ciudad_Real,10,26.6,1955
1982-04-10,Abril,Ciudad_Real,10,26.6,1982
1960-04-10,Abril,Ciudad_Real,10,26,1960
1991-04-10,Abril,Ciudad_Real,10,26,1991
2017-04-10,Abril,Ciudad_Real,10,25.5,2017
2014-04-11,Abril,Ciudad_Real,11,28.5,2014
2017-04-11,Abril,Ciudad_Real,11,27.9,2017
1995-04-11,Abril,Ciudad_Real,11,27.4,1995
1991-04-11,Abril,Ciudad_Real,11,26.2,1991
1960-04-11,Abril,Ciudad_Real,11,25.2,1960
1950-04-11,Abril,Ciudad_Real,11,25,1950
1955-04-11,Abril,Ciudad_Real,11,24.8,1955
1996-04-11,Abril,Ciudad_Real,11,24.6,1996
1999-04-11,Abril,Ciudad_Real,11,24.6,1999
1984-04-11,Abril,Ciudad_Real,11,23.4,1984
2017-04-12,Abril,Ciudad_Real,12,28.8,2017
1995-04-12,Abril,Ciudad_Real,12,28.2,1995
1955-04-12,Abril,Ciudad_Real,12,27.2,1955
2014-04-12,Abril,Ciudad_Real,12,26.1,2014
1991-04-12,Abril,Ciudad_Real,12,26,1991
1953-04-12,Abril,Ciudad_Real,12,25,1953
1961-04-12,Abril,Ciudad_Real,12,25,1961
1996-04-12,Abril,Ciudad_Real,12,25,1996
1999-04-12,Abril,Ciudad_Real,12,25,1999
2011-04-12,Abril,Ciudad_Real,12,25,2011
1955-04-13,Abril,Ciudad_Real,13,28.8,1955
1995-04-13,Abril,Ciudad_Real,13,28.4,1995
2017-04-13,Abril,Ciudad_Real,13,27.9,2017
2011-04-13,Abril,Ciudad_Real,13,27.6,2011
2003-04-13,Abril,Ciudad_Real,13,26.6,2003
2015-04-13,Abril,Ciudad_Real,13,25.9,2015
1977-04-13,Abril,Ciudad_Real,13,25.8,1977
1997-04-13,Abril,Ciudad_Real,13,25.4,1997
2014-04-13,Abril,Ciudad_Real,13,24.8,2014
1996-04-13,Abril,Ciudad_Real,13,24.6,1996
2011-04-14,Abril,Ciudad_Real,14,28.4,2011
1955-04-14,Abril,Ciudad_Real,14,27.6,1955
2013-04-14,Abril,Ciudad_Real,14,27.3,2013
2014-04-14,Abril,Ciudad_Real,14,27.3,2014
1977-04-14,Abril,Ciudad_Real,14,27,1977
1996-04-14,Abril,Ciudad_Real,14,26.6,1996
2017-04-14,Abril,Ciudad_Real,14,26.4,2017
2015-04-14,Abril,Ciudad_Real,14,25.9,2015
1997-04-14,Abril,Ciudad_Real,14,25.6,1997
1988-04-14,Abril,Ciudad_Real,14,24.6,1988
1988-04-15,Abril,Ciudad_Real,15,28,1988
1997-04-15,Abril,Ciudad_Real,15,27.2,1997
2019-04-15,Abril,Ciudad_Real,15,26.7,2019
1996-04-15,Abril,Ciudad_Real,15,26.6,1996
2011-04-15,Abril,Ciudad_Real,15,26.6,2011
2014-04-15,Abril,Ciudad_Real,15,26.4,2014
1955-04-15,Abril,Ciudad_Real,15,25.8,1955
2017-04-15,Abril,Ciudad_Real,15,25.8,2017
2013-04-15,Abril,Ciudad_Real,15,25.7,2013
1970-04-15,Abril,Ciudad_Real,15,25,1970
1997-04-16,Abril,Ciudad_Real,16,28.4,1997
2017-04-16,Abril,Ciudad_Real,16,27.9,2017
1970-04-16,Abril,Ciudad_Real,16,27.6,1970
2014-04-16,Abril,Ciudad_Real,16,27.4,2014
2013-04-16,Abril,Ciudad_Real,16,26.9,2013
1975-04-16,Abril,Ciudad_Real,16,25.6,1975
1996-04-16,Abril,Ciudad_Real,16,25,1996
2019-04-16,Abril,Ciudad_Real,16,24.7,2019
1955-04-16,Abril,Ciudad_Real,16,24.4,1955
1952-04-16,Abril,Ciudad_Real,16,24.2,1952
2013-04-17,Abril,Ciudad_Real,17,29.7,2013
2014-04-17,Abril,Ciudad_Real,17,29.1,2014
2017-04-17,Abril,Ciudad_Real,17,28.8,2017
1970-04-17,Abril,Ciudad_Real,17,28,1970
