date,month,city,day,temp,year
1997-04-01,Abril,Ourense,1,28.4,1997
2011-04-01,Abril,Ourense,1,28.4,2011
1995-04-01,Abril,Ourense,1,27.6,1995
2012-04-01,Abril,Ourense,1,26.2,2012
2003-04-01,Abril,Ourense,1,26,2003
2001-04-01,Abril,Ourense,1,25.6,2001
2015-04-01,Abril,Ourense,1,25.4,2015
2005-04-01,Abril,Ourense,1,24.6,2005
2019-04-01,Abril,Ourense,1,24.5,2019
1976-04-01,Abril,Ourense,1,24.2,1976
2015-04-02,Abril,Ourense,2,29.2,2015
1995-04-02,Abril,Ourense,2,28.6,1995
1997-04-02,Abril,Ourense,2,27.6,1997
1985-04-02,Abril,Ourense,2,27.2,1985
2008-04-02,Abril,Ourense,2,26.8,2008
2012-04-02,Abril,Ourense,2,24.7,2012
2009-04-02,Abril,Ourense,2,22.2,2009
2005-04-02,Abril,Ourense,2,22,2005
2006-04-02,Abril,Ourense,2,21.5,2006
2017-04-02,Abril,Ourense,2,21.5,2017
2008-04-03,Abril,Ourense,3,28.9,2008
1995-04-03,Abril,Ourense,3,28.4,1995
2015-04-03,Abril,Ourense,3,27.7,2015
1997-04-03,Abril,Ourense,3,26.8,1997
2017-04-03,Abril,Ourense,3,26.6,2017
2006-04-03,Abril,Ourense,3,25.8,2006
1999-04-03,Abril,Ourense,3,25.6,1999
2009-04-03,Abril,Ourense,3,24,2009
1985-04-03,Abril,Ourense,3,23.2,1985
1980-04-03,Abril,Ourense,3,22.6,1980
2008-04-04,Abril,Ourense,4,30,2008
1999-04-04,Abril,Ourense,4,29.4,1999
1973-04-04,Abril,Ourense,4,27,1973
1995-04-04,Abril,Ourense,4,26.6,1995
1997-04-04,Abril,Ourense,4,25.8,1997
2017-04-04,Abril,Ourense,4,25,2017
2015-04-04,Abril,Ourense,4,24.7,2015
2011-04-04,Abril,Ourense,4,24,2011
2003-04-04,Abril,Ourense,4,23.6,2003
1996-04-04,Abril,Ourense,4,22.6,1996
1999-04-05,Abril,Ourense,5,30.4,1999
2011-04-05,Abril,Ourense,5,29.6,2011
1973-04-05,Abril,Ourense,5,29.4,1973
2008-04-05,Abril,Ourense,5,29.4,2008
1997-04-05,Abril,Ourense,5,28.8,1997
2015-04-05,Abril,Ourense,5,28.6,2015
1995-04-05,Abril,Ourense,5,27.6,1995
2004-04-05,Abril,Ourense,5,26.4,2004
2003-04-05,Abril,Ourense,5,24.8,2003
2017-04-05,Abril,Ourense,5,24.7,2017
2011-04-06,Abril,Ourense,6,31.5,2011
1973-04-06,Abril,Ourense,6,28.4,1973
1995-04-06,Abril,Ourense,6,28.4,1995
1997-04-06,Abril,Ourense,6,28.2,1997
2015-04-06,Abril,Ourense,6,28,2015
2003-04-06,Abril,Ourense,6,27.6,2003
2017-04-06,Abril,Ourense,6,27.4,2017
2008-04-06,Abril,Ourense,6,25.4,2008
1999-04-06,Abril,Ourense,6,25.2,1999
2005-04-06,Abril,Ourense,6,23.8,2005
2011-04-07,Abril,Ourense,7,32.9,2011
2017-04-07,Abril,Ourense,7,30.2,2017
1995-04-07,Abril,Ourense,7,29.6,1995
2003-04-07,Abril,Ourense,7,28.8,2003
2015-04-07,Abril,Ourense,7,28.2,2015
1997-04-07,Abril,Ourense,7,27.4,1997
1993-04-07,Abril,Ourense,7,26,1993
1984-04-07,Abril,Ourense,7,25.6,1984
1982-04-07,Abril,Ourense,7,25,1982
1974-04-07,Abril,Ourense,7,24,1974
2011-04-08,Abril,Ourense,8,32.9,2011
1995-04-08,Abril,Ourense,8,29.6,1995
2017-04-08,Abril,Ourense,8,28.6,2017
2003-04-08,Abril,Ourense,8,26.6,2003
1984-04-08,Abril,Ourense,8,26.2,1984
1982-04-08,Abril,Ourense,8,26,1982
2015-04-08,Abril,Ourense,8,25.3,2015
1991-04-08,Abril,Ourense,8,24.4,1991
2014-04-08,Abril,Ourense,8,24.4,2014
2010-04-08,Abril,Ourense,8,24.2,2010
1995-04-09,Abril,Ourense,9,30,1995
2017-04-09,Abril,Ourense,9,29.8,2017
2014-04-09,Abril,Ourense,9,29.7,2014
1991-04-09,Abril,Ourense,9,26.6,1991
1999-04-09,Abril,Ourense,9,26.6,1999
2010-04-09,Abril,Ourense,9,26.5,2010
1982-04-09,Abril,Ourense,9,25.6,1982
1984-04-09,Abril,Ourense,9,25,1984
2001-04-09,Abril,Ourense,9,24.6,2001
1996-04-09,Abril,Ourense,9,24.4,1996
2017-04-10,Abril,Ourense,10,31.9,2017
1995-04-10,Abril,Ourense,10,31.6,1995
2014-04-10,Abril,Ourense,10,28,2014
1982-04-10,Abril,Ourense,10,26.8,1982
1999-04-10,Abril,Ourense,10,26.6,1999
2010-04-10,Abril,Ourense,10,26.5,2010
1997-04-10,Abril,Ourense,10,25.6,1997
1991-04-10,Abril,Ourense,10,24.2,1991
2011-04-10,Abril,Ourense,10,23.9,2011
2007-04-10,Abril,Ourense,10,23.8,2007
1995-04-11,Abril,Ourense,11,31.8,1995
2017-04-11,Abril,Ourense,11,30.7,2017
1997-04-11,Abril,Ourense,11,26.6,1997
2010-04-11,Abril,Ourense,11,26.6,2010
1991-04-11,Abril,Ourense,11,26.4,1991
2011-04-11,Abril,Ourense,11,24.4,2011
1984-04-11,Abril,Ourense,11,24.2,1984
2014-04-11,Abril,Ourense,11,24.1,2014
