date,month,city,day,temp,year
1980-04-01,Abril,Valencia,1,34.2,1980
2006-04-01,Abril,Valencia,1,30,2006
1953-04-01,Abril,Valencia,1,29.2,1953
1994-04-01,Abril,Valencia,1,27.6,1994
1985-04-01,Abril,Valencia,1,25.6,1985
1998-04-01,Abril,Valencia,1,25.6,1998
1974-04-01,Abril,Valencia,1,25.4,1974
1981-04-01,Abril,Valencia,1,25,1981
2017-04-01,Abril,Valencia,1,24.1,2017
1962-04-01,Abril,Valencia,1,24,1962
1962-04-02,Abril,Valencia,2,27,1962
1977-04-02,Abril,Valencia,2,26.4,1977
1973-04-02,Abril,Valencia,2,26.2,1973
1984-04-02,Abril,Valencia,2,25.4,1984
1985-04-02,Abril,Valencia,2,25.2,1985
1989-04-02,Abril,Valencia,2,25.2,1989
1998-04-02,Abril,Valencia,2,25,1998
1972-04-02,Abril,Valencia,2,24.5,1972
1958-04-02,Abril,Valencia,2,24.3,1958
2008-04-02,Abril,Valencia,2,23.9,2008
1985-04-03,Abril,Valencia,3,29.6,1985
1998-04-03,Abril,Valencia,3,27.6,1998
2018-04-03,Abril,Valencia,3,26.4,2018
1999-04-03,Abril,Valencia,3,25.7,1999
1972-04-03,Abril,Valencia,3,25.3,1972
1962-04-03,Abril,Valencia,3,25,1962
1977-04-03,Abril,Valencia,3,24.4,1977
2019-04-03,Abril,Valencia,3,24.4,2019
1993-04-03,Abril,Valencia,3,24.2,1993
1973-04-03,Abril,Valencia,3,23.8,1973
1972-04-04,Abril,Valencia,4,29.8,1972
2001-04-04,Abril,Valencia,4,28.6,2001
1960-04-04,Abril,Valencia,4,27.6,1960
2014-04-04,Abril,Valencia,4,26.6,2014
1993-04-04,Abril,Valencia,4,24.2,1993
1999-04-04,Abril,Valencia,4,24.2,1999
1953-04-04,Abril,Valencia,4,23.4,1953
1954-04-04,Abril,Valencia,4,23.4,1954
1997-04-04,Abril,Valencia,4,22.8,1997
2013-04-04,Abril,Valencia,4,22.8,2013
2014-04-05,Abril,Valencia,5,29.3,2014
1962-04-05,Abril,Valencia,5,27,1962
2006-04-05,Abril,Valencia,5,25.8,2006
1972-04-05,Abril,Valencia,5,23.6,1972
1966-04-05,Abril,Valencia,5,23.4,1966
1987-04-05,Abril,Valencia,5,23.4,1987
2001-04-05,Abril,Valencia,5,23.4,2001
1984-04-05,Abril,Valencia,5,23,1984
1998-04-05,Abril,Valencia,5,22.6,1998
2002-04-05,Abril,Valencia,5,22.4,2002
