date,month,city,day,temp,year
1985-04-01,Abril,Zaragoza,1,26.4,1985
2011-04-01,Abril,Zaragoza,1,26.4,2011
1980-04-01,Abril,Zaragoza,1,26.2,1980
1953-04-01,Abril,Zaragoza,1,24.6,1953
2012-04-01,Abril,Zaragoza,1,24.6,2012
2001-04-01,Abril,Zaragoza,1,24.4,2001
2006-04-01,Abril,Zaragoza,1,23.9,2006
1976-04-01,Abril,Zaragoza,1,23.6,1976
1961-04-01,Abril,Zaragoza,1,23,1961
1994-04-01,Abril,Zaragoza,1,22.7,1994
1985-04-02,Abril,Zaragoza,2,26.6,1985
2011-04-02,Abril,Zaragoza,2,26.6,2011
1995-04-02,Abril,Zaragoza,2,25.4,1995
2001-04-02,Abril,Zaragoza,2,24,2001
1999-04-02,Abril,Zaragoza,2,23.4,1999
2012-04-02,Abril,Zaragoza,2,23.3,2012
1953-04-02,Abril,Zaragoza,2,23,1953
1972-04-02,Abril,Zaragoza,2,23,1972
2006-04-02,Abril,Zaragoza,2,23,2006
2015-04-02,Abril,Zaragoza,2,22.5,2015
1985-04-03,Abril,Zaragoza,3,28.4,1985
1953-04-03,Abril,Zaragoza,3,26.8,1953
1972-04-03,Abril,Zaragoza,3,25.9,1972
1995-04-03,Abril,Zaragoza,3,25.3,1995
1998-04-03,Abril,Zaragoza,3,24.6,1998
1999-04-03,Abril,Zaragoza,3,24,1999
2015-04-03,Abril,Zaragoza,3,24,2015
1997-04-03,Abril,Zaragoza,3,23.8,1997
2018-04-03,Abril,Zaragoza,3,23.7,2018
1961-04-03,Abril,Zaragoza,3,23.5,1961
1972-04-04,Abril,Zaragoza,4,27,1972
1999-04-04,Abril,Zaragoza,4,25.3,1999
1961-04-04,Abril,Zaragoza,4,24.4,1961
1995-04-04,Abril,Zaragoza,4,24.2,1995
2006-04-04,Abril,Zaragoza,4,23.8,2006
2008-04-04,Abril,Zaragoza,4,23.4,2008
1955-04-04,Abril,Zaragoza,4,23.2,1955
2001-04-04,Abril,Zaragoza,4,23,2001
1965-04-04,Abril,Zaragoza,4,22.5,1965
1954-04-04,Abril,Zaragoza,4,21.8,1954
1999-04-05,Abril,Zaragoza,5,26.8,1999
1955-04-05,Abril,Zaragoza,5,26.7,1955
2011-04-05,Abril,Zaragoza,5,25.9,2011
1973-04-05,Abril,Zaragoza,5,25.2,1973
1995-04-05,Abril,Zaragoza,5,24.4,1995
2014-04-05,Abril,Zaragoza,5,23.1,2014
1960-04-05,Abril,Zaragoza,5,22.7,1960
1967-04-05,Abril,Zaragoza,5,22.6,1967
1981-04-05,Abril,Zaragoza,5,22.6,1981
1997-04-05,Abril,Zaragoza,5,22.5,1997
1973-04-06,Abril,Zaragoza,6,29.4,1973
1999-04-06,Abril,Zaragoza,6,28.3,1999
2011-04-06,Abril,Zaragoza,6,27.5,2011
2014-04-06,Abril,Zaragoza,6,27,2014
2001-04-06,Abril,Zaragoza,6,26.5,2001
1995-04-06,Abril,Zaragoza,6,25.8,1995
1997-04-06,Abril,Zaragoza,6,25.7,1997
1993-04-06,Abril,Zaragoza,6,23,1993
1960-04-06,Abril,Zaragoza,6,22.8,1960
2003-04-06,Abril,Zaragoza,6,22.8,2003
2014-04-07,Abril,Zaragoza,7,28,2014
2011-04-07,Abril,Zaragoza,7,27.8,2011
1993-04-07,Abril,Zaragoza,7,25.8,1993
1972-04-07,Abril,Zaragoza,7,24.5,1972
1995-04-07,Abril,Zaragoza,7,24.3,1995
1985-04-07,Abril,Zaragoza,7,23.6,1985
1953-04-07,Abril,Zaragoza,7,23.5,1953
1982-04-07,Abril,Zaragoza,7,23.4,1982
2005-04-07,Abril,Zaragoza,7,23.1,2005
1952-04-07,Abril,Zaragoza,7,22.3,1952
2011-04-08,Abril,Zaragoza,8,30.2,2011
1993-04-08,Abril,Zaragoza,8,27.8,1993
1995-04-08,Abril,Zaragoza,8,25.5,1995
1982-04-08,Abril,Zaragoza,8,25.4,1982
2017-04-08,Abril,Zaragoza,8,25.2,2017
1983-04-08,Abril,Zaragoza,8,24.4,1983
2006-04-08,Abril,Zaragoza,8,23.5,2006
1961-04-08,Abril,Zaragoza,8,23.4,1961
2014-04-08,Abril,Zaragoza,8,23.4,2014
1987-04-08,Abril,Zaragoza,8,22,1987
2011-04-09,Abril,Zaragoza,9,32.4,2011
1983-04-09,Abril,Zaragoza,9,27.4,1983
1995-04-09,Abril,Zaragoza,9,25.6,1995
2017-04-09,Abril,Zaragoza,9,25.2,2017
1955-04-09,Abril,Zaragoza,9,24.6,1955
2006-04-09,Abril,Zaragoza,9,24.5,2006
2008-04-09,Abril,Zaragoza,9,24.4,2008
1960-04-09,Abril,Zaragoza,9,24.2,1960
1982-04-09,Abril,Zaragoza,9,24.2,1982
2014-04-09,Abril,Zaragoza,9,23.7,2014
1983-04-10,Abril,Zaragoza,10,28.6,1983
2014-04-10,Abril,Zaragoza,10,28.6,2014
2017-04-10,Abril,Zaragoza,10,26.2,2017
1991-04-10,Abril,Zaragoza,10,24.9,1991
