date,month,city,day,temp,year
1958-08-01,Agosto,Alicante,1,35.4,1958
2001-08-01,Agosto,Alicante,1,35.4,2001
1952-08-01,Agosto,Alicante,1,34.9,1952
2006-08-01,Agosto,Alicante,1,34.8,2006
1964-08-01,Agosto,Alicante,1,34.6,1964
1950-08-01,Agosto,Alicante,1,34.2,1950
1962-08-01,Agosto,Alicante,1,34.2,1962
1963-08-01,Agosto,Alicante,1,34.2,1963
1967-08-01,Agosto,Alicante,1,34,1967
1971-08-01,Agosto,Alicante,1,34,1971
1968-08-02,Agosto,Alicante,2,37.2,1968
1958-08-02,Agosto,Alicante,2,36.2,1958
2000-08-02,Agosto,Alicante,2,35.6,2000
1955-08-02,Agosto,Alicante,2,34.8,1955
1964-08-02,Agosto,Alicante,2,34.8,1964
2012-08-02,Agosto,Alicante,2,34.6,2012
2017-08-02,Agosto,Alicante,2,34.4,2017
1957-08-02,Agosto,Alicante,2,34,1957
1992-08-02,Agosto,Alicante,2,34,1992
1952-08-02,Agosto,Alicante,2,33.8,1952
1988-08-03,Agosto,Alicante,3,39.8,1988
1971-08-03,Agosto,Alicante,3,36.8,1971
1957-08-03,Agosto,Alicante,3,36.4,1957
2017-08-03,Agosto,Alicante,3,35.4,2017
1956-08-03,Agosto,Alicante,3,35.2,1956
1964-08-03,Agosto,Alicante,3,35.2,1964
1952-08-03,Agosto,Alicante,3,35.1,1952
1965-08-03,Agosto,Alicante,3,35,1965
2018-08-03,Agosto,Alicante,3,34.5,2018
1955-08-03,Agosto,Alicante,3,34.2,1955
1957-08-04,Agosto,Alicante,4,37.6,1957
1954-08-04,Agosto,Alicante,4,36.8,1954
1966-08-04,Agosto,Alicante,4,36.8,1966
1971-08-04,Agosto,Alicante,4,36.6,1971
2004-08-04,Agosto,Alicante,4,36,2004
1964-08-04,Agosto,Alicante,4,35.6,1964
2017-08-04,Agosto,Alicante,4,34.7,2017
1962-08-04,Agosto,Alicante,4,34.2,1962
2003-08-04,Agosto,Alicante,4,34.2,2003
2018-08-04,Agosto,Alicante,4,33.7,2018
2018-08-05,Agosto,Alicante,5,36.4,2018
1971-08-05,Agosto,Alicante,5,35.2,1971
1957-08-05,Agosto,Alicante,5,35,1957
1965-08-05,Agosto,Alicante,5,35,1965
1993-08-05,Agosto,Alicante,5,35,1993
1962-08-05,Agosto,Alicante,5,34.8,1962
1985-08-05,Agosto,Alicante,5,34.8,1985
2003-08-05,Agosto,Alicante,5,34.6,2003
1975-08-05,Agosto,Alicante,5,34.4,1975
1952-08-05,Agosto,Alicante,5,34.2,1952
1993-08-06,Agosto,Alicante,6,36.6,1993
2018-08-06,Agosto,Alicante,6,35.8,2018
1957-08-06,Agosto,Alicante,6,35.7,1957
2011-08-06,Agosto,Alicante,6,35.6,2011
1965-08-06,Agosto,Alicante,6,35.2,1965
1975-08-06,Agosto,Alicante,6,35.2,1975
2003-08-06,Agosto,Alicante,6,35.2,2003
1958-08-06,Agosto,Alicante,6,35,1958
1968-08-06,Agosto,Alicante,6,35,1968
1969-08-06,Agosto,Alicante,6,34.8,1969
2013-08-07,Agosto,Alicante,7,36.9,2013
1993-08-07,Agosto,Alicante,7,36.2,1993
1952-08-07,Agosto,Alicante,7,35.4,1952
1964-08-07,Agosto,Alicante,7,35,1964
1969-08-07,Agosto,Alicante,7,35,1969
1974-08-07,Agosto,Alicante,7,35,1974
2003-08-07,Agosto,Alicante,7,34.8,2003
1970-08-07,Agosto,Alicante,7,34.6,1970
2019-08-07,Agosto,Alicante,7,34.6,2019
1953-08-07,Agosto,Alicante,7,34.2,1953
1957-08-08,Agosto,Alicante,8,36.8,1957
1960-08-08,Agosto,Alicante,8,35.8,1960
1969-08-08,Agosto,Alicante,8,35.8,1969
1952-08-08,Agosto,Alicante,8,35.2,1952
1956-08-08,Agosto,Alicante,8,34.6,1956
1975-08-08,Agosto,Alicante,8,34.6,1975
1955-08-08,Agosto,Alicante,8,34.5,1955
1951-08-08,Agosto,Alicante,8,34.2,1951
1970-08-08,Agosto,Alicante,8,33.8,1970
1953-08-08,Agosto,Alicante,8,33.6,1953
1957-08-09,Agosto,Alicante,9,39.6,1957
1952-08-09,Agosto,Alicante,9,37.8,1952
1954-08-09,Agosto,Alicante,9,37.4,1954
2019-08-09,Agosto,Alicante,9,36.5,2019
1953-08-09,Agosto,Alicante,9,35,1953
1964-08-09,Agosto,Alicante,9,34.6,1964
2003-08-09,Agosto,Alicante,9,34.6,2003
