date,month,city,day,temp,year
2018-08-01,Agosto,Girona,1,37.5,2018
2004-08-01,Agosto,Girona,1,35.9,2004
2001-08-01,Agosto,Girona,1,35.6,2001
2006-08-01,Agosto,Girona,1,34.2,2006
2017-08-01,Agosto,Girona,1,33.7,2017
1990-08-01,Agosto,Girona,1,33.6,1990
2013-08-01,Agosto,Girona,1,33.6,2013
2008-08-01,Agosto,Girona,1,33.5,2008
2003-08-01,Agosto,Girona,1,33.3,2003
1986-08-01,Agosto,Girona,1,32.4,1986
2018-08-02,Agosto,Girona,2,37.6,2018
2004-08-02,Agosto,Girona,2,37.4,2004
2017-08-02,Agosto,Girona,2,36.6,2017
2003-08-02,Agosto,Girona,2,36,2003
2013-08-02,Agosto,Girona,2,34.7,2013
1992-08-02,Agosto,Girona,2,34.4,1992
2019-08-02,Agosto,Girona,2,34.1,2019
1986-08-02,Agosto,Girona,2,33.8,1986
2001-08-02,Agosto,Girona,2,33.6,2001
1975-08-02,Agosto,Girona,2,33.2,1975
2017-08-03,Agosto,Girona,3,38.4,2017
2018-08-03,Agosto,Girona,3,37.8,2018
2003-08-03,Agosto,Girona,3,36.4,2003
2004-08-03,Agosto,Girona,3,35.4,2004
1975-08-03,Agosto,Girona,3,34.6,1975
1986-08-03,Agosto,Girona,3,34.4,1986
1990-08-03,Agosto,Girona,3,34.4,1990
2016-08-03,Agosto,Girona,3,34.2,2016
2012-08-03,Agosto,Girona,3,33.7,2012
2019-08-03,Agosto,Girona,3,33.7,2019
2018-08-04,Agosto,Girona,4,38.7,2018
2017-08-04,Agosto,Girona,4,38.1,2017
2016-08-04,Agosto,Girona,4,37.2,2016
2003-08-04,Agosto,Girona,4,36.5,2003
2019-08-04,Agosto,Girona,4,34.6,2019
2013-08-04,Agosto,Girona,4,34.3,2013
1990-08-04,Agosto,Girona,4,34,1990
2008-08-04,Agosto,Girona,4,33.8,2008
1981-08-04,Agosto,Girona,4,33.6,1981
1993-08-04,Agosto,Girona,4,33,1993
2018-08-05,Agosto,Girona,5,38.4,2018
2003-08-05,Agosto,Girona,5,37.9,2003
2017-08-05,Agosto,Girona,5,37.3,2017
2019-08-05,Agosto,Girona,5,35.5,2019
2015-08-05,Agosto,Girona,5,35.3,2015
