date,month,city,day,temp,year
2003-08-01,Agosto,Granada,1,41.2,2003
1958-08-01,Agosto,Granada,1,40,1958
1989-08-01,Agosto,Granada,1,39.8,1989
2012-08-01,Agosto,Granada,1,39.4,2012
1967-08-01,Agosto,Granada,1,39.2,1967
2000-08-01,Agosto,Granada,1,39.2,2000
2013-08-01,Agosto,Granada,1,38.8,2013
2001-08-01,Agosto,Granada,1,38,2001
1957-08-01,Agosto,Granada,1,37.8,1957
2006-08-01,Agosto,Granada,1,37.8,2006
2012-08-02,Agosto,Granada,2,39.7,2012
2013-08-02,Agosto,Granada,2,39.2,2013
2000-08-02,Agosto,Granada,2,38.8,2000
2003-08-02,Agosto,Granada,2,38.4,2003
2007-08-02,Agosto,Granada,2,38.3,2007
1986-08-02,Agosto,Granada,2,38,1986
1980-08-02,Agosto,Granada,2,37.8,1980
1956-08-02,Agosto,Granada,2,37.6,1956
1995-08-02,Agosto,Granada,2,37.4,1995
2016-08-02,Agosto,Granada,2,37.4,2016
2018-08-03,Agosto,Granada,3,39.8,2018
2017-08-03,Agosto,Granada,3,38.8,2017
2016-08-03,Agosto,Granada,3,38.5,2016
1966-08-03,Agosto,Granada,3,38,1966
1991-08-03,Agosto,Granada,3,37.8,1991
1997-08-03,Agosto,Granada,3,37.7,1997
2007-08-03,Agosto,Granada,3,37.6,2007
1956-08-03,Agosto,Granada,3,37.5,1956
2013-08-03,Agosto,Granada,3,37.4,2013
1957-08-03,Agosto,Granada,3,37.2,1957
1985-08-04,Agosto,Granada,4,40,1985
2017-08-04,Agosto,Granada,4,40,2017
1993-08-04,Agosto,Granada,4,39.4,1993
2015-08-04,Agosto,Granada,4,39,2015
1987-08-04,Agosto,Granada,4,38.8,1987
2008-08-04,Agosto,Granada,4,38.8,2008
2007-08-04,Agosto,Granada,4,38.7,2007
1957-08-04,Agosto,Granada,4,38.6,1957
2013-08-04,Agosto,Granada,4,38.4,2013
1991-08-04,Agosto,Granada,4,38.2,1991
