date,month,city,day,temp,year
2001-08-01,Agosto,Mallorca,1,39.8,2001
2017-08-01,Agosto,Mallorca,1,38.2,2017
1975-08-01,Agosto,Mallorca,1,37,1975
2019-08-01,Agosto,Mallorca,1,36.3,2019
1980-08-01,Agosto,Mallorca,1,35.4,1980
1995-08-01,Agosto,Mallorca,1,34.8,1995
2018-08-01,Agosto,Mallorca,1,34.7,2018
2006-08-01,Agosto,Mallorca,1,34.6,2006
2000-08-01,Agosto,Mallorca,1,34.2,2000
1992-08-01,Agosto,Mallorca,1,34,1992
2017-08-02,Agosto,Mallorca,2,38.5,2017
1988-08-02,Agosto,Mallorca,2,37.5,1988
2001-08-02,Agosto,Mallorca,2,37,2001
2013-08-02,Agosto,Mallorca,2,36.7,2013
1995-08-02,Agosto,Mallorca,2,35.4,1995
1980-08-02,Agosto,Mallorca,2,35.2,1980
1975-08-02,Agosto,Mallorca,2,35,1975
2007-08-02,Agosto,Mallorca,2,34.7,2007
1990-08-02,Agosto,Mallorca,2,34.6,1990
2018-08-02,Agosto,Mallorca,2,34.4,2018
2017-08-03,Agosto,Mallorca,3,39.9,2017
1975-08-03,Agosto,Mallorca,3,37.2,1975
1986-08-03,Agosto,Mallorca,3,36,1986
2018-08-03,Agosto,Mallorca,3,36,2018
2013-08-03,Agosto,Mallorca,3,35.9,2013
1992-08-03,Agosto,Mallorca,3,35.6,1992
2003-08-03,Agosto,Mallorca,3,35.6,2003
1988-08-03,Agosto,Mallorca,3,34.8,1988
2019-08-03,Agosto,Mallorca,3,34.7,2019
1974-08-03,Agosto,Mallorca,3,34.6,1974
2016-08-04,Agosto,Mallorca,4,37.3,2016
2018-08-04,Agosto,Mallorca,4,36.8,2018
1981-08-04,Agosto,Mallorca,4,36.2,1981
2017-08-04,Agosto,Mallorca,4,35.6,2017
1975-08-04,Agosto,Mallorca,4,35.4,1975
1992-08-04,Agosto,Mallorca,4,35,1992
2013-08-04,Agosto,Mallorca,4,34.9,2013
2015-08-04,Agosto,Mallorca,4,34.2,2015
1979-08-04,Agosto,Mallorca,4,34,1979
1991-08-04,Agosto,Mallorca,4,34,1991
2018-08-05,Agosto,Mallorca,5,38.7,2018
2017-08-05,Agosto,Mallorca,5,37,2017
1993-08-05,Agosto,Mallorca,5,36.6,1993
1985-08-05,Agosto,Mallorca,5,36,1985
2003-08-05,Agosto,Mallorca,5,35.6,2003
1979-08-05,Agosto,Mallorca,5,35.4,1979
1975-08-05,Agosto,Mallorca,5,35.2,1975
1981-08-05,Agosto,Mallorca,5,34.6,1981
2013-08-05,Agosto,Mallorca,5,34.1,2013
1991-08-05,Agosto,Mallorca,5,33.6,1991
1981-08-06,Agosto,Mallorca,6,37.6,1981
1975-08-06,Agosto,Mallorca,6,37,1975
2013-08-06,Agosto,Mallorca,6,36.9,2013
1993-08-06,Agosto,Mallorca,6,36.8,1993
2003-08-06,Agosto,Mallorca,6,35.7,2003
2015-08-06,Agosto,Mallorca,6,35.7,2015
1978-08-06,Agosto,Mallorca,6,35.6,1978
1998-08-06,Agosto,Mallorca,6,34.6,1998
2008-08-06,Agosto,Mallorca,6,34.5,2008
2017-08-06,Agosto,Mallorca,6,34.3,2017
1993-08-07,Agosto,Mallorca,7,38.4,1993
2003-08-07,Agosto,Mallorca,7,36.4,2003
1991-08-07,Agosto,Mallorca,7,36,1991
2004-08-07,Agosto,Mallorca,7,35,2004
2015-08-07,Agosto,Mallorca,7,34.9,2015
1976-08-07,Agosto,Mallorca,7,34.6,1976
2017-08-07,Agosto,Mallorca,7,34.3,2017
1981-08-07,Agosto,Mallorca,7,33.4,1981
1975-08-07,Agosto,Mallorca,7,33.2,1975
1998-08-07,Agosto,Mallorca,7,33,1998
2003-08-08,Agosto,Mallorca,8,37,2003
1992-08-08,Agosto,Mallorca,8,36,1992
1994-08-08,Agosto,Mallorca,8,35.2,1994
1976-08-08,Agosto,Mallorca,8,35,1976
2018-08-08,Agosto,Mallorca,8,34.9,2018
2015-08-08,Agosto,Mallorca,8,34.8,2015
1997-08-08,Agosto,Mallorca,8,34.6,1997
2017-08-08,Agosto,Mallorca,8,34.6,2017
1999-08-08,Agosto,Mallorca,8,34.5,1999
2012-08-08,Agosto,Mallorca,8,34.4,2012
2003-08-09,Agosto,Mallorca,9,37.4,2003
2014-08-09,Agosto,Mallorca,9,37.1,2014
1997-08-09,Agosto,Mallorca,9,36.3,1997
1998-08-09,Agosto,Mallorca,9,35.4,1998
2005-08-09,Agosto,Mallorca,9,35.3,2005
1975-08-09,Agosto,Mallorca,9,34.4,1975
2012-08-09,Agosto,Mallorca,9,34.4,2012
2018-08-09,Agosto,Mallorca,9,34.2,2018
1976-08-09,Agosto,Mallorca,9,34,1976
1972-08-09,Agosto,Mallorca,9,33.6,1972
2003-08-10,Agosto,Mallorca,10,37.3,2003
1972-08-10,Agosto,Mallorca,10,35.2,1972
1998-08-10,Agosto,Mallorca,10,35.1,1998
2019-08-10,Agosto,Mallorca,10,34.7,2019
1975-08-10,Agosto,Mallorca,10,34.4,1975
1995-08-10,Agosto,Mallorca,10,34,1995
2015-08-10,Agosto,Mallorca,10,33.8,2015
2012-08-10,Agosto,Mallorca,10,33.6,2012
1996-08-10,Agosto,Mallorca,10,33,1996
1997-08-10,Agosto,Mallorca,10,32.8,1997
1995-08-11,Agosto,Mallorca,11,36.6,1995
1987-08-11,Agosto,Mallorca,11,35.8,1987
1988-08-11,Agosto,Mallorca,11,35.2,1988
1998-08-11,Agosto,Mallorca,11,34.5,1998
2012-08-11,Agosto,Mallorca,11,34.2,2012
1994-08-11,Agosto,Mallorca,11,34,1994
2003-08-11,Agosto,Mallorca,11,33.6,2003
2018-08-11,Agosto,Mallorca,11,33.6,2018
2000-08-11,Agosto,Mallorca,11,33.5,2000
2005-08-11,Agosto,Mallorca,11,33.4,2005
2003-08-12,Agosto,Mallorca,12,37.6,2003
1987-08-12,Agosto,Mallorca,12,36.2,1987
1994-08-12,Agosto,Mallorca,12,35,1994
1988-08-12,Agosto,Mallorca,12,34.2,1988
1995-08-12,Agosto,Mallorca,12,34,1995
1998-08-12,Agosto,Mallorca,12,33.4,1998
1989-08-12,Agosto,Mallorca,12,33,1989
2015-08-12,Agosto,Mallorca,12,32.8,2015
1983-08-12,Agosto,Mallorca,12,32.6,1983
2004-08-12,Agosto,Mallorca,12,32.5,2004
2003-08-13,Agosto,Mallorca,13,38.4,2003
1987-08-13,Agosto,Mallorca,13,37.2,1987
1998-08-13,Agosto,Mallorca,13,35,1998
2011-08-13,Agosto,Mallorca,13,35,2011
1988-08-13,Agosto,Mallorca,13,34.8,1988
1990-08-13,Agosto,Mallorca,13,34.6,1990
2014-08-13,Agosto,Mallorca,13,34.5,2014
1972-08-13,Agosto,Mallorca,13,34.4,1972
1995-08-13,Agosto,Mallorca,13,34.2,1995
1994-08-13,Agosto,Mallorca,13,34,1994
1987-08-14,Agosto,Mallorca,14,39.4,1987
2003-08-14,Agosto,Mallorca,14,35.5,2003
1975-08-14,Agosto,Mallorca,14,35,1975
1976-08-14,Agosto,Mallorca,14,34.4,1976
2017-08-14,Agosto,Mallorca,14,34.1,2017
1982-08-14,Agosto,Mallorca,14,34,1982
2011-08-14,Agosto,Mallorca,14,34,2011
2001-08-14,Agosto,Mallorca,14,33.8,2001
1988-08-14,Agosto,Mallorca,14,33.5,1988
2009-08-14,Agosto,Mallorca,14,33.5,2009
1987-08-15,Agosto,Mallorca,15,37,1987
2001-08-15,Agosto,Mallorca,15,36.4,2001
1975-08-15,Agosto,Mallorca,15,36.2,1975
2017-08-15,Agosto,Mallorca,15,36.1,2017
1982-08-15,Agosto,Mallorca,15,35.4,1982
1977-08-15,Agosto,Mallorca,15,34.8,1977
1979-08-15,Agosto,Mallorca,15,34.6,1979
1994-08-15,Agosto,Mallorca,15,34.6,1994
