date,month,city,day,temp,year
2003-08-01,Agosto,Toledo,1,42,2003
1989-08-01,Agosto,Toledo,1,40.8,1989
2013-08-01,Agosto,Toledo,1,40.3,2013
1988-08-01,Agosto,Toledo,1,40.2,1988
2018-08-01,Agosto,Toledo,1,40,2018
1990-08-01,Agosto,Toledo,1,39.4,1990
2000-08-01,Agosto,Toledo,1,38.9,2000
1957-08-01,Agosto,Toledo,1,38.4,1957
1958-08-01,Agosto,Toledo,1,38.4,1958
2004-08-01,Agosto,Toledo,1,37.9,2004
2018-08-02,Agosto,Toledo,2,41.7,2018
2003-08-02,Agosto,Toledo,2,41.4,2003
1988-08-02,Agosto,Toledo,2,40.4,1988
1989-08-02,Agosto,Toledo,2,39.7,1989
1997-08-02,Agosto,Toledo,2,39.4,1997
2016-08-02,Agosto,Toledo,2,39.2,2016
1957-08-02,Agosto,Toledo,2,38.6,1957
2015-08-02,Agosto,Toledo,2,38.5,2015
1990-08-02,Agosto,Toledo,2,38.4,1990
2000-08-02,Agosto,Toledo,2,38.4,2000
2018-08-03,Agosto,Toledo,3,42.6,2018
2003-08-03,Agosto,Toledo,3,41.9,2003
1991-08-03,Agosto,Toledo,3,39.7,1991
2008-08-03,Agosto,Toledo,3,39.2,2008
2016-08-03,Agosto,Toledo,3,39.2,2016
2007-08-03,Agosto,Toledo,3,38.9,2007
2015-08-03,Agosto,Toledo,3,38.7,2015
1997-08-03,Agosto,Toledo,3,38.4,1997
1985-08-03,Agosto,Toledo,3,38.3,1985
2017-08-03,Agosto,Toledo,3,38.2,2017
2007-08-04,Agosto,Toledo,4,41.3,2007
2018-08-04,Agosto,Toledo,4,41,2018
2008-08-04,Agosto,Toledo,4,40.6,2008
2017-08-04,Agosto,Toledo,4,40.6,2017
1985-08-04,Agosto,Toledo,4,40.5,1985
2003-08-04,Agosto,Toledo,4,40,2003
1987-08-04,Agosto,Toledo,4,39.6,1987
1991-08-04,Agosto,Toledo,4,39.6,1991
1992-08-04,Agosto,Toledo,4,38.6,1992
2009-08-04,Agosto,Toledo,4,38.1,2009
2017-08-05,Agosto,Toledo,5,41,2017
1991-08-05,Agosto,Toledo,5,40.7,1991
1965-08-05,Agosto,Toledo,5,40,1965
2018-08-05,Agosto,Toledo,5,39.7,2018
1976-08-05,Agosto,Toledo,5,39.5,1976
1990-08-05,Agosto,Toledo,5,39.4,1990
2003-08-05,Agosto,Toledo,5,39.3,2003
2008-08-05,Agosto,Toledo,5,39.2,2008
2015-08-05,Agosto,Toledo,5,39,2015
2005-08-05,Agosto,Toledo,5,38.8,2005
1991-08-06,Agosto,Toledo,6,41.8,1991
2018-08-06,Agosto,Toledo,6,41.2,2018
1992-08-06,Agosto,Toledo,6,39.5,1992
1990-08-06,Agosto,Toledo,6,39.2,1990
2005-08-06,Agosto,Toledo,6,39.2,2005
2015-08-06,Agosto,Toledo,6,39.2,2015
1980-08-06,Agosto,Toledo,6,38.9,1980
1965-08-06,Agosto,Toledo,6,38.8,1965
1994-08-06,Agosto,Toledo,6,38.4,1994
2017-08-06,Agosto,Toledo,6,38.3,2017
2005-08-07,Agosto,Toledo,7,41.2,2005
2003-08-07,Agosto,Toledo,7,38.6,2003
1992-08-07,Agosto,Toledo,7,38.5,1992
2017-08-07,Agosto,Toledo,7,38.4,2017
2010-08-07,Agosto,Toledo,7,38.2,2010
1973-08-07,Agosto,Toledo,7,38.1,1973
2018-08-07,Agosto,Toledo,7,38.1,2018
2001-08-07,Agosto,Toledo,7,38,2001
2015-08-07,Agosto,Toledo,7,37.7,2015
1975-08-07,Agosto,Toledo,7,37.4,1975
2005-08-08,Agosto,Toledo,8,38.8,2005
2003-08-08,Agosto,Toledo,8,37.8,2003
2012-08-08,Agosto,Toledo,8,37.7,2012
1958-08-08,Agosto,Toledo,8,37.5,1958
1994-08-08,Agosto,Toledo,8,37.4,1994
1998-08-08,Agosto,Toledo,8,37.4,1998
2016-08-08,Agosto,Toledo,8,37.4,2016
1973-08-08,Agosto,Toledo,8,37.1,1973
1953-08-08,Agosto,Toledo,8,36.9,1953
1969-08-08,Agosto,Toledo,8,36.9,1969
2012-08-09,Agosto,Toledo,9,41.7,2012
2003-08-09,Agosto,Toledo,9,39.2,2003
1998-08-09,Agosto,Toledo,9,38.8,1998
1973-08-09,Agosto,Toledo,9,38,1973
2016-08-09,Agosto,Toledo,9,38,2016
1988-08-09,Agosto,Toledo,9,37.2,1988
2000-08-09,Agosto,Toledo,9,37.1,2000
2005-08-09,Agosto,Toledo,9,37,2005
2015-08-09,Agosto,Toledo,9,37,2015
1989-08-09,Agosto,Toledo,9,36.8,1989
2012-08-10,Agosto,Toledo,10,43.1,2012
1998-08-10,Agosto,Toledo,10,39.4,1998
2003-08-10,Agosto,Toledo,10,38.8,2003
1973-08-10,Agosto,Toledo,10,38.6,1973
2000-08-10,Agosto,Toledo,10,38.4,2000
2010-08-10,Agosto,Toledo,10,38.4,2010
2013-08-10,Agosto,Toledo,10,37.9,2013
2015-08-10,Agosto,Toledo,10,37.7,2015
1966-08-10,Agosto,Toledo,10,37.2,1966
1950-08-10,Agosto,Toledo,10,37,1950
2012-08-11,Agosto,Toledo,11,39.5,2012
2013-08-11,Agosto,Toledo,11,39.5,2013
2003-08-11,Agosto,Toledo,11,38.8,2003
1987-08-11,Agosto,Toledo,11,38.6,1987
1998-08-11,Agosto,Toledo,11,38.6,1998
1993-08-11,Agosto,Toledo,11,38,1993
2011-08-11,Agosto,Toledo,11,38,2011
1966-08-11,Agosto,Toledo,11,37.7,1966
2010-08-11,Agosto,Toledo,11,37.5,2010
1973-08-11,Agosto,Toledo,11,37.4,1973
1987-08-12,Agosto,Toledo,12,41.6,1987
2003-08-12,Agosto,Toledo,12,39.2,2003
1966-08-12,Agosto,Toledo,12,39,1966
1995-08-12,Agosto,Toledo,12,38.6,1995
2013-08-12,Agosto,Toledo,12,37.7,2013
1990-08-12,Agosto,Toledo,12,37,1990
2018-08-12,Agosto,Toledo,12,36.9,2018
1998-08-12,Agosto,Toledo,12,36.8,1998
2001-08-12,Agosto,Toledo,12,36.8,2001
2006-08-12,Agosto,Toledo,12,36.7,2006
2003-08-13,Agosto,Toledo,13,38.8,2003
2002-08-13,Agosto,Toledo,13,38.3,2002
1995-08-13,Agosto,Toledo,13,38.1,1995
1987-08-13,Agosto,Toledo,13,38,1987
1991-08-13,Agosto,Toledo,13,37.8,1991
2001-08-13,Agosto,Toledo,13,37.6,2001
