date,month,city,day,temp,year
1981-12-01,Diciembre,Alicante,1,23.6,1981
1992-12-01,Diciembre,Alicante,1,23.2,1992
2001-12-01,Diciembre,Alicante,1,23.2,2001
1952-12-01,Diciembre,Alicante,1,22.8,1952
2007-12-01,Diciembre,Alicante,1,22.2,2007
2014-12-01,Diciembre,Alicante,1,22.2,2014
1973-12-01,Diciembre,Alicante,1,22,1973
1997-12-01,Diciembre,Alicante,1,22,1997
2019-12-01,Diciembre,Alicante,1,21.5,2019
1950-12-01,Diciembre,Alicante,1,20.8,1950
1976-12-02,Diciembre,Alicante,2,23.8,1976
1997-12-02,Diciembre,Alicante,2,23.6,1997
2018-12-02,Diciembre,Alicante,2,22.9,2018
1966-12-02,Diciembre,Alicante,2,22.4,1966
1996-12-02,Diciembre,Alicante,2,22.4,1996
1992-12-02,Diciembre,Alicante,2,22.2,1992
2009-12-02,Diciembre,Alicante,2,22.2,2009
2000-12-02,Diciembre,Alicante,2,21.8,2000
1981-12-02,Diciembre,Alicante,2,21,1981
1952-12-02,Diciembre,Alicante,2,20.8,1952
2018-12-03,Diciembre,Alicante,3,23.7,2018
1976-12-03,Diciembre,Alicante,3,23.2,1976
1992-12-03,Diciembre,Alicante,3,22.2,1992
2007-12-03,Diciembre,Alicante,3,21.7,2007
1959-12-03,Diciembre,Alicante,3,21.6,1959
1950-12-03,Diciembre,Alicante,3,21.4,1950
1961-12-03,Diciembre,Alicante,3,21.4,1961
2006-12-03,Diciembre,Alicante,3,21.4,2006
1994-12-03,Diciembre,Alicante,3,21,1994
1965-12-03,Diciembre,Alicante,3,20.6,1965
1978-12-04,Diciembre,Alicante,4,24.2,1978
2006-12-04,Diciembre,Alicante,4,24,2006
2018-12-04,Diciembre,Alicante,4,23.1,2018
1961-12-04,Diciembre,Alicante,4,22.4,1961
1964-12-04,Diciembre,Alicante,4,22.2,1964
1994-12-04,Diciembre,Alicante,4,22,1994
2007-12-04,Diciembre,Alicante,4,22,2007
2002-12-04,Diciembre,Alicante,4,21.2,2002
2000-12-04,Diciembre,Alicante,4,21,2000
1950-12-04,Diciembre,Alicante,4,20.8,1950
1961-12-05,Diciembre,Alicante,5,23,1961
1994-12-05,Diciembre,Alicante,5,23,1994
1981-12-05,Diciembre,Alicante,5,22.4,1981
2011-12-05,Diciembre,Alicante,5,22,2011
2018-12-05,Diciembre,Alicante,5,21.9,2018
1988-12-05,Diciembre,Alicante,5,21.8,1988
2007-12-05,Diciembre,Alicante,5,21.8,2007
2005-12-05,Diciembre,Alicante,5,21.7,2005
2006-12-05,Diciembre,Alicante,5,21.6,2006
1965-12-05,Diciembre,Alicante,5,21.2,1965
2010-12-06,Diciembre,Alicante,6,23.8,2010
1994-12-06,Diciembre,Alicante,6,23,1994
1976-12-06,Diciembre,Alicante,6,22.6,1976
1992-12-06,Diciembre,Alicante,6,22.2,1992
2011-12-06,Diciembre,Alicante,6,22,2011
1967-12-06,Diciembre,Alicante,6,21.8,1967
1965-12-06,Diciembre,Alicante,6,21.6,1965
2008-12-06,Diciembre,Alicante,6,21.6,2008
2007-12-06,Diciembre,Alicante,6,21.5,2007
1954-12-06,Diciembre,Alicante,6,21.4,1954
2007-12-07,Diciembre,Alicante,7,25.8,2007
1976-12-07,Diciembre,Alicante,7,24.6,1976
2009-12-07,Diciembre,Alicante,7,23.4,2009
2010-12-07,Diciembre,Alicante,7,23,2010
1967-12-07,Diciembre,Alicante,7,22,1967
1992-12-07,Diciembre,Alicante,7,21.4,1992
1954-12-07,Diciembre,Alicante,7,21.1,1954
1972-12-07,Diciembre,Alicante,7,21,1972
1982-12-07,Diciembre,Alicante,7,20.8,1982
1963-12-07,Diciembre,Alicante,7,20.6,1963
2010-12-08,Diciembre,Alicante,8,25,2010
1978-12-08,Diciembre,Alicante,8,23.8,1978
1976-12-08,Diciembre,Alicante,8,22.8,1976
2007-12-08,Diciembre,Alicante,8,22.7,2007
2009-12-08,Diciembre,Alicante,8,22,2009
1957-12-08,Diciembre,Alicante,8,21.8,1957
2017-12-08,Diciembre,Alicante,8,20.8,2017
1989-12-08,Diciembre,Alicante,8,20.6,1989
1993-12-08,Diciembre,Alicante,8,20.6,1993
1994-12-08,Diciembre,Alicante,8,20.4,1994
1978-12-09,Diciembre,Alicante,9,25.4,1978
2007-12-09,Diciembre,Alicante,9,24.2,2007
2010-12-09,Diciembre,Alicante,9,22,2010
1961-12-09,Diciembre,Alicante,9,21.8,1961
1989-12-09,Diciembre,Alicante,9,21.8,1989
1957-12-09,Diciembre,Alicante,9,21.6,1957
1955-12-09,Diciembre,Alicante,9,21.4,1955
1983-12-09,Diciembre,Alicante,9,21.4,1983
1979-12-09,Diciembre,Alicante,9,21.2,1979
1994-12-09,Diciembre,Alicante,9,21.2,1994
1977-12-10,Diciembre,Alicante,10,23.8,1977
1994-12-10,Diciembre,Alicante,10,23,1994
1976-12-10,Diciembre,Alicante,10,22.6,1976
1978-12-10,Diciembre,Alicante,10,22.2,1978
1979-12-10,Diciembre,Alicante,10,22,1979
1981-12-10,Diciembre,Alicante,10,21.8,1981
1982-12-10,Diciembre,Alicante,10,21.8,1982
1961-12-10,Diciembre,Alicante,10,21.4,1961
1963-12-10,Diciembre,Alicante,10,21.4,1963
1989-12-10,Diciembre,Alicante,10,21.2,1989
1961-12-11,Diciembre,Alicante,11,24.2,1961
1981-12-11,Diciembre,Alicante,11,23.2,1981
1997-12-11,Diciembre,Alicante,11,22.4,1997
2019-12-11,Diciembre,Alicante,11,22.1,2019
1966-12-11,Diciembre,Alicante,11,21.6,1966
1993-12-11,Diciembre,Alicante,11,21.6,1993
1987-12-11,Diciembre,Alicante,11,20.4,1987
1979-12-11,Diciembre,Alicante,11,20.2,1979
1994-12-11,Diciembre,Alicante,11,20,1994
2000-12-11,Diciembre,Alicante,11,20,2000
1979-12-12,Diciembre,Alicante,12,23.4,1979
1998-12-12,Diciembre,Alicante,12,23.4,1998
1961-12-12,Diciembre,Alicante,12,23,1961
1978-12-12,Diciembre,Alicante,12,22.6,1978
1987-12-12,Diciembre,Alicante,12,22,1987
1965-12-12,Diciembre,Alicante,12,21.6,1965
1958-12-12,Diciembre,Alicante,12,21,1958
2003-12-12,Diciembre,Alicante,12,21,2003
1994-12-12,Diciembre,Alicante,12,20.8,1994
2018-12-12,Diciembre,Alicante,12,20.7,2018
1978-12-13,Diciembre,Alicante,13,25.6,1978
1989-12-13,Diciembre,Alicante,13,25.2,1989
1955-12-13,Diciembre,Alicante,13,23,1955
1981-12-13,Diciembre,Alicante,13,22.8,1981
1974-12-13,Diciembre,Alicante,13,22.2,1974
1961-12-13,Diciembre,Alicante,13,21.8,1961
1984-12-13,Diciembre,Alicante,13,21.6,1984
2000-12-13,Diciembre,Alicante,13,21.4,2000
1979-12-13,Diciembre,Alicante,13,20.6,1979
1999-12-13,Diciembre,Alicante,13,20.6,1999
1981-12-14,Diciembre,Alicante,14,24.6,1981
1989-12-14,Diciembre,Alicante,14,23.6,1989
1999-12-14,Diciembre,Alicante,14,23.2,1999
2003-12-14,Diciembre,Alicante,14,23,2003
1998-12-14,Diciembre,Alicante,14,22.6,1998
1954-12-14,Diciembre,Alicante,14,22.4,1954
1961-12-14,Diciembre,Alicante,14,21.6,1961
2000-12-14,Diciembre,Alicante,14,21.5,2000
1978-12-14,Diciembre,Alicante,14,21.2,1978
2017-12-14,Diciembre,Alicante,14,21.1,2017
1958-12-15,Diciembre,Alicante,15,23.8,1958
1989-12-15,Diciembre,Alicante,15,22.6,1989
2015-12-15,Diciembre,Alicante,15,22.6,2015
1981-12-15,Diciembre,Alicante,15,22.4,1981
1998-12-15,Diciembre,Alicante,15,22.2,1998
2012-12-15,Diciembre,Alicante,15,21.4,2012
2002-12-15,Diciembre,Alicante,15,21.2,2002
1954-12-15,Diciembre,Alicante,15,21,1954
1956-12-15,Diciembre,Alicante,15,20.9,1956
1966-12-15,Diciembre,Alicante,15,20.6,1966
1981-12-16,Diciembre,Alicante,16,26.6,1981
1958-12-16,Diciembre,Alicante,16,22.6,1958
1987-12-16,Diciembre,Alicante,16,22.6,1987
1955-12-16,Diciembre,Alicante,16,22.2,1955
1979-12-16,Diciembre,Alicante,16,22.2,1979
1989-12-16,Diciembre,Alicante,16,22.2,1989
2018-12-16,Diciembre,Alicante,16,22.2,2018
2015-12-16,Diciembre,Alicante,16,21.7,2015
1986-12-16,Diciembre,Alicante,16,21.2,1986
1962-12-16,Diciembre,Alicante,16,21,1962
1989-12-17,Diciembre,Alicante,17,25.4,1989
1987-12-17,Diciembre,Alicante,17,23.6,1987
2015-12-17,Diciembre,Alicante,17,22.2,2015
1979-12-17,Diciembre,Alicante,17,22,1979
1985-12-17,Diciembre,Alicante,17,21.6,1985
1955-12-17,Diciembre,Alicante,17,21.2,1955
2009-12-17,Diciembre,Alicante,17,20.6,2009
1998-12-17,Diciembre,Alicante,17,20.4,1998
2004-12-17,Diciembre,Alicante,17,20.4,2004
1981-12-17,Diciembre,Alicante,17,19.8,1981
2002-12-18,Diciembre,Alicante,18,23,2002
2004-12-18,Diciembre,Alicante,18,22.4,2004
1962-12-18,Diciembre,Alicante,18,22,1962
1989-12-18,Diciembre,Alicante,18,21.4,1989
1986-12-18,Diciembre,Alicante,18,21.2,1986
1987-12-18,Diciembre,Alicante,18,21.2,1987
2012-12-18,Diciembre,Alicante,18,21.1,2012
2015-12-18,Diciembre,Alicante,18,20.4,2015
2013-12-18,Diciembre,Alicante,18,20.2,2013
2014-12-18,Diciembre,Alicante,18,20,2014
1986-12-19,Diciembre,Alicante,19,23.2,1986
2015-12-19,Diciembre,Alicante,19,22.1,2015
1991-12-19,Diciembre,Alicante,19,21.2,1991
1969-12-19,Diciembre,Alicante,19,20.8,1969
2014-12-19,Diciembre,Alicante,19,20.8,2014
2018-12-19,Diciembre,Alicante,19,20.6,2018
1989-12-19,Diciembre,Alicante,19,20.4,1989
1953-12-19,Diciembre,Alicante,19,20.2,1953
1996-12-19,Diciembre,Alicante,19,20,1996
1962-12-19,Diciembre,Alicante,19,19.8,1962
1952-12-20,Diciembre,Alicante,20,22,1952
1969-12-20,Diciembre,Alicante,20,22,1969
1995-12-20,Diciembre,Alicante,20,21.4,1995
1991-12-20,Diciembre,Alicante,20,21.2,1991
1980-12-20,Diciembre,Alicante,20,21,1980
1982-12-20,Diciembre,Alicante,20,20,1982
1987-12-20,Diciembre,Alicante,20,20,1987
1998-12-20,Diciembre,Alicante,20,20,1998
2011-12-20,Diciembre,Alicante,20,20,2011
2012-12-20,Diciembre,Alicante,20,19.9,2012
2003-12-21,Diciembre,Alicante,21,25.4,2003
2019-12-21,Diciembre,Alicante,21,23.2,2019
1952-12-21,Diciembre,Alicante,21,22.5,1952
2012-12-21,Diciembre,Alicante,21,21.8,2012
2011-12-21,Diciembre,Alicante,21,21.5,2011
1980-12-21,Diciembre,Alicante,21,21.4,1980
1995-12-21,Diciembre,Alicante,21,21.4,1995
1991-12-21,Diciembre,Alicante,21,21.2,1991
1993-12-21,Diciembre,Alicante,21,21,1993
1989-12-21,Diciembre,Alicante,21,20.2,1989
1991-12-22,Diciembre,Alicante,22,24,1991
1952-12-22,Diciembre,Alicante,22,23.6,1952
2011-12-22,Diciembre,Alicante,22,23,2011
2019-12-22,Diciembre,Alicante,22,22.6,2019
1981-12-22,Diciembre,Alicante,22,22.2,1981
2012-12-22,Diciembre,Alicante,22,22.1,2012
2017-12-22,Diciembre,Alicante,22,21.2,2017
1968-12-22,Diciembre,Alicante,22,20.2,1968
1980-12-22,Diciembre,Alicante,22,20.2,1980
1995-12-22,Diciembre,Alicante,22,20.2,1995
1952-12-23,Diciembre,Alicante,23,23.6,1952
1991-12-23,Diciembre,Alicante,23,23.4,1991
1981-12-23,Diciembre,Alicante,23,23,1981
2019-12-23,Diciembre,Alicante,23,22.9,2019
1983-12-23,Diciembre,Alicante,23,22.4,1983
1968-12-23,Diciembre,Alicante,23,21.8,1968
1954-12-23,Diciembre,Alicante,23,20.9,1954
1997-12-23,Diciembre,Alicante,23,20.6,1997
1959-12-23,Diciembre,Alicante,23,20.5,1959
1989-12-23,Diciembre,Alicante,23,20.4,1989
2019-12-24,Diciembre,Alicante,24,25,2019
1995-12-24,Diciembre,Alicante,24,23,1995
1968-12-24,Diciembre,Alicante,24,22.8,1968
2002-12-24,Diciembre,Alicante,24,22,2002
1983-12-24,Diciembre,Alicante,24,21.6,1983
1955-12-24,Diciembre,Alicante,24,21,1955
