date,month,city,day,temp,year
1994-12-01,Diciembre,Almeria,1,22,1994
1983-12-01,Diciembre,Almeria,1,21.6,1983
1988-12-01,Diciembre,Almeria,1,21.6,1988
1953-12-01,Diciembre,Almeria,1,21.5,1953
1958-12-01,Diciembre,Almeria,1,21.5,1958
1996-12-01,Diciembre,Almeria,1,21.4,1996
2006-12-01,Diciembre,Almeria,1,21.4,2006
1952-12-01,Diciembre,Almeria,1,20.7,1952
2011-12-01,Diciembre,Almeria,1,20.6,2011
1989-12-01,Diciembre,Almeria,1,20.4,1989
1994-12-02,Diciembre,Almeria,2,23.2,1994
2002-12-02,Diciembre,Almeria,2,22.5,2002
1985-12-02,Diciembre,Almeria,2,22.2,1985
1999-12-02,Diciembre,Almeria,2,20.8,1999
2001-12-02,Diciembre,Almeria,2,20.8,2001
2006-12-02,Diciembre,Almeria,2,20.5,2006
1988-12-02,Diciembre,Almeria,2,20.4,1988
1996-12-02,Diciembre,Almeria,2,20.4,1996
1954-12-02,Diciembre,Almeria,2,20.2,1954
2000-12-02,Diciembre,Almeria,2,20.2,2000
1953-12-03,Diciembre,Almeria,3,22.5,1953
1999-12-03,Diciembre,Almeria,3,22,1999
1994-12-03,Diciembre,Almeria,3,21.6,1994
2015-12-03,Diciembre,Almeria,3,21.4,2015
1955-12-03,Diciembre,Almeria,3,21.3,1955
1996-12-03,Diciembre,Almeria,3,21,1996
2009-12-03,Diciembre,Almeria,3,20.9,2009
1967-12-03,Diciembre,Almeria,3,20.8,1967
1992-12-03,Diciembre,Almeria,3,20.8,1992
1997-12-03,Diciembre,Almeria,3,20.8,1997
2018-12-04,Diciembre,Almeria,4,21.9,2018
1978-12-04,Diciembre,Almeria,4,21.4,1978
1984-12-04,Diciembre,Almeria,4,21.4,1984
1955-12-04,Diciembre,Almeria,4,21.2,1955
1958-12-04,Diciembre,Almeria,4,21,1958
1985-12-04,Diciembre,Almeria,4,20.6,1985
2002-12-04,Diciembre,Almeria,4,20.6,2002
2007-12-04,Diciembre,Almeria,4,20.5,2007
1988-12-04,Diciembre,Almeria,4,20.4,1988
1954-12-04,Diciembre,Almeria,4,20.3,1954
1992-12-05,Diciembre,Almeria,5,23,1992
2018-12-05,Diciembre,Almeria,5,21.1,2018
1955-12-05,Diciembre,Almeria,5,20.9,1955
1986-12-05,Diciembre,Almeria,5,20.8,1986
2016-12-05,Diciembre,Almeria,5,20.5,2016
2015-12-05,Diciembre,Almeria,5,20.3,2015
1984-12-05,Diciembre,Almeria,5,20,1984
2002-12-05,Diciembre,Almeria,5,20,2002
1994-12-05,Diciembre,Almeria,5,19.6,1994
1995-12-05,Diciembre,Almeria,5,19.6,1995
2001-12-06,Diciembre,Almeria,6,22.4,2001
1961-12-06,Diciembre,Almeria,6,21.5,1961
1985-12-06,Diciembre,Almeria,6,21,1985
1988-12-06,Diciembre,Almeria,6,20.8,1988
2008-12-06,Diciembre,Almeria,6,20.7,2008
1991-12-06,Diciembre,Almeria,6,20.6,1991
2015-12-06,Diciembre,Almeria,6,20.2,2015
2016-12-06,Diciembre,Almeria,6,20.2,2016
1984-12-06,Diciembre,Almeria,6,20,1984
1986-12-06,Diciembre,Almeria,6,20,1986
2010-12-07,Diciembre,Almeria,7,24.2,2010
1992-12-07,Diciembre,Almeria,7,23.6,1992
2000-12-07,Diciembre,Almeria,7,23.4,2000
1989-12-07,Diciembre,Almeria,7,21.2,1989
2015-12-07,Diciembre,Almeria,7,21.2,2015
2016-12-07,Diciembre,Almeria,7,20.1,2016
1954-12-07,Diciembre,Almeria,7,20,1954
1957-12-07,Diciembre,Almeria,7,20,1957
1984-12-07,Diciembre,Almeria,7,19.8,1984
1983-12-07,Diciembre,Almeria,7,19.6,1983
2000-12-08,Diciembre,Almeria,8,22.4,2000
2007-12-08,Diciembre,Almeria,8,21.1,2007
1984-12-08,Diciembre,Almeria,8,21,1984
1978-12-08,Diciembre,Almeria,8,20.8,1978
1987-12-08,Diciembre,Almeria,8,20.6,1987
2015-12-08,Diciembre,Almeria,8,20.5,2015
1955-12-08,Diciembre,Almeria,8,20,1955
