date,month,city,day,temp,year
1985-12-01,Diciembre,Badajoz,1,21.4,1985
1994-12-01,Diciembre,Badajoz,1,21.4,1994
1983-12-01,Diciembre,Badajoz,1,21,1983
2014-12-01,Diciembre,Badajoz,1,20.7,2014
1981-12-01,Diciembre,Badajoz,1,20.6,1981
1979-12-01,Diciembre,Badajoz,1,20.2,1979
2000-12-01,Diciembre,Badajoz,1,19.4,2000
1996-12-01,Diciembre,Badajoz,1,18.4,1996
1999-12-01,Diciembre,Badajoz,1,18,1999
2006-12-01,Diciembre,Badajoz,1,17.8,2006
1985-12-02,Diciembre,Badajoz,2,25.6,1985
2015-12-02,Diciembre,Badajoz,2,20.5,2015
1979-12-02,Diciembre,Badajoz,2,19.8,1979
1977-12-02,Diciembre,Badajoz,2,19.2,1977
1999-12-02,Diciembre,Badajoz,2,19,1999
1981-12-02,Diciembre,Badajoz,2,18.4,1981
1996-12-02,Diciembre,Badajoz,2,18.2,1996
1974-12-02,Diciembre,Badajoz,2,17.8,1974
1978-12-02,Diciembre,Badajoz,2,17.4,1978
1983-12-02,Diciembre,Badajoz,2,17.4,1983
1985-12-03,Diciembre,Badajoz,3,23.2,1985
2015-12-03,Diciembre,Badajoz,3,21.3,2015
1994-12-03,Diciembre,Badajoz,3,19.6,1994
1979-12-03,Diciembre,Badajoz,3,18.6,1979
1999-12-03,Diciembre,Badajoz,3,18.6,1999
1955-12-03,Diciembre,Badajoz,3,18.5,1955
1974-12-03,Diciembre,Badajoz,3,18,1974
1977-12-03,Diciembre,Badajoz,3,18,1977
1996-12-03,Diciembre,Badajoz,3,18,1996
2007-12-03,Diciembre,Badajoz,3,17.8,2007
2015-12-04,Diciembre,Badajoz,4,21,2015
1985-12-04,Diciembre,Badajoz,4,20.6,1985
2016-12-04,Diciembre,Badajoz,4,19.1,2016
1955-12-04,Diciembre,Badajoz,4,19,1955
2018-12-04,Diciembre,Badajoz,4,18.6,2018
1974-12-04,Diciembre,Badajoz,4,18.4,1974
1979-12-04,Diciembre,Badajoz,4,18.2,1979
2006-12-04,Diciembre,Badajoz,4,18.2,2006
2013-12-04,Diciembre,Badajoz,4,18,2013
1993-12-04,Diciembre,Badajoz,4,17.8,1993
2015-12-05,Diciembre,Badajoz,5,21.9,2015
1955-12-05,Diciembre,Badajoz,5,19.5,1955
2016-12-05,Diciembre,Badajoz,5,19.3,2016
2018-12-05,Diciembre,Badajoz,5,19.2,2018
2010-12-05,Diciembre,Badajoz,5,18.8,2010
2013-12-05,Diciembre,Badajoz,5,18.7,2013
1994-12-05,Diciembre,Badajoz,5,18.6,1994
1979-12-05,Diciembre,Badajoz,5,18.2,1979
1989-12-05,Diciembre,Badajoz,5,17.6,1989
2001-12-05,Diciembre,Badajoz,5,17.6,2001
2010-12-06,Diciembre,Badajoz,6,20,2010
2016-12-06,Diciembre,Badajoz,6,19.6,2016
2018-12-06,Diciembre,Badajoz,6,19.4,2018
2011-12-06,Diciembre,Badajoz,6,19,2011
2015-12-06,Diciembre,Badajoz,6,19,2015
2013-12-06,Diciembre,Badajoz,6,18.1,2013
2009-12-06,Diciembre,Badajoz,6,17.8,2009
2019-12-06,Diciembre,Badajoz,6,17.7,2019
1994-12-06,Diciembre,Badajoz,6,17.4,1994
