date,month,city,day,temp,year
1983-12-01,Diciembre,Leon,1,17.4,1983
1962-12-01,Diciembre,Leon,1,16.5,1962
1979-12-01,Diciembre,Leon,1,16.2,1979
1976-12-01,Diciembre,Leon,1,14.6,1976
1996-12-01,Diciembre,Leon,1,14.2,1996
1953-12-01,Diciembre,Leon,1,14,1953
1974-12-01,Diciembre,Leon,1,13.2,1974
1981-12-01,Diciembre,Leon,1,13,1981
2014-12-01,Diciembre,Leon,1,12.6,2014
2015-12-01,Diciembre,Leon,1,12.6,2015
1979-12-02,Diciembre,Leon,2,18.6,1979
1983-12-02,Diciembre,Leon,2,17.8,1983
1996-12-02,Diciembre,Leon,2,14.6,1996
1985-12-02,Diciembre,Leon,2,14,1985
1974-12-02,Diciembre,Leon,2,13.4,1974
1997-12-02,Diciembre,Leon,2,13.2,1997
1955-12-02,Diciembre,Leon,2,13,1955
1992-12-02,Diciembre,Leon,2,13,1992
1990-12-02,Diciembre,Leon,2,12.6,1990
1991-12-02,Diciembre,Leon,2,12.6,1991
1983-12-03,Diciembre,Leon,3,19,1983
1979-12-03,Diciembre,Leon,3,16.8,1979
1954-12-03,Diciembre,Leon,3,15.5,1954
1967-12-03,Diciembre,Leon,3,14.5,1967
1955-12-03,Diciembre,Leon,3,14,1955
1985-12-03,Diciembre,Leon,3,13,1985
2007-12-03,Diciembre,Leon,3,13,2007
1995-12-03,Diciembre,Leon,3,12.8,1995
1953-12-03,Diciembre,Leon,3,12.5,1953
1964-12-03,Diciembre,Leon,3,12,1964
1983-12-04,Diciembre,Leon,4,18.2,1983
1954-12-04,Diciembre,Leon,4,16,1954
1955-12-04,Diciembre,Leon,4,15,1955
2002-12-04,Diciembre,Leon,4,14.8,2002
2006-12-04,Diciembre,Leon,4,14.6,2006
1979-12-04,Diciembre,Leon,4,14.4,1979
1962-12-04,Diciembre,Leon,4,14,1962
1964-12-04,Diciembre,Leon,4,14,1964
1967-12-04,Diciembre,Leon,4,14,1967
1985-12-04,Diciembre,Leon,4,13.6,1985
1967-12-05,Diciembre,Leon,5,18.3,1967
1955-12-05,Diciembre,Leon,5,17,1955
1979-12-05,Diciembre,Leon,5,13.4,1979
1965-12-05,Diciembre,Leon,5,13.2,1965
1990-12-05,Diciembre,Leon,5,13.2,1990
1994-12-05,Diciembre,Leon,5,13.2,1994
2011-12-05,Diciembre,Leon,5,13,2011
1974-12-05,Diciembre,Leon,5,12.8,1974
2019-12-05,Diciembre,Leon,5,12.5,2019
2016-12-05,Diciembre,Leon,5,12.4,2016
1955-12-06,Diciembre,Leon,6,15.6,1955
1967-12-06,Diciembre,Leon,6,13.8,1967
1983-12-06,Diciembre,Leon,6,13.8,1983
1991-12-06,Diciembre,Leon,6,13.8,1991
1979-12-06,Diciembre,Leon,6,13.6,1979
1956-12-06,Diciembre,Leon,6,13.4,1956
2010-12-06,Diciembre,Leon,6,13.4,2010
2016-12-06,Diciembre,Leon,6,13.2,2016
2001-12-06,Diciembre,Leon,6,12.8,2001
1969-12-06,Diciembre,Leon,6,12.5,1969
1956-12-07,Diciembre,Leon,7,14.6,1956
2000-12-07,Diciembre,Leon,7,13.6,2000
1955-12-07,Diciembre,Leon,7,13.4,1955
2007-12-07,Diciembre,Leon,7,12.8,2007
2016-12-07,Diciembre,Leon,7,12.2,2016
2019-12-07,Diciembre,Leon,7,11.8,2019
2011-12-07,Diciembre,Leon,7,11.6,2011
2012-12-07,Diciembre,Leon,7,11.6,2012
2006-12-07,Diciembre,Leon,7,11.4,2006
1952-12-07,Diciembre,Leon,7,11.3,1952
1983-12-08,Diciembre,Leon,8,14.4,1983
1955-12-08,Diciembre,Leon,8,14,1955
1978-12-08,Diciembre,Leon,8,12.6,1978
1969-12-08,Diciembre,Leon,8,12.4,1969
2018-12-08,Diciembre,Leon,8,11.8,2018
2006-12-08,Diciembre,Leon,8,11.6,2006
2005-12-08,Diciembre,Leon,8,11.4,2005
2008-12-08,Diciembre,Leon,8,11.4,2008
1971-12-08,Diciembre,Leon,8,11.2,1971
1968-12-08,Diciembre,Leon,8,11,1968
2018-12-09,Diciembre,Leon,9,16.5,2018
2005-12-09,Diciembre,Leon,9,12.8,2005
1978-12-09,Diciembre,Leon,9,12.6,1978
1984-12-09,Diciembre,Leon,9,12.6,1984
1963-12-09,Diciembre,Leon,9,12.2,1963
1956-12-09,Diciembre,Leon,9,11.8,1956
1992-12-09,Diciembre,Leon,9,11.8,1992
2007-12-09,Diciembre,Leon,9,11.8,2007
1971-12-09,Diciembre,Leon,9,11.7,1971
1961-12-09,Diciembre,Leon,9,11.5,1961
2010-12-10,Diciembre,Leon,10,14.8,2010
2009-12-10,Diciembre,Leon,10,13.8,2009
2018-12-10,Diciembre,Leon,10,13.6,2018
1993-12-10,Diciembre,Leon,10,13,1993
1961-12-10,Diciembre,Leon,10,12.5,1961
1965-12-10,Diciembre,Leon,10,12.5,1965
1976-12-10,Diciembre,Leon,10,12,1976
1989-12-10,Diciembre,Leon,10,11.8,1989
2000-12-10,Diciembre,Leon,10,11.6,2000
1978-12-10,Diciembre,Leon,10,11.4,1978
1971-12-11,Diciembre,Leon,11,19,1971
2005-12-11,Diciembre,Leon,11,16.2,2005
2010-12-11,Diciembre,Leon,11,15.6,2010
2016-12-11,Diciembre,Leon,11,14.6,2016
2009-12-11,Diciembre,Leon,11,14.4,2009
1981-12-11,Diciembre,Leon,11,13.2,1981
1979-12-11,Diciembre,Leon,11,13,1979
1994-12-11,Diciembre,Leon,11,13,1994
2018-12-11,Diciembre,Leon,11,12.9,2018
1961-12-11,Diciembre,Leon,11,12,1961
1971-12-12,Diciembre,Leon,12,18.4,1971
1994-12-12,Diciembre,Leon,12,15.8,1994
2016-12-12,Diciembre,Leon,12,14.6,2016
2010-12-12,Diciembre,Leon,12,14.4,2010
1978-12-12,Diciembre,Leon,12,14.2,1978
2009-12-12,Diciembre,Leon,12,14.2,2009
1981-12-12,Diciembre,Leon,12,12.2,1981
1985-12-12,Diciembre,Leon,12,11.6,1985
1998-12-12,Diciembre,Leon,12,11.6,1998
2005-12-12,Diciembre,Leon,12,11.2,2005
1994-12-13,Diciembre,Leon,13,18.4,1994
1971-12-13,Diciembre,Leon,13,14.6,1971
1981-12-13,Diciembre,Leon,13,14.4,1981
1977-12-13,Diciembre,Leon,13,14,1977
2019-12-13,Diciembre,Leon,13,13,2019
1992-12-13,Diciembre,Leon,13,12,1992
1998-12-13,Diciembre,Leon,13,12,1998
1989-12-13,Diciembre,Leon,13,11.8,1989
1976-12-13,Diciembre,Leon,13,11.6,1976
2010-12-13,Diciembre,Leon,13,11.6,2010
1985-12-14,Diciembre,Leon,14,15.4,1985
1994-12-14,Diciembre,Leon,14,15.2,1994
1977-12-14,Diciembre,Leon,14,14,1977
1971-12-14,Diciembre,Leon,14,13.4,1971
1951-12-14,Diciembre,Leon,14,12.8,1951
1966-12-14,Diciembre,Leon,14,12.7,1966
1973-12-14,Diciembre,Leon,14,12.5,1973
1954-12-14,Diciembre,Leon,14,12,1954
1961-12-14,Diciembre,Leon,14,12,1961
1989-12-14,Diciembre,Leon,14,11.8,1989
1985-12-15,Diciembre,Leon,15,19,1985
1961-12-15,Diciembre,Leon,15,16,1961
2007-12-15,Diciembre,Leon,15,15,2007
1951-12-15,Diciembre,Leon,15,14,1951
1981-12-15,Diciembre,Leon,15,13.8,1981
1987-12-15,Diciembre,Leon,15,13.6,1987
1988-12-15,Diciembre,Leon,15,13.2,1988
1989-12-15,Diciembre,Leon,15,13.2,1989
1973-12-15,Diciembre,Leon,15,12.5,1973
1971-12-15,Diciembre,Leon,15,12.2,1971
1961-12-16,Diciembre,Leon,16,18.6,1961
1985-12-16,Diciembre,Leon,16,18.2,1985
1998-12-16,Diciembre,Leon,16,14.2,1998
1987-12-16,Diciembre,Leon,16,14,1987
2003-12-16,Diciembre,Leon,16,13.8,2003
2011-12-16,Diciembre,Leon,16,12.8,2011
1981-12-16,Diciembre,Leon,16,12,1981
1989-12-16,Diciembre,Leon,16,12,1989
2014-12-16,Diciembre,Leon,16,11.8,2014
1988-12-16,Diciembre,Leon,16,11.6,1988
1961-12-17,Diciembre,Leon,17,16.6,1961
1987-12-17,Diciembre,Leon,17,14,1987
1966-12-17,Diciembre,Leon,17,13.3,1966
1985-12-17,Diciembre,Leon,17,13,1985
1954-12-17,Diciembre,Leon,17,12.4,1954
2014-12-17,Diciembre,Leon,17,12.2,2014
2016-12-17,Diciembre,Leon,17,11.6,2016
1969-12-17,Diciembre,Leon,17,11.5,1969
2005-12-17,Diciembre,Leon,17,11.4,2005
1962-12-17,Diciembre,Leon,17,11.3,1962
1972-12-18,Diciembre,Leon,18,15,1972
1966-12-18,Diciembre,Leon,18,14,1966
2002-12-18,Diciembre,Leon,18,14,2002
1951-12-18,Diciembre,Leon,18,12.8,1951
1991-12-18,Diciembre,Leon,18,12.6,1991
1985-12-18,Diciembre,Leon,18,12.4,1985
2004-12-18,Diciembre,Leon,18,12.4,2004
2017-12-18,Diciembre,Leon,18,12.3,2017
1987-12-18,Diciembre,Leon,18,12,1987
1996-12-18,Diciembre,Leon,18,11.2,1996
1972-12-19,Diciembre,Leon,19,18,1972
1987-12-19,Diciembre,Leon,19,15.4,1987
1966-12-19,Diciembre,Leon,19,13.3,1966
1988-12-19,Diciembre,Leon,19,13.2,1988
1953-12-19,Diciembre,Leon,19,13,1953
2015-12-19,Diciembre,Leon,19,12.6,2015
1969-12-19,Diciembre,Leon,19,12.5,1969
1993-12-19,Diciembre,Leon,19,12.2,1993
1980-12-19,Diciembre,Leon,19,11.8,1980
1950-12-19,Diciembre,Leon,19,11.6,1950
1987-12-20,Diciembre,Leon,20,15.4,1987
1967-12-20,Diciembre,Leon,20,15,1967
1972-12-20,Diciembre,Leon,20,14.4,1972
1969-12-20,Diciembre,Leon,20,14,1969
2017-12-20,Diciembre,Leon,20,13.8,2017
1966-12-20,Diciembre,Leon,20,13.3,1966
2008-12-20,Diciembre,Leon,20,13,2008
2011-12-20,Diciembre,Leon,20,13,2011
1988-12-20,Diciembre,Leon,20,12.6,1988
1980-12-20,Diciembre,Leon,20,12.2,1980
2011-12-21,Diciembre,Leon,21,16,2011
2008-12-21,Diciembre,Leon,21,15.6,2008
1984-12-21,Diciembre,Leon,21,14.6,1984
1971-12-21,Diciembre,Leon,21,14.4,1971
1987-12-21,Diciembre,Leon,21,13.8,1987
