date,month,city,day,temp,year
1973-12-01,Diciembre,Malaga,1,24,1973
1996-12-01,Diciembre,Malaga,1,24,1996
2001-12-01,Diciembre,Malaga,1,21.6,2001
2014-12-01,Diciembre,Malaga,1,21,2014
1952-12-01,Diciembre,Malaga,1,20.6,1952
1976-12-01,Diciembre,Malaga,1,20.6,1976
1978-12-01,Diciembre,Malaga,1,20.4,1978
1981-12-01,Diciembre,Malaga,1,20.4,1981
1989-12-01,Diciembre,Malaga,1,20.4,1989
2007-12-01,Diciembre,Malaga,1,20.2,2007
1976-12-02,Diciembre,Malaga,2,23.4,1976
1992-12-02,Diciembre,Malaga,2,22.4,1992
1950-12-02,Diciembre,Malaga,2,22,1950
1966-12-02,Diciembre,Malaga,2,22,1966
1996-12-02,Diciembre,Malaga,2,21,1996
2002-12-02,Diciembre,Malaga,2,21,2002
2009-12-02,Diciembre,Malaga,2,20.8,2009
1961-12-02,Diciembre,Malaga,2,20.6,1961
1978-12-02,Diciembre,Malaga,2,20.6,1978
1997-12-02,Diciembre,Malaga,2,20.4,1997
1950-12-03,Diciembre,Malaga,3,23.4,1950
1976-12-03,Diciembre,Malaga,3,22.4,1976
1992-12-03,Diciembre,Malaga,3,22.4,1992
2018-12-03,Diciembre,Malaga,3,21.3,2018
2005-12-03,Diciembre,Malaga,3,21.2,2005
1965-12-03,Diciembre,Malaga,3,21,1965
1959-12-03,Diciembre,Malaga,3,20.6,1959
1984-12-03,Diciembre,Malaga,3,20.4,1984
1955-12-03,Diciembre,Malaga,3,20,1955
1968-12-03,Diciembre,Malaga,3,20,1968
1950-12-04,Diciembre,Malaga,4,23.4,1950
2018-12-04,Diciembre,Malaga,4,23,2018
1978-12-04,Diciembre,Malaga,4,22.4,1978
1984-12-04,Diciembre,Malaga,4,22.4,1984
2007-12-04,Diciembre,Malaga,4,21.8,2007
2005-12-04,Diciembre,Malaga,4,21.6,2005
2006-12-04,Diciembre,Malaga,4,21.2,2006
2015-12-04,Diciembre,Malaga,4,20.4,2015
1992-12-04,Diciembre,Malaga,4,20.2,1992
1994-12-04,Diciembre,Malaga,4,19.8,1994
1994-12-05,Diciembre,Malaga,5,22.4,1994
2018-12-05,Diciembre,Malaga,5,22,2018
1960-12-05,Diciembre,Malaga,5,21,1960
2007-12-05,Diciembre,Malaga,5,21,2007
1981-12-05,Diciembre,Malaga,5,20.8,1981
2002-12-05,Diciembre,Malaga,5,20.6,2002
2005-12-05,Diciembre,Malaga,5,20.4,2005
2006-12-05,Diciembre,Malaga,5,20.4,2006
2009-12-05,Diciembre,Malaga,5,20.4,2009
1952-12-05,Diciembre,Malaga,5,20.2,1952
1976-12-06,Diciembre,Malaga,6,22.6,1976
1992-12-06,Diciembre,Malaga,6,21.8,1992
1961-12-06,Diciembre,Malaga,6,21.6,1961
1965-12-06,Diciembre,Malaga,6,21.6,1965
1994-12-06,Diciembre,Malaga,6,21.4,1994
1967-12-06,Diciembre,Malaga,6,21,1967
2009-12-06,Diciembre,Malaga,6,20.6,2009
1993-12-06,Diciembre,Malaga,6,20.4,1993
2008-12-06,Diciembre,Malaga,6,20.4,2008
2016-12-06,Diciembre,Malaga,6,20.4,2016
1976-12-07,Diciembre,Malaga,7,22.6,1976
2007-12-07,Diciembre,Malaga,7,22,2007
2000-12-07,Diciembre,Malaga,7,21.6,2000
1994-12-07,Diciembre,Malaga,7,21.4,1994
2010-12-07,Diciembre,Malaga,7,21.4,2010
1982-12-07,Diciembre,Malaga,7,20.8,1982
1992-12-07,Diciembre,Malaga,7,20.8,1992
1964-12-07,Diciembre,Malaga,7,20,1964
2004-12-07,Diciembre,Malaga,7,20,2004
2009-12-07,Diciembre,Malaga,7,20,2009
1976-12-08,Diciembre,Malaga,8,23.2,1976
2009-12-08,Diciembre,Malaga,8,23,2009
2010-12-08,Diciembre,Malaga,8,22.4,2010
1961-12-08,Diciembre,Malaga,8,22,1961
2019-12-08,Diciembre,Malaga,8,21.8,2019
2018-12-08,Diciembre,Malaga,8,21.6,2018
1994-12-08,Diciembre,Malaga,8,21.2,1994
1979-12-08,Diciembre,Malaga,8,20.6,1979
1982-12-08,Diciembre,Malaga,8,20.6,1982
2017-12-08,Diciembre,Malaga,8,20.5,2017
2010-12-09,Diciembre,Malaga,9,23.4,2010
1978-12-09,Diciembre,Malaga,9,22.8,1978
1979-12-09,Diciembre,Malaga,9,22.6,1979
2009-12-09,Diciembre,Malaga,9,21.8,2009
2007-12-09,Diciembre,Malaga,9,21.6,2007
1997-12-09,Diciembre,Malaga,9,21.4,1997
2005-12-09,Diciembre,Malaga,9,21,2005
1994-12-09,Diciembre,Malaga,9,20.8,1994
2019-12-09,Diciembre,Malaga,9,20.5,2019
1989-12-09,Diciembre,Malaga,9,20.2,1989
1961-12-10,Diciembre,Malaga,10,23.6,1961
1994-12-10,Diciembre,Malaga,10,22.4,1994
1981-12-10,Diciembre,Malaga,10,22,1981
2018-12-10,Diciembre,Malaga,10,21.7,2018
1977-12-10,Diciembre,Malaga,10,21.6,1977
1951-12-10,Diciembre,Malaga,10,21.4,1951
1982-12-10,Diciembre,Malaga,10,21.2,1982
2017-12-10,Diciembre,Malaga,10,20.9,2017
1998-12-10,Diciembre,Malaga,10,20.6,1998
2015-12-10,Diciembre,Malaga,10,20.4,2015
1951-12-11,Diciembre,Malaga,11,22.6,1951
1979-12-11,Diciembre,Malaga,11,21.6,1979
1981-12-11,Diciembre,Malaga,11,21.6,1981
2019-12-11,Diciembre,Malaga,11,21.4,2019
1962-12-11,Diciembre,Malaga,11,21,1962
1976-12-11,Diciembre,Malaga,11,20.6,1976
2015-12-11,Diciembre,Malaga,11,20.3,2015
1998-12-11,Diciembre,Malaga,11,20.2,1998
1997-12-11,Diciembre,Malaga,11,19.8,1997
1966-12-11,Diciembre,Malaga,11,19.6,1966
1998-12-12,Diciembre,Malaga,12,24.6,1998
1979-12-12,Diciembre,Malaga,12,22.4,1979
1978-12-12,Diciembre,Malaga,12,22.2,1978
1981-12-12,Diciembre,Malaga,12,22.2,1981
1997-12-12,Diciembre,Malaga,12,21.4,1997
2018-12-12,Diciembre,Malaga,12,20.4,2018
1953-12-12,Diciembre,Malaga,12,20,1953
1958-12-12,Diciembre,Malaga,12,19.8,1958
1974-12-12,Diciembre,Malaga,12,19.6,1974
1985-12-12,Diciembre,Malaga,12,19.6,1985
1978-12-13,Diciembre,Malaga,13,23.4,1978
1981-12-13,Diciembre,Malaga,13,23.2,1981
1974-12-13,Diciembre,Malaga,13,23,1974
1999-12-13,Diciembre,Malaga,13,22.8,1999
1955-12-13,Diciembre,Malaga,13,22,1955
1989-12-13,Diciembre,Malaga,13,21.8,1989
2010-12-13,Diciembre,Malaga,13,21,2010
2004-12-13,Diciembre,Malaga,13,20.6,2004
2019-12-13,Diciembre,Malaga,13,20.5,2019
2013-12-13,Diciembre,Malaga,13,20.4,2013
