date,month,city,day,temp,year
1985-12-01,Diciembre,Santander,1,21.4,1985
2000-12-01,Diciembre,Santander,1,20.8,2000
1994-12-01,Diciembre,Santander,1,20.2,1994
2006-12-01,Diciembre,Santander,1,19.3,2006
2016-12-01,Diciembre,Santander,1,18.8,2016
2011-12-01,Diciembre,Santander,1,18.7,2011
1995-12-01,Diciembre,Santander,1,18,1995
1966-12-01,Diciembre,Santander,1,17.6,1966
1968-12-01,Diciembre,Santander,1,17.6,1968
1974-12-01,Diciembre,Santander,1,17.2,1974
1985-12-02,Diciembre,Santander,2,24.6,1985
1992-12-02,Diciembre,Santander,2,23.4,1992
1994-12-02,Diciembre,Santander,2,20.5,1994
1989-12-02,Diciembre,Santander,2,20.2,1989
2018-12-02,Diciembre,Santander,2,19,2018
1979-12-02,Diciembre,Santander,2,18,1979
2016-12-02,Diciembre,Santander,2,18,2016
1968-12-02,Diciembre,Santander,2,17.4,1968
1977-12-02,Diciembre,Santander,2,17.4,1977
2001-12-02,Diciembre,Santander,2,17.2,2001
1985-12-03,Diciembre,Santander,3,23.4,1985
2015-12-03,Diciembre,Santander,3,20.6,2015
1961-12-03,Diciembre,Santander,3,20.2,1961
1994-12-03,Diciembre,Santander,3,20.2,1994
1977-12-03,Diciembre,Santander,3,19.5,1977
2018-12-03,Diciembre,Santander,3,18.5,2018
1995-12-03,Diciembre,Santander,3,17.7,1995
1968-12-03,Diciembre,Santander,3,17.6,1968
2016-12-03,Diciembre,Santander,3,17.6,2016
1979-12-03,Diciembre,Santander,3,17.2,1979
1985-12-04,Diciembre,Santander,4,24,1985
1994-12-04,Diciembre,Santander,4,21.4,1994
2000-12-04,Diciembre,Santander,4,20.2,2000
1961-12-04,Diciembre,Santander,4,19.2,1961
2006-12-04,Diciembre,Santander,4,19,2006
2016-12-04,Diciembre,Santander,4,18.9,2016
1987-12-04,Diciembre,Santander,4,18.8,1987
1986-12-04,Diciembre,Santander,4,18.6,1986
2007-12-04,Diciembre,Santander,4,18.6,2007
1992-12-04,Diciembre,Santander,4,18.2,1992
1985-12-05,Diciembre,Santander,5,22.2,1985
2016-12-05,Diciembre,Santander,5,22,2016
1965-12-05,Diciembre,Santander,5,19.8,1965
2006-12-05,Diciembre,Santander,5,19.7,2006
2000-12-05,Diciembre,Santander,5,19.4,2000
1984-12-05,Diciembre,Santander,5,19,1984
1986-12-05,Diciembre,Santander,5,19,1986
1994-12-05,Diciembre,Santander,5,19,1994
2009-12-05,Diciembre,Santander,5,18.6,2009
2018-12-05,Diciembre,Santander,5,18.6,2018
2015-12-06,Diciembre,Santander,6,21,2015
2010-12-06,Diciembre,Santander,6,19.8,2010
1992-12-06,Diciembre,Santander,6,19.4,1992
1968-12-06,Diciembre,Santander,6,19,1968
2009-12-06,Diciembre,Santander,6,18.6,2009
2000-12-06,Diciembre,Santander,6,18.5,2000
1979-12-06,Diciembre,Santander,6,18,1979
2001-12-06,Diciembre,Santander,6,17.6,2001
2007-12-06,Diciembre,Santander,6,17.5,2007
2016-12-06,Diciembre,Santander,6,17.5,2016
2000-12-07,Diciembre,Santander,7,23.5,2000
1978-12-07,Diciembre,Santander,7,21.1,1978
2015-12-07,Diciembre,Santander,7,20.2,2015
1986-12-07,Diciembre,Santander,7,19.6,1986
1977-12-07,Diciembre,Santander,7,19.4,1977
2006-12-07,Diciembre,Santander,7,19.4,2006
1982-12-07,Diciembre,Santander,7,18.6,1982
2010-12-07,Diciembre,Santander,7,18.5,2010
1997-12-07,Diciembre,Santander,7,18.2,1997
1963-12-07,Diciembre,Santander,7,18,1963
1978-12-08,Diciembre,Santander,8,22.5,1978
1961-12-08,Diciembre,Santander,8,21.2,1961
2006-12-08,Diciembre,Santander,8,21,2006
1989-12-08,Diciembre,Santander,8,20.6,1989
2016-12-08,Diciembre,Santander,8,20.2,2016
2010-12-08,Diciembre,Santander,8,19.4,2010
2009-12-08,Diciembre,Santander,8,18.8,2009
1986-12-08,Diciembre,Santander,8,18.2,1986
1993-12-08,Diciembre,Santander,8,18.2,1993
1994-12-08,Diciembre,Santander,8,18.2,1994
1978-12-09,Diciembre,Santander,9,22.6,1978
2009-12-09,Diciembre,Santander,9,20,2009
2016-12-09,Diciembre,Santander,9,19.5,2016
1982-12-09,Diciembre,Santander,9,19,1982
1994-12-09,Diciembre,Santander,9,19,1994
1993-12-09,Diciembre,Santander,9,18.3,1993
1964-12-09,Diciembre,Santander,9,18,1964
2007-12-09,Diciembre,Santander,9,18,2007
2000-12-09,Diciembre,Santander,9,17.2,2000
1979-12-09,Diciembre,Santander,9,17,1979
1978-12-10,Diciembre,Santander,10,23,1978
1977-12-10,Diciembre,Santander,10,21.6,1977
1961-12-10,Diciembre,Santander,10,19.6,1961
1993-12-10,Diciembre,Santander,10,19.4,1993
1997-12-10,Diciembre,Santander,10,19.1,1997
1963-12-10,Diciembre,Santander,10,18.8,1963
2016-12-10,Diciembre,Santander,10,18.5,2016
2017-12-10,Diciembre,Santander,10,18.4,2017
1982-12-10,Diciembre,Santander,10,18.2,1982
1970-12-10,Diciembre,Santander,10,18,1970
1978-12-11,Diciembre,Santander,11,22.2,1978
1961-12-11,Diciembre,Santander,11,21,1961
1997-12-11,Diciembre,Santander,11,19.4,1997
2013-12-11,Diciembre,Santander,11,19.3,2013
1970-12-11,Diciembre,Santander,11,19,1970
1989-12-11,Diciembre,Santander,11,18.6,1989
2000-12-11,Diciembre,Santander,11,18.3,2000
1979-12-11,Diciembre,Santander,11,18,1979
1994-12-11,Diciembre,Santander,11,18,1994
1995-12-11,Diciembre,Santander,11,17.5,1995
1984-12-12,Diciembre,Santander,12,22.2,1984
1978-12-12,Diciembre,Santander,12,21.5,1978
1998-12-12,Diciembre,Santander,12,20.8,1998
2000-12-12,Diciembre,Santander,12,20.1,2000
1981-12-12,Diciembre,Santander,12,19.5,1981
1989-12-12,Diciembre,Santander,12,19.2,1989
2004-12-12,Diciembre,Santander,12,17.7,2004
1979-12-12,Diciembre,Santander,12,17.4,1979
2016-12-12,Diciembre,Santander,12,17.3,2016
1961-12-12,Diciembre,Santander,12,17.2,1961
1989-12-13,Diciembre,Santander,13,21,1989
1981-12-13,Diciembre,Santander,13,19.9,1981
1987-12-13,Diciembre,Santander,13,19,1987
1979-12-13,Diciembre,Santander,13,18.6,1979
1984-12-13,Diciembre,Santander,13,18.6,1984
1996-12-13,Diciembre,Santander,13,18.5,1996
2004-12-13,Diciembre,Santander,13,18.5,2004
1998-12-13,Diciembre,Santander,13,18.2,1998
2019-12-13,Diciembre,Santander,13,18.2,2019
1961-12-13,Diciembre,Santander,13,18,1961
1989-12-14,Diciembre,Santander,14,23.2,1989
2002-12-14,Diciembre,Santander,14,19.6,2002
2015-12-14,Diciembre,Santander,14,19.5,2015
2012-12-14,Diciembre,Santander,14,18.9,2012
1987-12-14,Diciembre,Santander,14,18.8,1987
2016-12-14,Diciembre,Santander,14,18.8,2016
1998-12-14,Diciembre,Santander,14,18.7,1998
2019-12-14,Diciembre,Santander,14,18.4,2019
1980-12-14,Diciembre,Santander,14,18.2,1980
1961-12-14,Diciembre,Santander,14,17.4,1961
1989-12-15,Diciembre,Santander,15,23,1989
1987-12-15,Diciembre,Santander,15,21,1987
2015-12-15,Diciembre,Santander,15,20.6,2015
2012-12-15,Diciembre,Santander,15,18.6,2012
2018-12-15,Diciembre,Santander,15,18.6,2018
2011-12-15,Diciembre,Santander,15,18.5,2011
2016-12-15,Diciembre,Santander,15,17.5,2016
1972-12-15,Diciembre,Santander,15,17,1972
1981-12-15,Diciembre,Santander,15,17,1981
1986-12-15,Diciembre,Santander,15,17,1986
1987-12-16,Diciembre,Santander,16,22.6,1987
1989-12-16,Diciembre,Santander,16,22.6,1989
2015-12-16,Diciembre,Santander,16,22,2015
2013-12-16,Diciembre,Santander,16,20,2013
2019-12-16,Diciembre,Santander,16,19.2,2019
1971-12-16,Diciembre,Santander,16,18,1971
2011-12-16,Diciembre,Santander,16,18,2011
1979-12-16,Diciembre,Santander,16,17.8,1979
2012-12-16,Diciembre,Santander,16,17.8,2012
1972-12-16,Diciembre,Santander,16,17.6,1972
1987-12-17,Diciembre,Santander,17,23.6,1987
2015-12-17,Diciembre,Santander,17,22.2,2015
1997-12-17,Diciembre,Santander,17,21,1997
1972-12-17,Diciembre,Santander,17,20,1972
2002-12-17,Diciembre,Santander,17,19.5,2002
1996-12-17,Diciembre,Santander,17,19.2,1996
1977-12-17,Diciembre,Santander,17,18.5,1977
1989-12-17,Diciembre,Santander,17,18.4,1989
1969-12-17,Diciembre,Santander,17,18.2,1969
1971-12-17,Diciembre,Santander,17,18,1971
2015-12-18,Diciembre,Santander,18,21.8,2015
1987-12-18,Diciembre,Santander,18,21.6,1987
2019-12-18,Diciembre,Santander,18,18.7,2019
1971-12-18,Diciembre,Santander,18,18.6,1971
1972-12-18,Diciembre,Santander,18,18.6,1972
1983-12-18,Diciembre,Santander,18,18.6,1983
1996-12-18,Diciembre,Santander,18,18.6,1996
1989-12-18,Diciembre,Santander,18,18.2,1989
1995-12-18,Diciembre,Santander,18,18.2,1995
1977-12-18,Diciembre,Santander,18,18,1977
2015-12-19,Diciembre,Santander,19,22.7,2015
1995-12-19,Diciembre,Santander,19,20.4,1995
1965-12-19,Diciembre,Santander,19,20,1965
2019-12-19,Diciembre,Santander,19,19.9,2019
2002-12-19,Diciembre,Santander,19,19.7,2002
1993-12-19,Diciembre,Santander,19,19.6,1993
1973-12-19,Diciembre,Santander,19,19,1973
1971-12-19,Diciembre,Santander,19,18.6,1971
1989-12-19,Diciembre,Santander,19,18.2,1989
2012-12-19,Diciembre,Santander,19,18.2,2012
1993-12-20,Diciembre,Santander,20,21,1993
2015-12-20,Diciembre,Santander,20,20.9,2015
1989-12-20,Diciembre,Santander,20,20,1989
2002-12-20,Diciembre,Santander,20,19.8,2002
1995-12-20,Diciembre,Santander,20,18.2,1995
1992-12-20,Diciembre,Santander,20,18.1,1992
2018-12-20,Diciembre,Santander,20,17.8,2018
1983-12-20,Diciembre,Santander,20,17.6,1983
2003-12-20,Diciembre,Santander,20,17.6,2003
2000-12-20,Diciembre,Santander,20,17.3,2000
2019-12-21,Diciembre,Santander,21,23.2,2019
1989-12-21,Diciembre,Santander,21,20.2,1989
1995-12-21,Diciembre,Santander,21,20.2,1995
2002-12-21,Diciembre,Santander,21,18.7,2002
2015-12-21,Diciembre,Santander,21,18.5,2015
2018-12-21,Diciembre,Santander,21,18.3,2018
1968-12-21,Diciembre,Santander,21,17.6,1968
1977-12-21,Diciembre,Santander,21,17.6,1977
1996-12-21,Diciembre,Santander,21,17.6,1996
2000-12-21,Diciembre,Santander,21,17.4,2000
1995-12-22,Diciembre,Santander,22,21,1995
2012-12-22,Diciembre,Santander,22,21,2012
2018-12-22,Diciembre,Santander,22,20.8,2018
2002-12-22,Diciembre,Santander,22,20.2,2002
1996-12-22,Diciembre,Santander,22,19.5,1996
2015-12-22,Diciembre,Santander,22,19.5,2015
1999-12-22,Diciembre,Santander,22,18.8,1999
1983-12-22,Diciembre,Santander,22,18.6,1983
1977-12-22,Diciembre,Santander,22,17.6,1977
2000-12-22,Diciembre,Santander,22,17.6,2000
2012-12-23,Diciembre,Santander,23,24.5,2012
1977-12-23,Diciembre,Santander,23,22.4,1977
2002-12-23,Diciembre,Santander,23,20,2002
1983-12-23,Diciembre,Santander,23,19.6,1983
1968-12-23,Diciembre,Santander,23,18.8,1968
1995-12-23,Diciembre,Santander,23,18,1995
2019-12-23,Diciembre,Santander,23,17.9,2019
1987-12-23,Diciembre,Santander,23,17.6,1987
1981-12-23,Diciembre,Santander,23,17,1981
1997-12-23,Diciembre,Santander,23,17,1997
1983-12-24,Diciembre,Santander,24,23.6,1983
2019-12-24,Diciembre,Santander,24,21.7,2019
1977-12-24,Diciembre,Santander,24,21.6,1977
2009-12-24,Diciembre,Santander,24,20.2,2009
2012-12-24,Diciembre,Santander,24,20.1,2012
1978-12-24,Diciembre,Santander,24,19.2,1978
1997-12-24,Diciembre,Santander,24,19,1997
2013-12-24,Diciembre,Santander,24,19,2013
2015-12-24,Diciembre,Santander,24,18.5,2015
1985-12-24,Diciembre,Santander,24,18.4,1985
1974-12-25,Diciembre,Santander,25,21.4,1974
2015-12-25,Diciembre,Santander,25,21.3,2015
2002-12-25,Diciembre,Santander,25,20.4,2002
1983-12-25,Diciembre,Santander,25,20,1983
2019-12-25,Diciembre,Santander,25,19.7,2019
1999-12-25,Diciembre,Santander,25,18.8,1999
1997-12-25,Diciembre,Santander,25,18.5,1997
1978-12-25,Diciembre,Santander,25,17.6,1978
1977-12-25,Diciembre,Santander,25,16.8,1977
1985-12-25,Diciembre,Santander,25,16.4,1985
