date,month,city,day,temp,year
2019-01-01,Enero,Burgos,1,12.8,2019
2003-01-01,Enero,Burgos,1,12.6,2003
1980-01-01,Enero,Burgos,1,12.4,1980
1978-01-01,Enero,Burgos,1,12,1978
1975-01-01,Enero,Burgos,1,11.8,1975
2016-01-01,Enero,Burgos,1,11.8,2016
1962-01-01,Enero,Burgos,1,11.6,1962
2015-01-01,Enero,Burgos,1,11.5,2015
2020-01-01,Enero,Burgos,1,11.3,2020
1989-01-01,Enero,Burgos,1,11.2,1989
2015-01-02,Enero,Burgos,2,12,2015
2003-01-02,Enero,Burgos,2,11.8,2003
2020-01-02,Enero,Burgos,2,11.5,2020
1998-01-02,Enero,Burgos,2,11.4,1998
1982-01-02,Enero,Burgos,2,11.2,1982
1960-01-02,Enero,Burgos,2,11,1960
1975-01-02,Enero,Burgos,2,10.8,1975
2014-01-02,Enero,Burgos,2,10.8,2014
1963-01-02,Enero,Burgos,2,10.4,1963
1988-01-02,Enero,Burgos,2,10.4,1988
2018-01-03,Enero,Burgos,3,13.9,2018
1998-01-03,Enero,Burgos,3,13.2,1998
1982-01-03,Enero,Burgos,3,12,1982
1996-01-03,Enero,Burgos,3,11.6,1996
2015-01-03,Enero,Burgos,3,11.3,2015
2017-01-03,Enero,Burgos,3,11.1,2017
1950-01-03,Enero,Burgos,3,11,1950
1994-01-03,Enero,Burgos,3,10.8,1994
1976-01-03,Enero,Burgos,3,10.6,1976
2014-01-03,Enero,Burgos,3,10.6,2014
1960-01-04,Enero,Burgos,4,16,1960
1950-01-04,Enero,Burgos,4,13,1950
2013-01-04,Enero,Burgos,4,12.8,2013
1996-01-04,Enero,Burgos,4,12,1996
1970-01-04,Enero,Burgos,4,11.6,1970
2002-01-04,Enero,Burgos,4,11.6,2002
1998-01-04,Enero,Burgos,4,11.5,1998
1964-01-04,Enero,Burgos,4,11,1964
1999-01-04,Enero,Burgos,4,11,1999
2018-01-04,Enero,Burgos,4,11,2018
1999-01-05,Enero,Burgos,5,16,1999
1960-01-05,Enero,Burgos,5,14.5,1960
2013-01-05,Enero,Burgos,5,14,2013
