date,month,city,day,temp,year
2007-01-01,Enero,Jerez,1,21.2,2007
1962-01-01,Enero,Jerez,1,19.8,1962
1967-01-01,Enero,Jerez,1,19.4,1967
2016-01-01,Enero,Jerez,1,19.4,2016
2005-01-01,Enero,Jerez,1,19.1,2005
2012-01-01,Enero,Jerez,1,19.1,2012
1994-01-01,Enero,Jerez,1,19,1994
1955-01-01,Enero,Jerez,1,18.8,1955
2019-01-01,Enero,Jerez,1,18.8,2019
1980-01-01,Enero,Jerez,1,18.4,1980
2007-01-02,Enero,Jerez,2,22,2007
1975-01-02,Enero,Jerez,2,20,1975
2012-01-02,Enero,Jerez,2,19.5,2012
2020-01-02,Enero,Jerez,2,19,2020
1962-01-02,Enero,Jerez,2,18.8,1962
2003-01-02,Enero,Jerez,2,18.8,2003
2019-01-02,Enero,Jerez,2,18.7,2019
1976-01-02,Enero,Jerez,2,18.4,1976
1978-01-02,Enero,Jerez,2,18.4,1978
2002-01-02,Enero,Jerez,2,18.3,2002
2007-01-03,Enero,Jerez,3,23,2007
2017-01-03,Enero,Jerez,3,21.4,2017
1996-01-03,Enero,Jerez,3,20.6,1996
2016-01-03,Enero,Jerez,3,19.2,2016
1960-01-03,Enero,Jerez,3,19,1960
1982-01-03,Enero,Jerez,3,19,1982
2018-01-03,Enero,Jerez,3,18.6,2018
2019-01-03,Enero,Jerez,3,18.5,2019
1964-01-03,Enero,Jerez,3,18.4,1964
1978-01-03,Enero,Jerez,3,18.4,1978
2007-01-04,Enero,Jerez,4,21.1,2007
2012-01-04,Enero,Jerez,4,20.2,2012
2005-01-04,Enero,Jerez,4,19.8,2005
2013-01-04,Enero,Jerez,4,19.8,2013
1996-01-04,Enero,Jerez,4,19.5,1996
2014-01-04,Enero,Jerez,4,19.1,2014
1960-01-04,Enero,Jerez,4,19,1960
1982-01-04,Enero,Jerez,4,19,1982
2016-01-04,Enero,Jerez,4,18.8,2016
2017-01-04,Enero,Jerez,4,18.8,2017
2012-01-05,Enero,Jerez,5,22,2012
2007-01-05,Enero,Jerez,5,20.1,2007
1960-01-05,Enero,Jerez,5,20,1960
2004-01-05,Enero,Jerez,5,19.4,2004
1975-01-05,Enero,Jerez,5,19,1975
2013-01-05,Enero,Jerez,5,18.7,2013
2003-01-05,Enero,Jerez,5,18.6,2003
1982-01-05,Enero,Jerez,5,18.4,1982
2002-01-05,Enero,Jerez,5,18.2,2002
1978-01-05,Enero,Jerez,5,18,1978
2017-01-06,Enero,Jerez,6,19.7,2017
1982-01-06,Enero,Jerez,6,19.6,1982
2007-01-06,Enero,Jerez,6,19.5,2007
2012-01-06,Enero,Jerez,6,19.5,2012
1957-01-06,Enero,Jerez,6,19.4,1957
1960-01-06,Enero,Jerez,6,19,1960
1996-01-06,Enero,Jerez,6,18.9,1996
2000-01-06,Enero,Jerez,6,18.6,2000
1992-01-06,Enero,Jerez,6,18.5,1992
1969-01-06,Enero,Jerez,6,18,1969
2012-01-07,Enero,Jerez,7,23.1,2012
2007-01-07,Enero,Jerez,7,20.2,2007
2014-01-07,Enero,Jerez,7,20.1,2014
1979-01-07,Enero,Jerez,7,20,1979
1982-01-07,Enero,Jerez,7,20,1982
1996-01-07,Enero,Jerez,7,19.8,1996
1957-01-07,Enero,Jerez,7,19,1957
1976-01-07,Enero,Jerez,7,19,1976
1981-01-07,Enero,Jerez,7,19,1981
1999-01-07,Enero,Jerez,7,19,1999
2014-01-08,Enero,Jerez,8,22.5,2014
2012-01-08,Enero,Jerez,8,20.7,2012
1996-01-08,Enero,Jerez,8,20.6,1996
1957-01-08,Enero,Jerez,8,20,1957
1998-01-08,Enero,Jerez,8,19.8,1998
2016-01-08,Enero,Jerez,8,19.7,2016
1989-01-08,Enero,Jerez,8,19.4,1989
2004-01-08,Enero,Jerez,8,19.2,2004
1960-01-08,Enero,Jerez,8,19,1960
1982-01-08,Enero,Jerez,8,19,1982
2012-01-09,Enero,Jerez,9,20.6,2012
1982-01-09,Enero,Jerez,9,20.2,1982
2015-01-09,Enero,Jerez,9,20.2,2015
1957-01-09,Enero,Jerez,9,20,1957
2004-01-09,Enero,Jerez,9,19.5,2004
2007-01-09,Enero,Jerez,9,19.5,2007
1989-01-09,Enero,Jerez,9,19.4,1989
2014-01-09,Enero,Jerez,9,18.5,2014
1983-01-09,Enero,Jerez,9,18.4,1983
2002-01-09,Enero,Jerez,9,18.4,2002
2007-01-10,Enero,Jerez,10,21,2007
2012-01-10,Enero,Jerez,10,20.7,2012
1998-01-10,Enero,Jerez,10,19.6,1998
1991-01-10,Enero,Jerez,10,19.5,1991
1975-01-10,Enero,Jerez,10,19.4,1975
2016-01-10,Enero,Jerez,10,19.3,2016
1955-01-10,Enero,Jerez,10,19,1955
2002-01-10,Enero,Jerez,10,18.8,2002
2004-01-10,Enero,Jerez,10,18.5,2004
2013-01-10,Enero,Jerez,10,18.5,2013
2012-01-11,Enero,Jerez,11,21.4,2012
2014-01-11,Enero,Jerez,11,20.7,2014
2017-01-11,Enero,Jerez,11,20.3,2017
1974-01-11,Enero,Jerez,11,20,1974
2007-01-11,Enero,Jerez,11,20,2007
2004-01-11,Enero,Jerez,11,19.8,2004
1997-01-11,Enero,Jerez,11,19.5,1997
1955-01-11,Enero,Jerez,11,19,1955
1957-01-11,Enero,Jerez,11,19,1957
2011-01-11,Enero,Jerez,11,18.9,2011
1997-01-12,Enero,Jerez,12,21,1997
2004-01-12,Enero,Jerez,12,20.3,2004
2014-01-12,Enero,Jerez,12,20.2,2014
2007-01-12,Enero,Jerez,12,19.9,2007
1976-01-12,Enero,Jerez,12,19.8,1976
1974-01-12,Enero,Jerez,12,19.6,1974
1955-01-12,Enero,Jerez,12,19.2,1955
1957-01-12,Enero,Jerez,12,19,1957
2002-01-12,Enero,Jerez,12,18.8,2002
1994-01-12,Enero,Jerez,12,18.6,1994
2012-01-13,Enero,Jerez,13,20.2,2012
1957-01-13,Enero,Jerez,13,19.8,1957
2007-01-13,Enero,Jerez,13,19.2,2007
2015-01-13,Enero,Jerez,13,19,2015
1993-01-13,Enero,Jerez,13,18.8,1993
1997-01-13,Enero,Jerez,13,18.6,1997
1956-01-13,Enero,Jerez,13,18.4,1956
1975-01-13,Enero,Jerez,13,18.4,1975
2005-01-13,Enero,Jerez,13,18.2,2005
2010-01-13,Enero,Jerez,13,18.1,2010
2007-01-14,Enero,Jerez,14,20.3,2007
2011-01-14,Enero,Jerez,14,20,2011
2016-01-14,Enero,Jerez,14,19.4,2016
1979-01-14,Enero,Jerez,14,19,1979
2012-01-14,Enero,Jerez,14,18.9,2012
2005-01-14,Enero,Jerez,14,18.8,2005
1956-01-14,Enero,Jerez,14,18.6,1956
1968-01-14,Enero,Jerez,14,18.4,1968
1975-01-14,Enero,Jerez,14,18.4,1975
1962-01-14,Enero,Jerez,14,18,1962
2007-01-15,Enero,Jerez,15,21.1,2007
1956-01-15,Enero,Jerez,15,20,1956
1968-01-15,Enero,Jerez,15,19.8,1968
1955-01-15,Enero,Jerez,15,19.4,1955
1974-01-15,Enero,Jerez,15,19.2,1974
2020-01-15,Enero,Jerez,15,19.1,2020
1964-01-15,Enero,Jerez,15,19,1964
1993-01-15,Enero,Jerez,15,19,1993
1996-01-15,Enero,Jerez,15,18.6,1996
1995-01-15,Enero,Jerez,15,18.5,1995
1968-01-16,Enero,Jerez,16,21.6,1968
2020-01-16,Enero,Jerez,16,20.5,2020
2010-01-16,Enero,Jerez,16,20.1,2010
2005-01-16,Enero,Jerez,16,19.6,2005
2007-01-16,Enero,Jerez,16,19.4,2007
1955-01-16,Enero,Jerez,16,19.2,1955
1974-01-16,Enero,Jerez,16,18.8,1974
2004-01-16,Enero,Jerez,16,18.7,2004
1999-01-16,Enero,Jerez,16,18.5,1999
1977-01-16,Enero,Jerez,16,18.4,1977
1968-01-17,Enero,Jerez,17,22,1968
2007-01-17,Enero,Jerez,17,21.7,2007
1974-01-17,Enero,Jerez,17,20,1974
2005-01-17,Enero,Jerez,17,19.7,2005
2010-01-17,Enero,Jerez,17,19.7,2010
2020-01-17,Enero,Jerez,17,19.7,2020
1983-01-17,Enero,Jerez,17,19.6,1983
1993-01-17,Enero,Jerez,17,19.1,1993
1962-01-17,Enero,Jerez,17,18.6,1962
1955-01-17,Enero,Jerez,17,18.2,1955
2007-01-18,Enero,Jerez,18,24.6,2007
1968-01-18,Enero,Jerez,18,22,1968
2018-01-18,Enero,Jerez,18,20.2,2018
2010-01-18,Enero,Jerez,18,19.9,2010
2012-01-18,Enero,Jerez,18,19.7,2012
2011-01-18,Enero,Jerez,18,19.4,2011
1974-01-18,Enero,Jerez,18,19.2,1974
1970-01-18,Enero,Jerez,18,18.8,1970
1979-01-18,Enero,Jerez,18,18.6,1979
1981-01-18,Enero,Jerez,18,18.4,1981
2007-01-19,Enero,Jerez,19,25.3,2007
2008-01-19,Enero,Jerez,19,23,2008
1970-01-19,Enero,Jerez,19,21,1970
2012-01-19,Enero,Jerez,19,20.1,2012
2011-01-19,Enero,Jerez,19,19,2011
1969-01-19,Enero,Jerez,19,18.8,1969
2010-01-19,Enero,Jerez,19,18.7,2010
1993-01-19,Enero,Jerez,19,18.6,1993
1955-01-19,Enero,Jerez,19,18.4,1955
1968-01-19,Enero,Jerez,19,18.4,1968
2007-01-20,Enero,Jerez,20,24.9,2007
2005-01-20,Enero,Jerez,20,22.9,2005
2008-01-20,Enero,Jerez,20,20.9,2008
1981-01-20,Enero,Jerez,20,20.6,1981
1959-01-20,Enero,Jerez,20,19.8,1959
2018-01-20,Enero,Jerez,20,18.7,2018
1969-01-20,Enero,Jerez,20,18.6,1969
1991-01-20,Enero,Jerez,20,18.5,1991
2010-01-20,Enero,Jerez,20,18.5,2010
1968-01-20,Enero,Jerez,20,18.4,1968
1981-01-21,Enero,Jerez,21,23.6,1981
2005-01-21,Enero,Jerez,21,22.6,2005
2007-01-21,Enero,Jerez,21,21,2007
2012-01-21,Enero,Jerez,21,20.4,2012
2008-01-21,Enero,Jerez,21,20.3,2008
1969-01-21,Enero,Jerez,21,19,1969
1993-01-21,Enero,Jerez,21,19,1993
1960-01-21,Enero,Jerez,21,18.4,1960
1966-01-21,Enero,Jerez,21,18.4,1966
1998-01-21,Enero,Jerez,21,18.2,1998
2008-01-22,Enero,Jerez,22,21.8,2008
1981-01-22,Enero,Jerez,22,21.6,1981
2016-01-22,Enero,Jerez,22,19.9,2016
1993-01-22,Enero,Jerez,22,19.5,1993
1956-01-22,Enero,Jerez,22,19.2,1956
2005-01-22,Enero,Jerez,22,19.2,2005
2012-01-22,Enero,Jerez,22,18.7,2012
2018-01-22,Enero,Jerez,22,18.6,2018
1974-01-22,Enero,Jerez,22,18.4,1974
1955-01-22,Enero,Jerez,22,18.2,1955
2016-01-23,Enero,Jerez,23,22.4,2016
1981-01-23,Enero,Jerez,23,20.6,1981
2008-01-23,Enero,Jerez,23,20.1,2008
2012-01-23,Enero,Jerez,23,19.5,2012
1983-01-23,Enero,Jerez,23,19.4,1983
1959-01-23,Enero,Jerez,23,19,1959
1980-01-23,Enero,Jerez,23,19,1980
1993-01-23,Enero,Jerez,23,18.5,1993
1965-01-23,Enero,Jerez,23,18.4,1965
1968-01-23,Enero,Jerez,23,18.4,1968
