date,month,city,day,temp,year
2015-01-01,Enero,Santiago,1,17.2,2015
1975-01-01,Enero,Santiago,1,15.8,1975
2019-01-01,Enero,Santiago,1,15.5,2019
2002-01-01,Enero,Santiago,1,15.4,2002
1989-01-01,Enero,Santiago,1,15,1989
2003-01-01,Enero,Santiago,1,14.4,2003
1996-01-01,Enero,Santiago,1,14,1996
2007-01-01,Enero,Santiago,1,13.8,2007
1978-01-01,Enero,Santiago,1,13.4,1978
1987-01-01,Enero,Santiago,1,13.4,1987
2015-01-02,Enero,Santiago,2,15.9,2015
2018-01-02,Enero,Santiago,2,14.3,2018
2003-01-02,Enero,Santiago,2,14.2,2003
1958-01-02,Enero,Santiago,2,14,1958
1996-01-02,Enero,Santiago,2,13.6,1996
1975-01-02,Enero,Santiago,2,13.4,1975
2014-01-02,Enero,Santiago,2,13.4,2014
2011-01-02,Enero,Santiago,2,13.3,2011
1976-01-02,Enero,Santiago,2,13.2,1976
1978-01-02,Enero,Santiago,2,13.2,1978
2013-01-03,Enero,Santiago,3,16.7,2013
1964-01-03,Enero,Santiago,3,15.5,1964
1978-01-03,Enero,Santiago,3,15.4,1978
2019-01-03,Enero,Santiago,3,14.6,2019
1996-01-03,Enero,Santiago,3,14.4,1996
1950-01-03,Enero,Santiago,3,14,1950
1976-01-03,Enero,Santiago,3,14,1976
1989-01-03,Enero,Santiago,3,14,1989
1998-01-03,Enero,Santiago,3,14,1998
2015-01-03,Enero,Santiago,3,13.8,2015
1976-01-04,Enero,Santiago,4,16.6,1976
2015-01-04,Enero,Santiago,4,16,2015
2013-01-04,Enero,Santiago,4,15.7,2013
1960-01-04,Enero,Santiago,4,15.2,1960
2017-01-04,Enero,Santiago,4,15.2,2017
2019-01-04,Enero,Santiago,4,14.9,2019
1996-01-04,Enero,Santiago,4,14.6,1996
1970-01-04,Enero,Santiago,4,13.5,1970
2006-01-04,Enero,Santiago,4,13.5,2006
2002-01-04,Enero,Santiago,4,13.4,2002
1999-01-05,Enero,Santiago,5,19,1999
1960-01-05,Enero,Santiago,5,18.2,1960
1976-01-05,Enero,Santiago,5,17.2,1976
2017-01-05,Enero,Santiago,5,16.5,2017
1964-01-05,Enero,Santiago,5,14.5,1964
2001-01-05,Enero,Santiago,5,14.4,2001
2004-01-05,Enero,Santiago,5,14.2,2004
1957-01-05,Enero,Santiago,5,14,1957
1987-01-05,Enero,Santiago,5,14,1987
2019-01-05,Enero,Santiago,5,13.9,2019
1976-01-06,Enero,Santiago,6,18.6,1976
1999-01-06,Enero,Santiago,6,18.6,1999
1960-01-06,Enero,Santiago,6,18.5,1960
2005-01-06,Enero,Santiago,6,16,2005
1981-01-06,Enero,Santiago,6,15.6,1981
2017-01-06,Enero,Santiago,6,15.4,2017
1978-01-06,Enero,Santiago,6,15,1978
2013-01-06,Enero,Santiago,6,14.6,2013
2019-01-06,Enero,Santiago,6,14.6,2019
1993-01-06,Enero,Santiago,6,14.4,1993
1982-01-07,Enero,Santiago,7,17,1982
1976-01-07,Enero,Santiago,7,16.4,1976
1960-01-07,Enero,Santiago,7,16,1960
1965-01-07,Enero,Santiago,7,15.5,1965
2015-01-07,Enero,Santiago,7,15,2015
2017-01-07,Enero,Santiago,7,14.5,2017
1978-01-07,Enero,Santiago,7,14.2,1978
2000-01-07,Enero,Santiago,7,14.2,2000
1981-01-07,Enero,Santiago,7,13.6,1981
1989-01-07,Enero,Santiago,7,13.6,1989
1982-01-08,Enero,Santiago,8,16.2,1982
1976-01-08,Enero,Santiago,8,15,1976
1989-01-08,Enero,Santiago,8,15,1989
1978-01-08,Enero,Santiago,8,14.4,1978
1996-01-08,Enero,Santiago,8,14.2,1996
1998-01-08,Enero,Santiago,8,14.2,1998
2015-01-08,Enero,Santiago,8,14.1,2015
1993-01-08,Enero,Santiago,8,14,1993
1960-01-08,Enero,Santiago,8,13.6,1960
1981-01-08,Enero,Santiago,8,13.6,1981
1971-01-09,Enero,Santiago,9,16.2,1971
1998-01-09,Enero,Santiago,9,16,1998
2015-01-09,Enero,Santiago,9,15.8,2015
1981-01-09,Enero,Santiago,9,14.8,1981
1957-01-09,Enero,Santiago,9,14,1957
1991-01-09,Enero,Santiago,9,14,1991
2012-01-09,Enero,Santiago,9,13.9,2012
1989-01-09,Enero,Santiago,9,13.8,1989
2004-01-09,Enero,Santiago,9,13.5,2004
2008-01-09,Enero,Santiago,9,13.3,2008
1971-01-10,Enero,Santiago,10,18.5,1971
1998-01-10,Enero,Santiago,10,17,1998
1975-01-10,Enero,Santiago,10,14,1975
2012-01-10,Enero,Santiago,10,14,2012
1950-01-10,Enero,Santiago,10,13.6,1950
1991-01-10,Enero,Santiago,10,13.5,1991
2004-01-10,Enero,Santiago,10,13.5,2004
1955-01-10,Enero,Santiago,10,13,1955
1974-01-10,Enero,Santiago,10,13,1974
1982-01-10,Enero,Santiago,10,13,1982
1964-01-11,Enero,Santiago,11,16,1964
2015-01-11,Enero,Santiago,11,15.2,2015
2014-01-11,Enero,Santiago,11,15,2014
1950-01-11,Enero,Santiago,11,14.8,1950
1997-01-11,Enero,Santiago,11,14.8,1997
2002-01-11,Enero,Santiago,11,14.7,2002
1989-01-11,Enero,Santiago,11,14.6,1989
1998-01-11,Enero,Santiago,11,14.6,1998
2004-01-11,Enero,Santiago,11,14.5,2004
2007-01-11,Enero,Santiago,11,14.1,2007
1997-01-12,Enero,Santiago,12,18.8,1997
2007-01-12,Enero,Santiago,12,17,2007
1976-01-12,Enero,Santiago,12,16.2,1976
1950-01-12,Enero,Santiago,12,15.4,1950
2001-01-12,Enero,Santiago,12,14.4,2001
1955-01-12,Enero,Santiago,12,14,1955
1966-01-12,Enero,Santiago,12,13.8,1966
1989-01-12,Enero,Santiago,12,13.6,1989
1964-01-12,Enero,Santiago,12,13.5,1964
1993-01-12,Enero,Santiago,12,13.2,1993
1997-01-13,Enero,Santiago,13,17.9,1997
1976-01-13,Enero,Santiago,13,17.4,1976
1950-01-13,Enero,Santiago,13,15.4,1950
1989-01-13,Enero,Santiago,13,14.6,1989
1975-01-13,Enero,Santiago,13,14.2,1975
2002-01-13,Enero,Santiago,13,14,2002
1993-01-13,Enero,Santiago,13,13.8,1993
2004-01-13,Enero,Santiago,13,13.5,2004
2001-01-13,Enero,Santiago,13,13.2,2001
1955-01-13,Enero,Santiago,13,13,1955
1950-01-14,Enero,Santiago,14,18,1950
1982-01-14,Enero,Santiago,14,15.4,1982
1997-01-14,Enero,Santiago,14,15.4,1997
1979-01-14,Enero,Santiago,14,14.8,1979
2005-01-14,Enero,Santiago,14,14.7,2005
1967-01-14,Enero,Santiago,14,14.6,1967
1975-01-14,Enero,Santiago,14,14.2,1975
1964-01-14,Enero,Santiago,14,14,1964
1976-01-14,Enero,Santiago,14,14,1976
1955-01-14,Enero,Santiago,14,13.6,1955
1950-01-15,Enero,Santiago,15,17.8,1950
1989-01-15,Enero,Santiago,15,15.6,1989
1964-01-15,Enero,Santiago,15,15,1964
1979-01-15,Enero,Santiago,15,15,1979
1976-01-15,Enero,Santiago,15,14.2,1976
1992-01-15,Enero,Santiago,15,14.2,1992
1968-01-15,Enero,Santiago,15,14,1968
1997-01-15,Enero,Santiago,15,13.8,1997
2019-01-15,Enero,Santiago,15,13.7,2019
1955-01-15,Enero,Santiago,15,13.6,1955
1964-01-16,Enero,Santiago,16,16,1964
1996-01-16,Enero,Santiago,16,16,1996
1983-01-16,Enero,Santiago,16,15.8,1983
2005-01-16,Enero,Santiago,16,15.5,2005
1976-01-16,Enero,Santiago,16,15,1976
1979-01-16,Enero,Santiago,16,15,1979
1993-01-16,Enero,Santiago,16,14.2,1993
1989-01-16,Enero,Santiago,16,14,1989
2016-01-16,Enero,Santiago,16,13.7,2016
2013-01-16,Enero,Santiago,16,13.5,2013
1983-01-17,Enero,Santiago,17,17.8,1983
1996-01-17,Enero,Santiago,17,16.4,1996
1964-01-17,Enero,Santiago,17,16,1964
1989-01-17,Enero,Santiago,17,14.2,1989
1993-01-17,Enero,Santiago,17,14.2,1993
2005-01-17,Enero,Santiago,17,14,2005
2011-01-17,Enero,Santiago,17,14,2011
2017-01-17,Enero,Santiago,17,13.9,2017
1976-01-17,Enero,Santiago,17,13.8,1976
1956-01-17,Enero,Santiago,17,13.6,1956
1970-01-18,Enero,Santiago,18,14.6,1970
1996-01-18,Enero,Santiago,18,14.4,1996
2010-01-18,Enero,Santiago,18,14.2,2010
1968-01-18,Enero,Santiago,18,14,1968
1974-01-18,Enero,Santiago,18,14,1974
1956-01-18,Enero,Santiago,18,13.6,1956
1959-01-18,Enero,Santiago,18,13.6,1959
1955-01-18,Enero,Santiago,18,13.5,1955
2007-01-18,Enero,Santiago,18,13.3,2007
1969-01-18,Enero,Santiago,18,13,1969
1974-01-19,Enero,Santiago,19,17,1974
1968-01-19,Enero,Santiago,19,16.4,1968
2008-01-19,Enero,Santiago,19,15.6,2008
1964-01-19,Enero,Santiago,19,15,1964
1993-01-19,Enero,Santiago,19,14.2,1993
1969-01-19,Enero,Santiago,19,14,1969
1977-01-19,Enero,Santiago,19,13.8,1977
2006-01-19,Enero,Santiago,19,13.6,2006
1970-01-19,Enero,Santiago,19,13.5,1970
1989-01-19,Enero,Santiago,19,13.4,1989
1969-01-20,Enero,Santiago,20,18.7,1969
1968-01-20,Enero,Santiago,20,18,1968
2008-01-20,Enero,Santiago,20,18,2008
1964-01-20,Enero,Santiago,20,16.5,1964
1953-01-20,Enero,Santiago,20,15,1953
1955-01-20,Enero,Santiago,20,14,1955
1991-01-20,Enero,Santiago,20,14,1991
1998-01-20,Enero,Santiago,20,14,1998
2005-01-20,Enero,Santiago,20,14,2005
2004-01-20,Enero,Santiago,20,13.8,2004
1969-01-21,Enero,Santiago,21,20,1969
1998-01-21,Enero,Santiago,21,16.1,1998
2008-01-21,Enero,Santiago,21,15.8,2008
1993-01-21,Enero,Santiago,21,14.6,1993
1964-01-21,Enero,Santiago,21,14.1,1964
1955-01-21,Enero,Santiago,21,14,1955
1983-01-21,Enero,Santiago,21,13.8,1983
1968-01-21,Enero,Santiago,21,13.6,1968
2016-01-21,Enero,Santiago,21,13.5,2016
2005-01-21,Enero,Santiago,21,13.4,2005
1964-01-22,Enero,Santiago,22,15.5,1964
1969-01-22,Enero,Santiago,22,15,1969
2016-01-22,Enero,Santiago,22,15,2016
1983-01-22,Enero,Santiago,22,14.2,1983
1998-01-22,Enero,Santiago,22,14.2,1998
2005-01-22,Enero,Santiago,22,14,2005
1968-01-22,Enero,Santiago,22,13.6,1968
1993-01-22,Enero,Santiago,22,13.6,1993
1989-01-22,Enero,Santiago,22,13.4,1989
1953-01-22,Enero,Santiago,22,13.2,1953
2008-01-23,Enero,Santiago,23,18.4,2008
1981-01-23,Enero,Santiago,23,17,1981
2016-01-23,Enero,Santiago,23,16.4,2016
1968-01-23,Enero,Santiago,23,15,1968
1969-01-23,Enero,Santiago,23,15,1969
1989-01-23,Enero,Santiago,23,14.2,1989
1983-01-23,Enero,Santiago,23,14,1983
1993-01-23,Enero,Santiago,23,14,1993
1995-01-23,Enero,Santiago,23,13.6,1995
1964-01-23,Enero,Santiago,23,13.5,1964
2016-01-24,Enero,Santiago,24,20.3,2016
1959-01-24,Enero,Santiago,24,16.5,1959
1987-01-24,Enero,Santiago,24,16.4,1987
1973-01-24,Enero,Santiago,24,16,1973
1981-01-24,Enero,Santiago,24,15.2,1981
1963-01-24,Enero,Santiago,24,15,1963
1983-01-24,Enero,Santiago,24,15,1983
1969-01-24,Enero,Santiago,24,14.5,1969
2003-01-24,Enero,Santiago,24,14.4,2003
2012-01-24,Enero,Santiago,24,14.3,2012
1959-01-25,Enero,Santiago,25,19,1959
1983-01-25,Enero,Santiago,25,17.6,1983
1981-01-25,Enero,Santiago,25,16.8,1981
1997-01-25,Enero,Santiago,25,16.5,1997
1987-01-25,Enero,Santiago,25,16,1987
1969-01-25,Enero,Santiago,25,15.4,1969
2016-01-25,Enero,Santiago,25,15.2,2016
2008-01-25,Enero,Santiago,25,14.9,2008
1973-01-25,Enero,Santiago,25,14.6,1973
1965-01-25,Enero,Santiago,25,14,1965
1983-01-26,Enero,Santiago,26,18.6,1983
1958-01-26,Enero,Santiago,26,17.2,1958
1980-01-26,Enero,Santiago,26,17.2,1980
1997-01-26,Enero,Santiago,26,16.4,1997
2008-01-26,Enero,Santiago,26,16.2,2008
1981-01-26,Enero,Santiago,26,15.6,1981
1959-01-26,Enero,Santiago,26,15,1959
1962-01-26,Enero,Santiago,26,15,1962
2003-01-26,Enero,Santiago,26,15,2003
1963-01-26,Enero,Santiago,26,14.2,1963
1980-01-27,Enero,Santiago,27,18.6,1980
2003-01-27,Enero,Santiago,27,18.4,2003
1981-01-27,Enero,Santiago,27,17,1981
1962-01-27,Enero,Santiago,27,16.5,1962
2002-01-27,Enero,Santiago,27,15.5,2002
2008-01-27,Enero,Santiago,27,15.4,2008
1958-01-27,Enero,Santiago,27,14.8,1958
1983-01-27,Enero,Santiago,27,14.8,1983
1967-01-27,Enero,Santiago,27,14.5,1967
1989-01-27,Enero,Santiago,27,14.4,1989
1959-01-28,Enero,Santiago,28,18,1959
1981-01-28,Enero,Santiago,28,17.6,1981
1980-01-28,Enero,Santiago,28,17,1980
2002-01-28,Enero,Santiago,28,17,2002
1966-01-28,Enero,Santiago,28,16.4,1966
1953-01-28,Enero,Santiago,28,15,1953
2008-01-28,Enero,Santiago,28,14.8,2008
2018-01-28,Enero,Santiago,28,14.8,2018
1989-01-28,Enero,Santiago,28,14.6,1989
1994-01-28,Enero,Santiago,28,14.6,1994
1981-01-29,Enero,Santiago,29,18.6,1981
1994-01-29,Enero,Santiago,29,18.4,1994
2018-01-29,Enero,Santiago,29,16.6,2018
2008-01-29,Enero,Santiago,29,16.2,2008
1953-01-29,Enero,Santiago,29,15.8,1953
1973-01-29,Enero,Santiago,29,15.5,1973
2002-01-29,Enero,Santiago,29,15.4,2002
1959-01-29,Enero,Santiago,29,15.2,1959
1987-01-29,Enero,Santiago,29,14.6,1987
1992-01-29,Enero,Santiago,29,14.6,1992
1981-01-30,Enero,Santiago,30,17.8,1981
1994-01-30,Enero,Santiago,30,17.2,1994
2000-01-30,Enero,Santiago,30,17.2,2000
2018-01-30,Enero,Santiago,30,16.5,2018
1985-01-30,Enero,Santiago,30,15.6,1985
1995-01-30,Enero,Santiago,30,15.5,1995
1989-01-30,Enero,Santiago,30,15.4,1989
1996-01-30,Enero,Santiago,30,15.2,1996
1982-01-30,Enero,Santiago,30,14.6,1982
1987-01-30,Enero,Santiago,30,14.6,1987
2000-01-31,Enero,Santiago,31,17,2000
1981-01-31,Enero,Santiago,31,16.4,1981
1994-01-31,Enero,Santiago,31,16.4,1994
1992-01-31,Enero,Santiago,31,16.2,1992
1982-01-31,Enero,Santiago,31,15.6,1982
1989-01-31,Enero,Santiago,31,15.4,1989
1985-01-31,Enero,Santiago,31,15.2,1985
2004-01-31,Enero,Santiago,31,15,2004
1965-01-31,Enero,Santiago,31,14.5,1965
1998-01-31,Enero,Santiago,31,14.5,1998
