date,month,city,day,temp,year
1980-01-01,Enero,Valencia,1,22.4,1980
1996-01-01,Enero,Valencia,1,21.8,1996
1960-01-01,Enero,Valencia,1,21.4,1960
1987-01-01,Enero,Valencia,1,21.4,1987
2012-01-01,Enero,Valencia,1,21,2012
2001-01-01,Enero,Valencia,1,20.1,2001
1979-01-01,Enero,Valencia,1,20,1979
1995-01-01,Enero,Valencia,1,20,1995
2014-01-01,Enero,Valencia,1,20,2014
1966-01-01,Enero,Valencia,1,19.8,1966
1960-01-02,Enero,Valencia,2,21.6,1960
1987-01-02,Enero,Valencia,2,21.6,1987
1996-01-02,Enero,Valencia,2,21.4,1996
2018-01-02,Enero,Valencia,2,20.5,2018
1980-01-02,Enero,Valencia,2,20.4,1980
2003-01-02,Enero,Valencia,2,20.4,2003
2012-01-02,Enero,Valencia,2,20.4,2012
2007-01-02,Enero,Valencia,2,20.2,2007
1988-01-02,Enero,Valencia,2,19.4,1988
2009-01-02,Enero,Valencia,2,19.4,2009
2015-01-03,Enero,Valencia,3,23.7,2015
1960-01-03,Enero,Valencia,3,23,1960
2018-01-03,Enero,Valencia,3,22.9,2018
1998-01-03,Enero,Valencia,3,22.5,1998
1966-01-03,Enero,Valencia,3,22,1966
2003-01-03,Enero,Valencia,3,22,2003
2016-01-03,Enero,Valencia,3,20.4,2016
2014-01-03,Enero,Valencia,3,20,2014
2012-01-03,Enero,Valencia,3,19.7,2012
1976-01-03,Enero,Valencia,3,19.2,1976
2016-01-04,Enero,Valencia,4,23.5,2016
2014-01-04,Enero,Valencia,4,22.9,2014
1982-01-04,Enero,Valencia,4,22.6,1982
2012-01-04,Enero,Valencia,4,22.4,2012
1998-01-04,Enero,Valencia,4,22.3,1998
2018-01-04,Enero,Valencia,4,22,2018
1981-01-04,Enero,Valencia,4,21.6,1981
2007-01-04,Enero,Valencia,4,21.4,2007
2001-01-04,Enero,Valencia,4,21,2001
2015-01-04,Enero,Valencia,4,21,2015
2012-01-05,Enero,Valencia,5,25.6,2012
2001-01-05,Enero,Valencia,5,22.5,2001
2013-01-05,Enero,Valencia,5,22.5,2013
1968-01-05,Enero,Valencia,5,22,1968
1998-01-05,Enero,Valencia,5,21.6,1998
1982-01-05,Enero,Valencia,5,21.2,1982
2018-01-05,Enero,Valencia,5,20,2018
1996-01-05,Enero,Valencia,5,19.6,1996
1967-01-05,Enero,Valencia,5,19.5,1967
2007-01-05,Enero,Valencia,5,19.5,2007
2008-01-06,Enero,Valencia,6,23.4,2008
2011-01-06,Enero,Valencia,6,23,2011
2012-01-06,Enero,Valencia,6,23,2012
2013-01-06,Enero,Valencia,6,22.5,2013
1982-01-06,Enero,Valencia,6,22.4,1982
1987-01-06,Enero,Valencia,6,22,1987
2014-01-06,Enero,Valencia,6,21.6,2014
2019-01-06,Enero,Valencia,6,20.9,2019
1958-01-06,Enero,Valencia,6,20.5,1958
1957-01-06,Enero,Valencia,6,19.5,1957
1982-01-07,Enero,Valencia,7,24.6,1982
2013-01-07,Enero,Valencia,7,22.3,2013
2011-01-07,Enero,Valencia,7,21.8,2011
1999-01-07,Enero,Valencia,7,21.6,1999
2008-01-07,Enero,Valencia,7,21.6,2008
2014-01-07,Enero,Valencia,7,21.5,2014
2016-01-07,Enero,Valencia,7,20.6,2016
1996-01-07,Enero,Valencia,7,19.8,1996
1968-01-07,Enero,Valencia,7,19.6,1968
1974-01-07,Enero,Valencia,7,19.5,1974
1982-01-08,Enero,Valencia,8,24.6,1982
1999-01-08,Enero,Valencia,8,22.2,1999
2016-01-08,Enero,Valencia,8,22.1,2016
2011-01-08,Enero,Valencia,8,21.8,2011
1968-01-08,Enero,Valencia,8,20.2,1968
1991-01-08,Enero,Valencia,8,20.2,1991
1961-01-08,Enero,Valencia,8,20,1961
1974-01-08,Enero,Valencia,8,20,1974
2004-01-08,Enero,Valencia,8,19.4,2004
2007-01-08,Enero,Valencia,8,19.4,2007
2004-01-09,Enero,Valencia,9,22.8,2004
2016-01-09,Enero,Valencia,9,22.6,2016
1982-01-09,Enero,Valencia,9,21.2,1982
1991-01-09,Enero,Valencia,9,20.4,1991
2019-01-09,Enero,Valencia,9,20.4,2019
1974-01-09,Enero,Valencia,9,20,1974
1963-01-09,Enero,Valencia,9,19.6,1963
2011-01-09,Enero,Valencia,9,19.5,2011
1988-01-09,Enero,Valencia,9,19.2,1988
2015-01-09,Enero,Valencia,9,19.1,2015
2004-01-10,Enero,Valencia,10,25.4,2004
2015-01-10,Enero,Valencia,10,24.4,2015
2013-01-10,Enero,Valencia,10,22.8,2013
1991-01-10,Enero,Valencia,10,22.5,1991
1974-01-10,Enero,Valencia,10,21.8,1974
2001-01-10,Enero,Valencia,10,21.8,2001
2016-01-10,Enero,Valencia,10,20.4,2016
1995-01-10,Enero,Valencia,10,20,1995
1963-01-10,Enero,Valencia,10,19.4,1963
1982-01-10,Enero,Valencia,10,19,1982
2015-01-11,Enero,Valencia,11,24.3,2015
1986-01-11,Enero,Valencia,11,23.6,1986
1974-01-11,Enero,Valencia,11,23,1974
2011-01-11,Enero,Valencia,11,23,2011
1955-01-11,Enero,Valencia,11,22.2,1955
2004-01-11,Enero,Valencia,11,21.8,2004
1995-01-11,Enero,Valencia,11,21.6,1995
1991-01-11,Enero,Valencia,11,20.6,1991
2008-01-11,Enero,Valencia,11,20,2008
1979-01-11,Enero,Valencia,11,19.8,1979
1994-01-12,Enero,Valencia,12,22.6,1994
1955-01-12,Enero,Valencia,12,22.5,1955
2004-01-12,Enero,Valencia,12,22,2004
2017-01-12,Enero,Valencia,12,22,2017
1979-01-12,Enero,Valencia,12,21.6,1979
2011-01-12,Enero,Valencia,12,21.4,2011
1993-01-12,Enero,Valencia,12,20.6,1993
1974-01-12,Enero,Valencia,12,19.4,1974
2007-01-12,Enero,Valencia,12,19.4,2007
1968-01-12,Enero,Valencia,12,19.2,1968
2004-01-13,Enero,Valencia,13,23.2,2004
1955-01-13,Enero,Valencia,13,22.5,1955
1979-01-13,Enero,Valencia,13,22,1979
2011-01-13,Enero,Valencia,13,22,2011
1974-01-13,Enero,Valencia,13,21.4,1974
1994-01-13,Enero,Valencia,13,21.4,1994
2015-01-13,Enero,Valencia,13,21.3,2015
1993-01-13,Enero,Valencia,13,20.5,1993
1968-01-13,Enero,Valencia,13,20,1968
1999-01-13,Enero,Valencia,13,19.4,1999
1974-01-14,Enero,Valencia,14,21.4,1974
2015-01-14,Enero,Valencia,14,21.4,2015
1955-01-14,Enero,Valencia,14,21,1955
1986-01-14,Enero,Valencia,14,21,1986
1962-01-14,Enero,Valencia,14,20.8,1962
2019-01-14,Enero,Valencia,14,20.6,2019
2004-01-14,Enero,Valencia,14,20.5,2004
1994-01-14,Enero,Valencia,14,20.3,1994
2016-01-14,Enero,Valencia,14,19.6,2016
