date,month,city,day,temp,year
1980-01-01,Enero,Valladolid,1,13.2,1980
2007-01-01,Enero,Valladolid,1,13,2007
2016-01-01,Enero,Valladolid,1,12.8,2016
2019-01-01,Enero,Valladolid,1,12.7,2019
1986-01-01,Enero,Valladolid,1,12.2,1986
1962-01-01,Enero,Valladolid,1,11.8,1962
2004-01-01,Enero,Valladolid,1,11.1,2004
1960-01-01,Enero,Valladolid,1,11,1960
1987-01-01,Enero,Valladolid,1,11,1987
2003-01-01,Enero,Valladolid,1,11,2003
1980-01-02,Enero,Valladolid,2,13.2,1980
1962-01-02,Enero,Valladolid,2,13,1962
1987-01-02,Enero,Valladolid,2,12,1987
2003-01-02,Enero,Valladolid,2,11.7,2003
1960-01-02,Enero,Valladolid,2,11.6,1960
1988-01-02,Enero,Valladolid,2,11.4,1988
2014-01-02,Enero,Valladolid,2,11.3,2014
1998-01-02,Enero,Valladolid,2,11.2,1998
1978-01-02,Enero,Valladolid,2,10.8,1978
2018-01-02,Enero,Valladolid,2,10.4,2018
1998-01-03,Enero,Valladolid,3,13.3,1998
2018-01-03,Enero,Valladolid,3,13.2,2018
1978-01-03,Enero,Valladolid,3,12.6,1978
1960-01-03,Enero,Valladolid,3,12.2,1960
2015-01-03,Enero,Valladolid,3,12.2,2015
1966-01-03,Enero,Valladolid,3,11.8,1966
1996-01-03,Enero,Valladolid,3,11.2,1996
1962-01-03,Enero,Valladolid,3,11,1962
1968-01-03,Enero,Valladolid,3,11,1968
2016-01-03,Enero,Valladolid,3,11,2016
1960-01-04,Enero,Valladolid,4,13.6,1960
1996-01-04,Enero,Valladolid,4,13.4,1996
1968-01-04,Enero,Valladolid,4,12,1968
2015-01-04,Enero,Valladolid,4,12,2015
1998-01-04,Enero,Valladolid,4,11.8,1998
1970-01-04,Enero,Valladolid,4,11.6,1970
2013-01-04,Enero,Valladolid,4,11.5,2013
2018-01-04,Enero,Valladolid,4,11.1,2018
1982-01-04,Enero,Valladolid,4,11,1982
1964-01-04,Enero,Valladolid,4,10.6,1964
1960-01-05,Enero,Valladolid,5,15.2,1960
1976-01-05,Enero,Valladolid,5,14.2,1976
2013-01-05,Enero,Valladolid,5,13.1,2013
2001-01-05,Enero,Valladolid,5,13,2001
1982-01-05,Enero,Valladolid,5,12.4,1982
1999-01-05,Enero,Valladolid,5,12.2,1999
2002-01-05,Enero,Valladolid,5,11.5,2002
1995-01-05,Enero,Valladolid,5,11.4,1995
1950-01-05,Enero,Valladolid,5,11,1950
1954-01-05,Enero,Valladolid,5,11,1954
1976-01-06,Enero,Valladolid,6,14.6,1976
2011-01-06,Enero,Valladolid,6,14.5,2011
1999-01-06,Enero,Valladolid,6,12.5,1999
1982-01-06,Enero,Valladolid,6,12.2,1982
1996-01-06,Enero,Valladolid,6,12,1996
1958-01-06,Enero,Valladolid,6,11.8,1958
1975-01-06,Enero,Valladolid,6,11.8,1975
2008-01-06,Enero,Valladolid,6,11.8,2008
2019-01-06,Enero,Valladolid,6,11.4,2019
1974-01-06,Enero,Valladolid,6,11.2,1974
1982-01-07,Enero,Valladolid,7,14,1982
1976-01-07,Enero,Valladolid,7,13,1976
1968-01-07,Enero,Valladolid,7,12,1968
2016-01-07,Enero,Valladolid,7,11.7,2016
2011-01-07,Enero,Valladolid,7,11.6,2011
1999-01-07,Enero,Valladolid,7,11.5,1999
1974-01-07,Enero,Valladolid,7,11.4,1974
1991-01-07,Enero,Valladolid,7,11.2,1991
1975-01-07,Enero,Valladolid,7,11,1975
2008-01-07,Enero,Valladolid,7,11,2008
2016-01-08,Enero,Valladolid,8,12.2,2016
2014-01-08,Enero,Valladolid,8,12.1,2014
1976-01-08,Enero,Valladolid,8,12,1976
1982-01-08,Enero,Valladolid,8,12,1982
1998-01-08,Enero,Valladolid,8,12,1998
2017-01-08,Enero,Valladolid,8,11.9,2017
