date,month,city,day,temp,year
2016-02-01,Febrero,Huesca,1,18.7,2016
1957-02-01,Febrero,Huesca,1,16.7,1957
1964-02-01,Febrero,Huesca,1,16.4,1964
1983-02-01,Febrero,Huesca,1,16,1983
2005-02-01,Febrero,Huesca,1,15.9,2005
1995-02-01,Febrero,Huesca,1,15.4,1995
2013-02-01,Febrero,Huesca,1,15.1,2013
2004-02-01,Febrero,Huesca,1,14.8,2004
1966-02-01,Febrero,Huesca,1,14.2,1966
1953-02-01,Febrero,Huesca,1,14.1,1953
1957-02-02,Febrero,Huesca,2,16.7,1957
2002-02-02,Febrero,Huesca,2,15.2,2002
2011-02-02,Febrero,Huesca,2,15.1,2011
1964-02-02,Febrero,Huesca,2,14,1964
1970-02-02,Febrero,Huesca,2,13.6,1970
1995-02-02,Febrero,Huesca,2,13.6,1995
2004-02-02,Febrero,Huesca,2,13.6,2004
1952-02-02,Febrero,Huesca,2,13.5,1952
1961-02-02,Febrero,Huesca,2,13,1961
1983-02-02,Febrero,Huesca,2,13,1983
1964-02-03,Febrero,Huesca,3,15.4,1964
1979-02-03,Febrero,Huesca,3,14.6,1979
2016-02-03,Febrero,Huesca,3,14.3,2016
1990-02-03,Febrero,Huesca,3,14.2,1990
2011-02-03,Febrero,Huesca,3,14.2,2011
1952-02-03,Febrero,Huesca,3,14,1952
1970-02-03,Febrero,Huesca,3,14,1970
1980-02-03,Febrero,Huesca,3,13.8,1980
2001-02-03,Febrero,Huesca,3,13.8,2001
1966-02-03,Febrero,Huesca,3,13.6,1966
1980-02-04,Febrero,Huesca,4,18,1980
1968-02-04,Febrero,Huesca,4,17,1968
2013-02-04,Febrero,Huesca,4,16.5,2013
1984-02-04,Febrero,Huesca,4,16.4,1984
1962-02-04,Febrero,Huesca,4,16,1962
1978-02-04,Febrero,Huesca,4,16,1978
1964-02-04,Febrero,Huesca,4,15.2,1964
2011-02-04,Febrero,Huesca,4,15,2011
1990-02-04,Febrero,Huesca,4,14.8,1990
1955-02-04,Febrero,Huesca,4,14.4,1955
1980-02-05,Febrero,Huesca,5,17.8,1980
2019-02-05,Febrero,Huesca,5,16.7,2019
1999-02-05,Febrero,Huesca,5,16.6,1999
