date,month,city,day,temp,year
1964-02-01,Febrero,Soria,1,17,1964
1985-02-01,Febrero,Soria,1,17,1985
2016-02-01,Febrero,Soria,1,17,2016
1966-02-01,Febrero,Soria,1,16.2,1966
1975-02-01,Febrero,Soria,1,16.2,1975
1981-02-01,Febrero,Soria,1,16,1981
1983-02-01,Febrero,Soria,1,14.2,1983
1965-02-01,Febrero,Soria,1,14.1,1965
2002-02-01,Febrero,Soria,1,13.4,2002
2004-02-01,Febrero,Soria,1,13,2004
1964-02-02,Febrero,Soria,2,20.2,1964
1985-02-02,Febrero,Soria,2,19.2,1985
1981-02-02,Febrero,Soria,2,15,1981
1975-02-02,Febrero,Soria,2,14.6,1975
1957-02-02,Febrero,Soria,2,14.4,1957
1966-02-02,Febrero,Soria,2,14.2,1966
2002-02-02,Febrero,Soria,2,14.2,2002
1965-02-02,Febrero,Soria,2,13.7,1965
2004-02-02,Febrero,Soria,2,13.6,2004
1961-02-02,Febrero,Soria,2,12.6,1961
1964-02-03,Febrero,Soria,3,19.6,1964
1985-02-03,Febrero,Soria,3,16.6,1985
2004-02-03,Febrero,Soria,3,15.8,2004
2000-02-03,Febrero,Soria,3,15.4,2000
1992-02-03,Febrero,Soria,3,15.2,1992
1975-02-03,Febrero,Soria,3,13.6,1975
1999-02-03,Febrero,Soria,3,13.6,1999
1995-02-03,Febrero,Soria,3,13,1995
2006-02-03,Febrero,Soria,3,13,2006
1981-02-03,Febrero,Soria,3,12.6,1981
2000-02-04,Febrero,Soria,4,18,2000
2004-02-04,Febrero,Soria,4,18,2004
1995-02-04,Febrero,Soria,4,17,1995
1985-02-04,Febrero,Soria,4,15.4,1985
1992-02-04,Febrero,Soria,4,15.2,1992
2011-02-04,Febrero,Soria,4,14.4,2011
1962-02-04,Febrero,Soria,4,14.1,1962
1980-02-04,Febrero,Soria,4,13.8,1980
1999-02-04,Febrero,Soria,4,13.8,1999
1958-02-04,Febrero,Soria,4,13.4,1958
1995-02-05,Febrero,Soria,5,19,1995
2004-02-05,Febrero,Soria,5,18.6,2004
2011-02-05,Febrero,Soria,5,18.4,2011
1962-02-05,Febrero,Soria,5,16.8,1962
1999-02-05,Febrero,Soria,5,16.8,1999
1992-02-05,Febrero,Soria,5,16.4,1992
1964-02-05,Febrero,Soria,5,16.3,1964
2019-02-05,Febrero,Soria,5,16,2019
1966-02-05,Febrero,Soria,5,15.2,1966
2000-02-05,Febrero,Soria,5,15.2,2000
1995-02-06,Febrero,Soria,6,19.2,1995
2011-02-06,Febrero,Soria,6,18.2,2011
1962-02-06,Febrero,Soria,6,17.2,1962
1992-02-06,Febrero,Soria,6,17,1992
2004-02-06,Febrero,Soria,6,17,2004
2019-02-06,Febrero,Soria,6,16.6,2019
1973-02-06,Febrero,Soria,6,15.6,1973
1985-02-06,Febrero,Soria,6,15.6,1985
2008-02-06,Febrero,Soria,6,15.2,2008
1982-02-06,Febrero,Soria,6,14.8,1982
1981-02-07,Febrero,Soria,7,19.4,1981
1992-02-07,Febrero,Soria,7,17.4,1992
2011-02-07,Febrero,Soria,7,17.3,2011
1971-02-07,Febrero,Soria,7,16.6,1971
2008-02-07,Febrero,Soria,7,15.6,2008
1973-02-07,Febrero,Soria,7,14.6,1973
2006-02-07,Febrero,Soria,7,14.2,2006
1969-02-07,Febrero,Soria,7,14,1969
1987-02-07,Febrero,Soria,7,14,1987
1985-02-07,Febrero,Soria,7,13.6,1985
2008-02-08,Febrero,Soria,8,18.2,2008
1981-02-08,Febrero,Soria,8,18,1981
1987-02-08,Febrero,Soria,8,17,1987
1955-02-08,Febrero,Soria,8,15.8,1955
2011-02-08,Febrero,Soria,8,15.7,2011
1990-02-08,Febrero,Soria,8,15,1990
1998-02-08,Febrero,Soria,8,15,1998
1961-02-08,Febrero,Soria,8,14.9,1961
2002-02-08,Febrero,Soria,8,14.8,2002
2006-02-08,Febrero,Soria,8,14.4,2006
1961-02-09,Febrero,Soria,9,16.4,1961
2008-02-09,Febrero,Soria,9,15.6,2008
2006-02-09,Febrero,Soria,9,15.2,2006
2011-02-09,Febrero,Soria,9,14.7,2011
1987-02-09,Febrero,Soria,9,14.4,1987
1990-02-09,Febrero,Soria,9,14.4,1990
1997-02-09,Febrero,Soria,9,14.4,1997
