date,month,city,day,temp,year
2002-02-01,Febrero,Tenerife,1,22.6,2002
2013-02-01,Febrero,Tenerife,1,21.7,2013
1983-02-01,Febrero,Tenerife,1,21.4,1983
2016-02-01,Febrero,Tenerife,1,21,2016
1979-02-01,Febrero,Tenerife,1,20.4,1979
2000-02-01,Febrero,Tenerife,1,20,2000
1997-02-01,Febrero,Tenerife,1,19.8,1997
1975-02-01,Febrero,Tenerife,1,19.6,1975
1998-02-01,Febrero,Tenerife,1,19.6,1998
2004-02-01,Febrero,Tenerife,1,19.2,2004
2002-02-02,Febrero,Tenerife,2,23.8,2002
1995-02-02,Febrero,Tenerife,2,23.4,1995
2013-02-02,Febrero,Tenerife,2,21.7,2013
1979-02-02,Febrero,Tenerife,2,21.6,1979
1997-02-02,Febrero,Tenerife,2,21,1997
2000-02-02,Febrero,Tenerife,2,21,2000
1975-02-02,Febrero,Tenerife,2,20,1975
1983-02-02,Febrero,Tenerife,2,19.8,1983
1960-02-02,Febrero,Tenerife,2,19.5,1960
2004-02-02,Febrero,Tenerife,2,19,2004
2000-02-03,Febrero,Tenerife,3,22,2000
2004-02-03,Febrero,Tenerife,3,22,2004
2002-02-03,Febrero,Tenerife,3,20.8,2002
1985-02-03,Febrero,Tenerife,3,20,1985
1995-02-03,Febrero,Tenerife,3,19.8,1995
1964-02-03,Febrero,Tenerife,3,19.6,1964
1979-02-03,Febrero,Tenerife,3,19.6,1979
1970-02-03,Febrero,Tenerife,3,19.2,1970
1997-02-03,Febrero,Tenerife,3,18.8,1997
1998-02-03,Febrero,Tenerife,3,18.6,1998
2004-02-04,Febrero,Tenerife,4,24,2004
2000-02-04,Febrero,Tenerife,4,23,2000
1970-02-04,Febrero,Tenerife,4,22.4,1970
1995-02-04,Febrero,Tenerife,4,21.8,1995
1979-02-04,Febrero,Tenerife,4,21.4,1979
1990-02-04,Febrero,Tenerife,4,20,1990
1969-02-04,Febrero,Tenerife,4,19.8,1969
1964-02-04,Febrero,Tenerife,4,19.6,1964
1977-02-04,Febrero,Tenerife,4,19.6,1977
1983-02-04,Febrero,Tenerife,4,19.6,1983
1966-02-05,Febrero,Tenerife,5,25.5,1966
1979-02-05,Febrero,Tenerife,5,25.4,1979
2004-02-05,Febrero,Tenerife,5,25,2004
1961-02-05,Febrero,Tenerife,5,24.5,1961
2000-02-05,Febrero,Tenerife,5,22.8,2000
2013-02-05,Febrero,Tenerife,5,20.3,2013
1980-02-05,Febrero,Tenerife,5,20,1980
1995-02-05,Febrero,Tenerife,5,20,1995
1964-02-05,Febrero,Tenerife,5,19.8,1964
1969-02-05,Febrero,Tenerife,5,19.8,1969
1966-02-06,Febrero,Tenerife,6,26.4,1966
1979-02-06,Febrero,Tenerife,6,24.6,1979
2010-02-06,Febrero,Tenerife,6,24,2010
2002-02-06,Febrero,Tenerife,6,23.8,2002
1998-02-06,Febrero,Tenerife,6,21.8,1998
1978-02-06,Febrero,Tenerife,6,21.6,1978
1980-02-06,Febrero,Tenerife,6,21.6,1980
1957-02-06,Febrero,Tenerife,6,21,1957
1977-02-06,Febrero,Tenerife,6,20.6,1977
2000-02-06,Febrero,Tenerife,6,20.4,2000
1966-02-07,Febrero,Tenerife,7,25.8,1966
1979-02-07,Febrero,Tenerife,7,25.4,1979
1980-02-07,Febrero,Tenerife,7,24.8,1980
2010-02-07,Febrero,Tenerife,7,24.3,2010
1978-02-07,Febrero,Tenerife,7,23.2,1978
1957-02-07,Febrero,Tenerife,7,21.6,1957
