date,month,city,day,temp,year
1982-07-01,Julio,Albacete,1,38,1982
2004-07-01,Julio,Albacete,1,38,2004
1968-07-01,Julio,Albacete,1,37.2,1968
1994-07-01,Julio,Albacete,1,37.2,1994
2000-07-01,Julio,Albacete,1,37.2,2000
1970-07-01,Julio,Albacete,1,37,1970
1996-07-01,Julio,Albacete,1,36.6,1996
2015-07-01,Julio,Albacete,1,36.6,2015
1973-07-01,Julio,Albacete,1,36.4,1973
2009-07-01,Julio,Albacete,1,36.2,2009
1999-07-02,Julio,Albacete,2,40.6,1999
1994-07-02,Julio,Albacete,2,39.4,1994
2009-07-02,Julio,Albacete,2,37,2009
1973-07-02,Julio,Albacete,2,36.8,1973
2000-07-02,Julio,Albacete,2,36.6,2000
1975-07-02,Julio,Albacete,2,36.4,1975
2011-07-02,Julio,Albacete,2,36.4,2011
1982-07-02,Julio,Albacete,2,36,1982
2006-07-02,Julio,Albacete,2,35.6,2006
2001-07-02,Julio,Albacete,2,35.5,2001
1994-07-03,Julio,Albacete,3,40.4,1994
1999-07-03,Julio,Albacete,3,39,1999
1973-07-03,Julio,Albacete,3,38,1973
1955-07-03,Julio,Albacete,3,37,1955
2005-07-03,Julio,Albacete,3,37,2005
2015-07-03,Julio,Albacete,3,36,2015
1975-07-03,Julio,Albacete,3,35.8,1975
2009-07-03,Julio,Albacete,3,35.7,2009
1965-07-03,Julio,Albacete,3,35.6,1965
1989-07-03,Julio,Albacete,3,35.6,1989
1973-07-04,Julio,Albacete,4,40.2,1973
1994-07-04,Julio,Albacete,4,40.2,1994
2015-07-04,Julio,Albacete,4,38.4,2015
1999-07-04,Julio,Albacete,4,36,1999
2005-07-04,Julio,Albacete,4,36,2005
1957-07-04,Julio,Albacete,4,35.8,1957
1962-07-04,Julio,Albacete,4,35.8,1962
1980-07-04,Julio,Albacete,4,35.6,1980
2006-07-04,Julio,Albacete,4,35,2006
1959-07-04,Julio,Albacete,4,34.8,1959
1994-07-05,Julio,Albacete,5,38.4,1994
2015-07-05,Julio,Albacete,5,38.4,2015
1955-07-05,Julio,Albacete,5,37.4,1955
1959-07-05,Julio,Albacete,5,36.6,1959
2016-07-05,Julio,Albacete,5,36.5,2016
1982-07-05,Julio,Albacete,5,36,1982
2019-07-05,Julio,Albacete,5,35.6,2019
