date,month,city,day,temp,year
1968-07-01,Julio,Donostia,1,37,1968
1982-07-01,Julio,Donostia,1,32.2,1982
2006-07-01,Julio,Donostia,1,30.7,2006
1976-07-01,Julio,Donostia,1,28.2,1976
2010-07-01,Julio,Donostia,1,28,2010
1991-07-01,Julio,Donostia,1,25.4,1991
1958-07-01,Julio,Donostia,1,24.7,1958
1961-07-01,Julio,Donostia,1,24.4,1961
2009-07-01,Julio,Donostia,1,24.4,2009
1984-07-01,Julio,Donostia,1,24,1984
1957-07-02,Julio,Donostia,2,32,1957
1999-07-02,Julio,Donostia,2,32,1999
1982-07-02,Julio,Donostia,2,31.6,1982
1974-07-02,Julio,Donostia,2,31,1974
1950-07-02,Julio,Donostia,2,28,1950
1976-07-02,Julio,Donostia,2,27.8,1976
1959-07-02,Julio,Donostia,2,26.3,1959
1998-07-02,Julio,Donostia,2,25.6,1998
1966-07-02,Julio,Donostia,2,25.3,1966
2000-07-02,Julio,Donostia,2,25,2000
2015-07-03,Julio,Donostia,3,35.4,2015
1957-07-03,Julio,Donostia,3,33.5,1957
1959-07-03,Julio,Donostia,3,31.9,1959
1950-07-03,Julio,Donostia,3,31,1950
1966-07-03,Julio,Donostia,3,30.4,1966
1976-07-03,Julio,Donostia,3,29.8,1976
2000-07-03,Julio,Donostia,3,27.4,2000
1951-07-03,Julio,Donostia,3,26,1951
1973-07-03,Julio,Donostia,3,24,1973
2002-07-03,Julio,Donostia,3,23.1,2002
1959-07-04,Julio,Donostia,4,34.2,1959
1972-07-04,Julio,Donostia,4,32.2,1972
2017-07-04,Julio,Donostia,4,31.6,2017
1957-07-04,Julio,Donostia,4,30.7,1957
1991-07-04,Julio,Donostia,4,29.2,1991
2008-07-04,Julio,Donostia,4,28.2,2008
2019-07-04,Julio,Donostia,4,28,2019
1976-07-04,Julio,Donostia,4,27.6,1976
1956-07-04,Julio,Donostia,4,26,1956
1987-07-04,Julio,Donostia,4,24.2,1987
2017-07-05,Julio,Donostia,5,29.2,2017
1982-07-05,Julio,Donostia,5,28.4,1982
1957-07-05,Julio,Donostia,5,27.5,1957
1970-07-05,Julio,Donostia,5,26.7,1970
1988-07-05,Julio,Donostia,5,24.6,1988
2019-07-05,Julio,Donostia,5,24.5,2019
1959-07-05,Julio,Donostia,5,23.3,1959
1976-07-05,Julio,Donostia,5,23,1976
1956-07-05,Julio,Donostia,5,22.7,1956
1960-07-05,Julio,Donostia,5,22.6,1960
1970-07-06,Julio,Donostia,6,34.6,1970
2000-07-06,Julio,Donostia,6,33.4,2000
1984-07-06,Julio,Donostia,6,26.6,1984
2015-07-06,Julio,Donostia,6,26.4,2015
1975-07-06,Julio,Donostia,6,26.2,1975
1989-07-06,Julio,Donostia,6,25.6,1989
1950-07-06,Julio,Donostia,6,24.5,1950
2004-07-06,Julio,Donostia,6,24.5,2004
1988-07-06,Julio,Donostia,6,24.2,1988
1957-07-06,Julio,Donostia,6,24,1957
1981-07-07,Julio,Donostia,7,30.6,1981
1957-07-07,Julio,Donostia,7,29.8,1957
2012-07-07,Julio,Donostia,7,28.5,2012
1982-07-07,Julio,Donostia,7,28.2,1982
1951-07-07,Julio,Donostia,7,27.7,1951
1971-07-07,Julio,Donostia,7,27.6,1971
2010-07-07,Julio,Donostia,7,24.7,2010
1985-07-07,Julio,Donostia,7,24.6,1985
1975-07-07,Julio,Donostia,7,24.4,1975
1979-07-07,Julio,Donostia,7,24.4,1979
1982-07-08,Julio,Donostia,8,37.6,1982
1971-07-08,Julio,Donostia,8,32.2,1971
1950-07-08,Julio,Donostia,8,31.7,1950
1959-07-08,Julio,Donostia,8,30.2,1959
1995-07-08,Julio,Donostia,8,29,1995
1985-07-08,Julio,Donostia,8,28.4,1985
1951-07-08,Julio,Donostia,8,27.6,1951
1991-07-08,Julio,Donostia,8,26.4,1991
1974-07-08,Julio,Donostia,8,25.7,1974
1983-07-08,Julio,Donostia,8,25.6,1983
1968-07-09,Julio,Donostia,9,32.9,1968
1959-07-09,Julio,Donostia,9,30.8,1959
1995-07-09,Julio,Donostia,9,30.2,1995
1983-07-09,Julio,Donostia,9,30,1983
1962-07-09,Julio,Donostia,9,29.4,1962
1971-07-09,Julio,Donostia,9,28,1971
2013-07-09,Julio,Donostia,9,25.7,2013
2008-07-09,Julio,Donostia,9,24.1,2008
1979-07-09,Julio,Donostia,9,23.8,1979
2018-07-09,Julio,Donostia,9,23.8,2018
1991-07-10,Julio,Donostia,10,35.4,1991
2015-07-10,Julio,Donostia,10,33.5,2015
1968-07-10,Julio,Donostia,10,28.7,1968
2006-07-10,Julio,Donostia,10,28.4,2006
1977-07-10,Julio,Donostia,10,26.6,1977
1976-07-10,Julio,Donostia,10,25.6,1976
2010-07-10,Julio,Donostia,10,24.8,2010
1982-07-10,Julio,Donostia,10,24.4,1982
1952-07-10,Julio,Donostia,10,24.2,1952
1994-07-10,Julio,Donostia,10,23.8,1994
1971-07-11,Julio,Donostia,11,30.6,1971
1974-07-11,Julio,Donostia,11,27.7,1974
1958-07-11,Julio,Donostia,11,27,1958
1961-07-11,Julio,Donostia,11,25.5,1961
2009-07-11,Julio,Donostia,11,25.4,2009
1952-07-11,Julio,Donostia,11,25,1952
2013-07-11,Julio,Donostia,11,24.7,2013
1967-07-11,Julio,Donostia,11,23.9,1967
1983-07-11,Julio,Donostia,11,23.6,1983
2003-07-11,Julio,Donostia,11,23.5,2003
1971-07-12,Julio,Donostia,12,30.2,1971
1990-07-12,Julio,Donostia,12,29,1990
1956-07-12,Julio,Donostia,12,27.5,1956
1985-07-12,Julio,Donostia,12,26.4,1985
2013-07-12,Julio,Donostia,12,26.2,2013
2003-07-12,Julio,Donostia,12,25.8,2003
1995-07-12,Julio,Donostia,12,25.6,1995
1974-07-12,Julio,Donostia,12,25.3,1974
1967-07-12,Julio,Donostia,12,25,1967
1970-07-12,Julio,Donostia,12,24.4,1970
1975-07-13,Julio,Donostia,13,37,1975
1985-07-13,Julio,Donostia,13,34,1985
2007-07-13,Julio,Donostia,13,31.7,2007
1970-07-13,Julio,Donostia,13,28,1970
2012-07-13,Julio,Donostia,13,27,2012
1987-07-13,Julio,Donostia,13,26.6,1987
1962-07-13,Julio,Donostia,13,26.2,1962
2005-07-13,Julio,Donostia,13,25.4,2005
1965-07-13,Julio,Donostia,13,24.9,1965
1990-07-13,Julio,Donostia,13,24.6,1990
2005-07-14,Julio,Donostia,14,32.8,2005
1969-07-14,Julio,Donostia,14,32.5,1969
2007-07-14,Julio,Donostia,14,28.7,2007
1976-07-14,Julio,Donostia,14,25.4,1976
1995-07-14,Julio,Donostia,14,25,1995
1961-07-14,Julio,Donostia,14,24.8,1961
1975-07-14,Julio,Donostia,14,24.8,1975
1964-07-14,Julio,Donostia,14,24.7,1964
1971-07-14,Julio,Donostia,14,24.6,1971
2006-07-14,Julio,Donostia,14,24.1,2006
2007-07-15,Julio,Donostia,15,33.6,2007
1976-07-15,Julio,Donostia,15,33.4,1976
1969-07-15,Julio,Donostia,15,32.9,1969
1992-07-15,Julio,Donostia,15,27.6,1992
2006-07-15,Julio,Donostia,15,27.6,2006
1995-07-15,Julio,Donostia,15,25.8,1995
1996-07-15,Julio,Donostia,15,25.8,1996
1971-07-15,Julio,Donostia,15,25.3,1971
1978-07-15,Julio,Donostia,15,24.6,1978
1950-07-15,Julio,Donostia,15,24.5,1950
1994-07-16,Julio,Donostia,16,30,1994
2006-07-16,Julio,Donostia,16,28,2006
2009-07-16,Julio,Donostia,16,27.8,2009
1971-07-16,Julio,Donostia,16,27.5,1971
1967-07-16,Julio,Donostia,16,26.5,1967
1986-07-16,Julio,Donostia,16,26.2,1986
1996-07-16,Julio,Donostia,16,25.6,1996
2007-07-16,Julio,Donostia,16,24.6,2007
2018-07-16,Julio,Donostia,16,24.6,2018
1978-07-16,Julio,Donostia,16,24.4,1978
2014-07-17,Julio,Donostia,17,33.4,2014
