date,month,city,day,temp,year
2015-07-01,Julio,Mallorca,1,38.2,2015
2019-07-01,Julio,Mallorca,1,37.7,2019
1995-07-01,Julio,Mallorca,1,34,1995
2001-07-01,Julio,Mallorca,1,33.4,2001
2004-07-01,Julio,Mallorca,1,33,2004
2003-07-01,Julio,Mallorca,1,32.7,2003
1994-07-01,Julio,Mallorca,1,32.4,1994
2009-07-01,Julio,Mallorca,1,32.4,2009
1985-07-01,Julio,Mallorca,1,32.2,1985
2014-07-01,Julio,Mallorca,1,32.1,2014
1994-07-02,Julio,Mallorca,2,37.8,1994
2015-07-02,Julio,Mallorca,2,37.8,2015
1985-07-02,Julio,Mallorca,2,36.4,1985
1982-07-02,Julio,Mallorca,2,35.6,1982
2000-07-02,Julio,Mallorca,2,35,2000
2016-07-02,Julio,Mallorca,2,34.3,2016
1999-07-02,Julio,Mallorca,2,34.2,1999
1986-07-02,Julio,Mallorca,2,32.6,1986
2001-07-02,Julio,Mallorca,2,32.6,2001
2019-07-02,Julio,Mallorca,2,32.5,2019
1994-07-03,Julio,Mallorca,3,38.6,1994
2015-07-03,Julio,Mallorca,3,37.6,2015
1982-07-03,Julio,Mallorca,3,36.6,1982
1998-07-03,Julio,Mallorca,3,33.6,1998
2014-07-03,Julio,Mallorca,3,33.1,2014
1986-07-03,Julio,Mallorca,3,33,1986
2019-07-03,Julio,Mallorca,3,32.9,2019
2008-07-03,Julio,Mallorca,3,32.8,2008
1987-07-03,Julio,Mallorca,3,32.6,1987
1999-07-03,Julio,Mallorca,3,32.5,1999
2015-07-04,Julio,Mallorca,4,39.5,2015
2019-07-04,Julio,Mallorca,4,36,2019
1993-07-04,Julio,Mallorca,4,35.4,1993
1987-07-04,Julio,Mallorca,4,33.8,1987
1991-07-04,Julio,Mallorca,4,33.5,1991
2005-07-04,Julio,Mallorca,4,33.5,2005
1982-07-04,Julio,Mallorca,4,33.4,1982
1994-07-04,Julio,Mallorca,4,33.4,1994
2006-07-04,Julio,Mallorca,4,32.5,2006
2016-07-04,Julio,Mallorca,4,32.5,2016
1982-07-05,Julio,Mallorca,5,37,1982
2015-07-05,Julio,Mallorca,5,36.9,2015
2004-07-05,Julio,Mallorca,5,36.6,2004
1994-07-05,Julio,Mallorca,5,35.2,1994
