date,month,city,day,temp,year
2013-06-01,Junio,Barcelona,1,30.1,2013
2012-06-01,Junio,Barcelona,1,26.8,2012
2003-06-01,Junio,Barcelona,1,26.1,2003
1999-06-01,Junio,Barcelona,1,25.8,1999
1956-06-01,Junio,Barcelona,1,25.6,1956
1994-06-01,Junio,Barcelona,1,25.5,1994
2005-06-01,Junio,Barcelona,1,25.3,2005
1952-06-01,Junio,Barcelona,1,25.2,1952
2004-06-01,Junio,Barcelona,1,25.2,2004
2017-06-01,Junio,Barcelona,1,25.2,2017
1994-06-02,Junio,Barcelona,2,32.2,1994
1999-06-02,Junio,Barcelona,2,29.2,1999
2012-06-02,Junio,Barcelona,2,27.7,2012
2009-06-02,Junio,Barcelona,2,26.2,2009
1976-06-02,Junio,Barcelona,2,26,1976
1960-06-02,Junio,Barcelona,2,25.6,1960
2003-06-02,Junio,Barcelona,2,25.6,2003
1964-06-02,Junio,Barcelona,2,25.4,1964
2017-06-02,Junio,Barcelona,2,25.4,2017
2005-06-02,Junio,Barcelona,2,25.3,2005
2017-06-03,Junio,Barcelona,3,28.9,2017
1988-06-03,Junio,Barcelona,3,27.5,1988
1979-06-03,Junio,Barcelona,3,27,1979
1999-06-03,Junio,Barcelona,3,26.5,1999
2012-06-03,Junio,Barcelona,3,26.2,2012
1981-06-03,Junio,Barcelona,3,26,1981
1997-06-03,Junio,Barcelona,3,26,1997
2003-06-03,Junio,Barcelona,3,25.9,2003
1958-06-03,Junio,Barcelona,3,25.8,1958
2002-06-03,Junio,Barcelona,3,25.6,2002
1998-06-04,Junio,Barcelona,4,29.5,1998
2015-06-04,Junio,Barcelona,4,27.4,2015
2003-06-04,Junio,Barcelona,4,26.7,2003
2007-06-04,Junio,Barcelona,4,26.6,2007
1974-06-04,Junio,Barcelona,4,26.4,1974
1950-06-04,Junio,Barcelona,4,26,1950
1979-06-04,Junio,Barcelona,4,26,1979
2005-06-04,Junio,Barcelona,4,26,2005
2017-06-04,Junio,Barcelona,4,25.8,2017
