date,month,city,day,temp,year
2012-06-01,Junio,Leon,1,31.8,2012
2019-06-01,Junio,Leon,1,31.5,2019
1970-06-01,Junio,Leon,1,30.6,1970
1976-06-01,Junio,Leon,1,30.4,1976
2009-06-01,Junio,Leon,1,28.2,2009
2000-06-01,Junio,Leon,1,27.6,2000
1987-06-01,Junio,Leon,1,27.4,1987
2001-06-01,Junio,Leon,1,27.2,2001
2017-06-01,Junio,Leon,1,26.8,2017
2005-06-01,Junio,Leon,1,26,2005
1970-06-02,Junio,Leon,2,31.2,1970
1990-06-02,Junio,Leon,2,29.8,1990
2001-06-02,Junio,Leon,2,29,2001
1976-06-02,Junio,Leon,2,28.5,1976
1974-06-02,Junio,Leon,2,28,1974
2002-06-02,Junio,Leon,2,28,2002
1987-06-02,Junio,Leon,2,27.8,1987
2005-06-02,Junio,Leon,2,27.8,2005
2019-06-02,Junio,Leon,2,27.5,2019
2015-06-02,Junio,Leon,2,27.2,2015
1970-06-03,Junio,Leon,3,30.6,1970
2015-06-03,Junio,Leon,3,29.6,2015
1990-06-03,Junio,Leon,3,29.2,1990
2001-06-03,Junio,Leon,3,29.2,2001
1950-06-03,Junio,Leon,3,28.6,1950
1980-06-03,Junio,Leon,3,28.4,1980
1974-06-03,Junio,Leon,3,28.2,1974
2010-06-03,Junio,Leon,3,27.8,2010
2004-06-03,Junio,Leon,3,27.6,2004
1960-06-03,Junio,Leon,3,27.1,1960
1980-06-04,Junio,Leon,4,30.6,1980
1950-06-04,Junio,Leon,4,30,1950
2015-06-04,Junio,Leon,4,30,2015
1974-06-04,Junio,Leon,4,28.5,1974
2004-06-04,Junio,Leon,4,28.2,2004
2010-06-04,Junio,Leon,4,28,2010
1983-06-04,Junio,Leon,4,27.2,1983
2001-06-04,Junio,Leon,4,26.8,2001
2006-06-04,Junio,Leon,4,26.4,2006
1952-06-04,Junio,Leon,4,26.2,1952
2004-06-05,Junio,Leon,5,29.4,2004
1980-06-05,Junio,Leon,5,28.4,1980
1996-06-05,Junio,Leon,5,28,1996
2005-06-05,Junio,Leon,5,28,2005
2006-06-05,Junio,Leon,5,28,2006
1974-06-05,Junio,Leon,5,27.8,1974
1952-06-05,Junio,Leon,5,27.7,1952
1950-06-05,Junio,Leon,5,27.6,1950
2010-06-05,Junio,Leon,5,27.6,2010
2015-06-05,Junio,Leon,5,26.8,2015
2004-06-06,Junio,Leon,6,30.2,2004
2006-06-06,Junio,Leon,6,29.8,2006
1996-06-06,Junio,Leon,6,28.8,1996
2015-06-06,Junio,Leon,6,28.4,2015
2005-06-06,Junio,Leon,6,26.6,2005
1968-06-06,Junio,Leon,6,26.5,1968
1950-06-06,Junio,Leon,6,26.4,1950
1987-06-06,Junio,Leon,6,26.2,1987
1994-06-06,Junio,Leon,6,26,1994
2003-06-06,Junio,Leon,6,26,2003
2006-06-07,Junio,Leon,7,31.4,2006
2015-06-07,Junio,Leon,7,29.8,2015
1994-06-07,Junio,Leon,7,29.6,1994
