date,month,city,day,temp,year
1994-06-01,Junio,Mallorca,1,36,1994
1999-06-01,Junio,Mallorca,1,34.2,1999
2002-06-01,Junio,Mallorca,1,32.4,2002
1985-06-01,Junio,Mallorca,1,29.8,1985
2001-06-01,Junio,Mallorca,1,29.8,2001
2000-06-01,Junio,Mallorca,1,29.5,2000
2003-06-01,Junio,Mallorca,1,29,2003
2010-06-01,Junio,Mallorca,1,28.8,2010
2012-06-01,Junio,Mallorca,1,28.4,2012
2018-06-01,Junio,Mallorca,1,28.1,2018
2002-06-02,Junio,Mallorca,2,32.9,2002
1976-06-02,Junio,Mallorca,2,30.4,1976
1993-06-02,Junio,Mallorca,2,30.4,1993
1994-06-02,Junio,Mallorca,2,30.2,1994
2017-06-02,Junio,Mallorca,2,29.9,2017
1984-06-02,Junio,Mallorca,2,29.6,1984
2000-06-02,Junio,Mallorca,2,29.4,2000
2005-06-02,Junio,Mallorca,2,29.3,2005
1990-06-02,Junio,Mallorca,2,29.2,1990
1979-06-02,Junio,Mallorca,2,29,1979
1998-06-03,Junio,Mallorca,3,33,1998
2000-06-03,Junio,Mallorca,3,32.6,2000
2002-06-03,Junio,Mallorca,3,32.5,2002
2005-06-03,Junio,Mallorca,3,31.5,2005
2017-06-03,Junio,Mallorca,3,30.7,2017
1988-06-03,Junio,Mallorca,3,30.6,1988
2015-06-03,Junio,Mallorca,3,29.5,2015
2016-06-03,Junio,Mallorca,3,29.3,2016
1983-06-03,Junio,Mallorca,3,28.2,1983
1994-06-03,Junio,Mallorca,3,28,1994
1998-06-04,Junio,Mallorca,4,33.5,1998
1983-06-04,Junio,Mallorca,4,33.2,1983
2000-06-04,Junio,Mallorca,4,33,2000
2015-06-04,Junio,Mallorca,4,32.6,2015
2019-06-04,Junio,Mallorca,4,31.4,2019
1987-06-04,Junio,Mallorca,4,31,1987
2003-06-04,Junio,Mallorca,4,30.8,2003
2001-06-04,Junio,Mallorca,4,28.6,2001
2005-06-04,Junio,Mallorca,4,28.6,2005
2007-06-04,Junio,Mallorca,4,28.5,2007
1983-06-05,Junio,Mallorca,5,35,1983
2003-06-05,Junio,Mallorca,5,31.9,2003
2015-06-05,Junio,Mallorca,5,31.9,2015
1994-06-05,Junio,Mallorca,5,31.2,1994
2000-06-05,Junio,Mallorca,5,31.2,2000
1996-06-05,Junio,Mallorca,5,30.2,1996
1993-06-05,Junio,Mallorca,5,29.6,1993
1979-06-05,Junio,Mallorca,5,29.2,1979
2001-06-05,Junio,Mallorca,5,29.2,2001
1978-06-05,Junio,Mallorca,5,29,1978
1987-06-06,Junio,Mallorca,6,31.6,1987
2015-06-06,Junio,Mallorca,6,31.2,2015
1983-06-06,Junio,Mallorca,6,30.6,1983
2003-06-06,Junio,Mallorca,6,30.3,2003
2014-06-06,Junio,Mallorca,6,30,2014
1991-06-06,Junio,Mallorca,6,29.4,1991
1996-06-06,Junio,Mallorca,6,28.8,1996
1997-06-06,Junio,Mallorca,6,28.8,1997
2006-06-06,Junio,Mallorca,6,28.8,2006
2019-06-06,Junio,Mallorca,6,28.8,2019
2014-06-07,Junio,Mallorca,7,36,2014
1983-06-07,Junio,Mallorca,7,34.2,1983
2015-06-07,Junio,Mallorca,7,32.4,2015
1987-06-07,Junio,Mallorca,7,32,1987
2012-06-07,Junio,Mallorca,7,31.9,2012
1985-06-07,Junio,Mallorca,7,31.6,1985
1981-06-07,Junio,Mallorca,7,30,1981
2004-06-07,Junio,Mallorca,7,30,2004
2005-06-07,Junio,Mallorca,7,29.4,2005
1994-06-07,Junio,Mallorca,7,29.2,1994
2014-06-08,Junio,Mallorca,8,35.4,2014
1981-06-08,Junio,Mallorca,8,33.4,1981
2001-06-08,Junio,Mallorca,8,32.5,2001
1983-06-08,Junio,Mallorca,8,31.6,1983
2006-06-08,Junio,Mallorca,8,31.5,2006
1990-06-08,Junio,Mallorca,8,31,1990
2003-06-08,Junio,Mallorca,8,30.5,2003
2004-06-08,Junio,Mallorca,8,30.4,2004
2005-06-08,Junio,Mallorca,8,30.3,2005
2015-06-08,Junio,Mallorca,8,30.1,2015
1981-06-09,Junio,Mallorca,9,34.4,1981
2014-06-09,Junio,Mallorca,9,33.8,2014
1983-06-09,Junio,Mallorca,9,33.4,1983
1997-06-09,Junio,Mallorca,9,32.4,1997
2018-06-09,Junio,Mallorca,9,32,2018
2016-06-09,Junio,Mallorca,9,31.6,2016
1978-06-09,Junio,Mallorca,9,31,1978
2004-06-09,Junio,Mallorca,9,31,2004
1979-06-09,Junio,Mallorca,9,30.4,1979
2015-06-09,Junio,Mallorca,9,30.3,2015
2015-06-10,Junio,Mallorca,10,33.1,2015
1997-06-10,Junio,Mallorca,10,32,1997
2014-06-10,Junio,Mallorca,10,31.9,2014
1983-06-10,Junio,Mallorca,10,31.4,1983
2003-06-10,Junio,Mallorca,10,30.5,2003
2016-06-10,Junio,Mallorca,10,30.1,2016
2007-06-10,Junio,Mallorca,10,29.7,2007
1996-06-10,Junio,Mallorca,10,29.6,1996
1979-06-10,Junio,Mallorca,10,29.4,1979
1982-06-10,Junio,Mallorca,10,29.4,1982
2014-06-11,Junio,Mallorca,11,34.4,2014
2003-06-11,Junio,Mallorca,11,34.2,2003
1983-06-11,Junio,Mallorca,11,33,1983
1981-06-11,Junio,Mallorca,11,32,1981
2017-06-11,Junio,Mallorca,11,31.8,2017
2015-06-11,Junio,Mallorca,11,31.1,2015
1982-06-11,Junio,Mallorca,11,31,1982
1976-06-11,Junio,Mallorca,11,30.2,1976
2005-06-11,Junio,Mallorca,11,30,2005
2009-06-11,Junio,Mallorca,11,30,2009
2003-06-12,Junio,Mallorca,12,35.4,2003
2014-06-12,Junio,Mallorca,12,32.8,2014
1981-06-12,Junio,Mallorca,12,32.4,1981
1983-06-12,Junio,Mallorca,12,31.8,1983
1997-06-12,Junio,Mallorca,12,31.6,1997
2006-06-12,Junio,Mallorca,12,30.8,2006
2009-06-12,Junio,Mallorca,12,30.8,2009
2005-06-12,Junio,Mallorca,12,30.5,2005
2017-06-12,Junio,Mallorca,12,30.3,2017
1982-06-12,Junio,Mallorca,12,30,1982
2003-06-13,Junio,Mallorca,13,36.3,2003
2017-06-13,Junio,Mallorca,13,35.4,2017
2014-06-13,Junio,Mallorca,13,34.4,2014
2009-06-13,Junio,Mallorca,13,33.2,2009
2016-06-13,Junio,Mallorca,13,33.1,2016
1996-06-13,Junio,Mallorca,13,32,1996
1981-06-13,Junio,Mallorca,13,31.4,1981
1999-06-13,Junio,Mallorca,13,31,1999
1985-06-13,Junio,Mallorca,13,30.6,1985
2002-06-13,Junio,Mallorca,13,30.6,2002
2009-06-14,Junio,Mallorca,14,37,2009
2017-06-14,Junio,Mallorca,14,34.1,2017
1997-06-14,Junio,Mallorca,14,32.8,1997
2002-06-14,Junio,Mallorca,14,32.7,2002
1985-06-14,Junio,Mallorca,14,32.6,1985
1981-06-14,Junio,Mallorca,14,32.4,1981
