date,month,city,day,temp,year
2019-06-01,Junio,Palencia,1,32.8,2019
2012-06-01,Junio,Palencia,1,31.1,2012
1976-06-01,Junio,Palencia,1,30,1976
1970-06-01,Junio,Palencia,1,29.6,1970
2017-06-01,Junio,Palencia,1,29.1,2017
1990-06-01,Junio,Palencia,1,28.2,1990
2002-06-01,Junio,Palencia,1,26.9,2002
2000-06-01,Junio,Palencia,1,26.3,2000
2015-06-01,Junio,Palencia,1,26.2,2015
2004-06-01,Junio,Palencia,1,26,2004
2019-06-02,Junio,Palencia,2,31,2019
1970-06-02,Junio,Palencia,2,30,1970
2002-06-02,Junio,Palencia,2,29.4,2002
2015-06-02,Junio,Palencia,2,29.2,2015
2005-06-02,Junio,Palencia,2,28,2005
2000-06-02,Junio,Palencia,2,27.7,2000
2017-06-02,Junio,Palencia,2,27.6,2017
1959-06-02,Junio,Palencia,2,27.4,1959
1976-06-02,Junio,Palencia,2,27,1976
1990-06-02,Junio,Palencia,2,26.8,1990
1970-06-03,Junio,Palencia,3,32,1970
2015-06-03,Junio,Palencia,3,30.7,2015
1980-06-03,Junio,Palencia,3,30,1980
2019-06-03,Junio,Palencia,3,29.6,2019
1990-06-03,Junio,Palencia,3,28.4,1990
2001-06-03,Junio,Palencia,3,28.4,2001
2000-06-03,Junio,Palencia,3,27.8,2000
2005-06-03,Junio,Palencia,3,27.6,2005
2002-06-03,Junio,Palencia,3,27.3,2002
1983-06-03,Junio,Palencia,3,27,1983
1980-06-04,Junio,Palencia,4,31,1980
2015-06-04,Junio,Palencia,4,31,2015
1983-06-04,Junio,Palencia,4,30.2,1983
2010-06-04,Junio,Palencia,4,28,2010
2001-06-04,Junio,Palencia,4,26.4,2001
2004-06-04,Junio,Palencia,4,26.4,2004
1990-06-04,Junio,Palencia,4,25.5,1990
1974-06-04,Junio,Palencia,4,25.4,1974
1995-06-04,Junio,Palencia,4,25.2,1995
2006-06-04,Junio,Palencia,4,25.2,2006
1980-06-05,Junio,Palencia,5,29.8,1980
2010-06-05,Junio,Palencia,5,29.6,2010
1974-06-05,Junio,Palencia,5,29,1974
2015-06-05,Junio,Palencia,5,28.5,2015
1975-06-05,Junio,Palencia,5,28,1975
1996-06-05,Junio,Palencia,5,28,1996
2004-06-05,Junio,Palencia,5,27.8,2004
2005-06-05,Junio,Palencia,5,27.3,2005
2006-06-05,Junio,Palencia,5,26.4,2006
1982-06-05,Junio,Palencia,5,26.2,1982
2004-06-06,Junio,Palencia,6,30.4,2004
1996-06-06,Junio,Palencia,6,29.7,1996
2006-06-06,Junio,Palencia,6,29.5,2006
2015-06-06,Junio,Palencia,6,28.5,2015
1981-06-06,Junio,Palencia,6,27.8,1981
1983-06-06,Junio,Palencia,6,27,1983
2003-06-06,Junio,Palencia,6,26.6,2003
