date,month,city,day,temp,year
1997-03-01,Marzo,Granada,1,24.2,1997
1997-03-01,Marzo,Granada,1,24.2,1997
1987-03-01,Marzo,Granada,1,23.2,1987
1987-03-01,Marzo,Granada,1,23.2,1987
1990-03-01,Marzo,Granada,1,23,1990
1990-03-01,Marzo,Granada,1,23,1990
1952-03-01,Marzo,Granada,1,22.5,1952
1967-03-01,Marzo,Granada,1,22.2,1967
1967-03-01,Marzo,Granada,1,22.2,1967
1957-03-01,Marzo,Granada,1,21.9,1957
1967-03-02,Marzo,Granada,2,25.8,1967
1987-03-02,Marzo,Granada,2,24.6,1987
1997-03-02,Marzo,Granada,2,24.2,1997
2015-03-02,Marzo,Granada,2,24,2015
1956-03-02,Marzo,Granada,2,23,1956
1983-03-02,Marzo,Granada,2,22.6,1983
1952-03-02,Marzo,Granada,2,21.6,1952
2008-03-02,Marzo,Granada,2,21.6,2008
2019-03-02,Marzo,Granada,2,21.2,2019
1957-03-02,Marzo,Granada,2,21,1957
2007-03-03,Marzo,Granada,3,26,2007
1987-03-03,Marzo,Granada,3,24.8,1987
1956-03-03,Marzo,Granada,3,23.8,1956
1960-03-03,Marzo,Granada,3,23.8,1960
2019-03-03,Marzo,Granada,3,23.2,2019
1977-03-03,Marzo,Granada,3,23,1977
1982-03-03,Marzo,Granada,3,22.8,1982
1997-03-03,Marzo,Granada,3,22.8,1997
2015-03-03,Marzo,Granada,3,22.8,2015
1998-03-03,Marzo,Granada,3,22.6,1998
1967-03-04,Marzo,Granada,4,25.4,1967
2007-03-04,Marzo,Granada,4,25,2007
1956-03-04,Marzo,Granada,4,24.6,1956
1977-03-04,Marzo,Granada,4,24.2,1977
1960-03-04,Marzo,Granada,4,23.8,1960
1987-03-04,Marzo,Granada,4,23.6,1987
2003-03-04,Marzo,Granada,4,23.4,2003
1998-03-04,Marzo,Granada,4,23,1998
1997-03-04,Marzo,Granada,4,22.4,1997
2015-03-04,Marzo,Granada,4,22.4,2015
1998-03-05,Marzo,Granada,5,24.4,1998
1960-03-05,Marzo,Granada,5,24.2,1960
