date,month,city,day,temp,year
1987-03-01,Marzo,Huesca,1,21.6,1987
1987-03-01,Marzo,Huesca,1,21.6,1987
1952-03-01,Marzo,Huesca,1,21.3,1952
1982-03-01,Marzo,Huesca,1,19.6,1982
1982-03-01,Marzo,Huesca,1,19.6,1982
2012-03-01,Marzo,Huesca,1,19.6,2012
1967-03-01,Marzo,Huesca,1,18.8,1967
1967-03-01,Marzo,Huesca,1,18.8,1967
2015-03-01,Marzo,Huesca,1,18.8,2015
2015-03-01,Marzo,Huesca,1,18.8,2015
1997-03-02,Marzo,Huesca,2,21,1997
1956-03-02,Marzo,Huesca,2,20.8,1956
1987-03-02,Marzo,Huesca,2,20.2,1987
2012-03-02,Marzo,Huesca,2,20,2012
2015-03-02,Marzo,Huesca,2,19.5,2015
1952-03-02,Marzo,Huesca,2,19.4,1952
2008-03-02,Marzo,Huesca,2,19.4,2008
1977-03-02,Marzo,Huesca,2,19,1977
2019-03-02,Marzo,Huesca,2,19,2019
1967-03-02,Marzo,Huesca,2,18.6,1967
1977-03-03,Marzo,Huesca,3,21.4,1977
2015-03-03,Marzo,Huesca,3,21.1,2015
1997-03-03,Marzo,Huesca,3,20,1997
2019-03-03,Marzo,Huesca,3,19.9,2019
1956-03-03,Marzo,Huesca,3,19.6,1956
1994-03-03,Marzo,Huesca,3,19,1994
2012-03-03,Marzo,Huesca,3,18.9,2012
1961-03-03,Marzo,Huesca,3,18.8,1961
1960-03-03,Marzo,Huesca,3,18.4,1960
2007-03-03,Marzo,Huesca,3,18.4,2007
1956-03-04,Marzo,Huesca,4,21.4,1956
2007-03-04,Marzo,Huesca,4,21.3,2007
1977-03-04,Marzo,Huesca,4,20.8,1977
1973-03-04,Marzo,Huesca,4,20.4,1973
1960-03-04,Marzo,Huesca,4,20.2,1960
1997-03-04,Marzo,Huesca,4,20,1997
1952-03-04,Marzo,Huesca,4,19,1952
1989-03-04,Marzo,Huesca,4,19,1989
2003-03-04,Marzo,Huesca,4,19,2003
1967-03-04,Marzo,Huesca,4,17.8,1967
1973-03-05,Marzo,Huesca,5,20.6,1973
1977-03-05,Marzo,Huesca,5,20,1977
1987-03-05,Marzo,Huesca,5,20,1987
1997-03-05,Marzo,Huesca,5,19.8,1997
1998-03-05,Marzo,Huesca,5,19.2,1998
1960-03-05,Marzo,Huesca,5,18.8,1960
1956-03-05,Marzo,Huesca,5,18.4,1956
1953-03-05,Marzo,Huesca,5,18.3,1953
2014-03-05,Marzo,Huesca,5,18.3,2014
1994-03-05,Marzo,Huesca,5,18.1,1994
1952-03-06,Marzo,Huesca,6,21,1952
1997-03-06,Marzo,Huesca,6,20.6,1997
1977-03-06,Marzo,Huesca,6,19.8,1977
2014-03-06,Marzo,Huesca,6,19.1,2014
1973-03-06,Marzo,Huesca,6,18.6,1973
2001-03-06,Marzo,Huesca,6,18.6,2001
1994-03-06,Marzo,Huesca,6,18.4,1994
1998-03-06,Marzo,Huesca,6,18.4,1998
2013-03-06,Marzo,Huesca,6,17.8,2013
1989-03-06,Marzo,Huesca,6,17.4,1989
1952-03-07,Marzo,Huesca,7,22.5,1952
2015-03-07,Marzo,Huesca,7,21.4,2015
1998-03-07,Marzo,Huesca,7,19.8,1998
1977-03-07,Marzo,Huesca,7,19,1977
1956-03-07,Marzo,Huesca,7,18.8,1956
1981-03-07,Marzo,Huesca,7,18.8,1981
2001-03-07,Marzo,Huesca,7,18.8,2001
1953-03-07,Marzo,Huesca,7,18.7,1953
1989-03-07,Marzo,Huesca,7,18.4,1989
1992-03-07,Marzo,Huesca,7,18.4,1992
1952-03-08,Marzo,Huesca,8,22.3,1952
2017-03-08,Marzo,Huesca,8,20.3,2017
1950-03-08,Marzo,Huesca,8,19.8,1950
1984-03-08,Marzo,Huesca,8,19.8,1984
1953-03-08,Marzo,Huesca,8,19.3,1953
2014-03-08,Marzo,Huesca,8,19.2,2014
2006-03-08,Marzo,Huesca,8,18.8,2006
1994-03-08,Marzo,Huesca,8,18.4,1994
2009-03-08,Marzo,Huesca,8,18.4,2009
1983-03-08,Marzo,Huesca,8,17.8,1983
2017-03-09,Marzo,Huesca,9,23.5,2017
1994-03-09,Marzo,Huesca,9,20.6,1994
1957-03-09,Marzo,Huesca,9,20,1957
1990-03-09,Marzo,Huesca,9,20,1990
