date,month,city,day,temp,year
1987-03-01,Marzo,Sevilla,1,26.8,1987
1987-03-01,Marzo,Sevilla,1,26.8,1987
1997-03-01,Marzo,Sevilla,1,26,1997
1997-03-01,Marzo,Sevilla,1,26,1997
1961-03-01,Marzo,Sevilla,1,24.5,1961
1961-03-01,Marzo,Sevilla,1,24.5,1961
1957-03-01,Marzo,Sevilla,1,24.4,1957
1957-03-01,Marzo,Sevilla,1,24.4,1957
1983-03-01,Marzo,Sevilla,1,24,1983
1983-03-01,Marzo,Sevilla,1,24,1983
1987-03-02,Marzo,Sevilla,2,27.4,1987
1983-03-02,Marzo,Sevilla,2,26.4,1983
1997-03-02,Marzo,Sevilla,2,26.4,1997
1967-03-02,Marzo,Sevilla,2,25.8,1967
1961-03-02,Marzo,Sevilla,2,25.4,1961
1977-03-02,Marzo,Sevilla,2,25,1977
2008-03-02,Marzo,Sevilla,2,24.9,2008
2000-03-02,Marzo,Sevilla,2,24.2,2000
2015-03-02,Marzo,Sevilla,2,24.1,2015
1956-03-02,Marzo,Sevilla,2,23.8,1956
1987-03-03,Marzo,Sevilla,3,27.6,1987
1997-03-03,Marzo,Sevilla,3,26.6,1997
1983-03-03,Marzo,Sevilla,3,25.6,1983
2008-03-03,Marzo,Sevilla,3,25.1,2008
2019-03-03,Marzo,Sevilla,3,25.1,2019
2007-03-03,Marzo,Sevilla,3,25,2007
1977-03-03,Marzo,Sevilla,3,24.6,1977
1998-03-03,Marzo,Sevilla,3,24.4,1998
1982-03-03,Marzo,Sevilla,3,24.2,1982
1973-03-03,Marzo,Sevilla,3,23.8,1973
1987-03-04,Marzo,Sevilla,4,27,1987
1997-03-04,Marzo,Sevilla,4,26.4,1997
1989-03-04,Marzo,Sevilla,4,25.6,1989
2003-03-04,Marzo,Sevilla,4,25.5,2003
1956-03-04,Marzo,Sevilla,4,25.3,1956
1961-03-04,Marzo,Sevilla,4,25.3,1961
1977-03-04,Marzo,Sevilla,4,25.2,1977
1998-03-04,Marzo,Sevilla,4,24.9,1998
2000-03-04,Marzo,Sevilla,4,24.9,2000
1960-03-04,Marzo,Sevilla,4,24.5,1960
1998-03-05,Marzo,Sevilla,5,28.5,1998
1997-03-05,Marzo,Sevilla,5,26.8,1997
1987-03-05,Marzo,Sevilla,5,26.6,1987
1977-03-05,Marzo,Sevilla,5,26,1977
2000-03-05,Marzo,Sevilla,5,25.7,2000
1983-03-05,Marzo,Sevilla,5,25,1983
1960-03-05,Marzo,Sevilla,5,24.4,1960
1952-03-05,Marzo,Sevilla,5,23.7,1952
1989-03-05,Marzo,Sevilla,5,23,1989
2003-03-05,Marzo,Sevilla,5,23,2003
1998-03-06,Marzo,Sevilla,6,28.2,1998
1997-03-06,Marzo,Sevilla,6,27.6,1997
1952-03-06,Marzo,Sevilla,6,26,1952
2001-03-06,Marzo,Sevilla,6,25.9,2001
1987-03-06,Marzo,Sevilla,6,25,1987
1977-03-06,Marzo,Sevilla,6,24.6,1977
1990-03-06,Marzo,Sevilla,6,24,1990
2000-03-06,Marzo,Sevilla,6,24,2000
2014-03-06,Marzo,Sevilla,6,23.6,2014
1963-03-06,Marzo,Sevilla,6,23.2,1963
1998-03-07,Marzo,Sevilla,7,28.8,1998
1997-03-07,Marzo,Sevilla,7,27.5,1997
1981-03-07,Marzo,Sevilla,7,26.6,1981
1952-03-07,Marzo,Sevilla,7,25.6,1952
2000-03-07,Marzo,Sevilla,7,25.6,2000
2007-03-07,Marzo,Sevilla,7,25,2007
1989-03-07,Marzo,Sevilla,7,24.6,1989
2015-03-07,Marzo,Sevilla,7,24,2015
2008-03-07,Marzo,Sevilla,7,23.7,2008
2017-03-07,Marzo,Sevilla,7,23.3,2017
1998-03-08,Marzo,Sevilla,8,28,1998
2000-03-08,Marzo,Sevilla,8,27.5,2000
2015-03-08,Marzo,Sevilla,8,27.2,2015
2017-03-08,Marzo,Sevilla,8,26.1,2017
1977-03-08,Marzo,Sevilla,8,25.4,1977
1989-03-08,Marzo,Sevilla,8,25.2,1989
1981-03-08,Marzo,Sevilla,8,25,1981
2014-03-08,Marzo,Sevilla,8,24.9,2014
1997-03-08,Marzo,Sevilla,8,24.7,1997
1994-03-08,Marzo,Sevilla,8,24.4,1994
